date,München_Hbf.in,München_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Günzburg.in,Günzburg.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Eisenach.in,Eisenach.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Weimar.in,Weimar.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Bitterfeld.in,Bitterfeld.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out
2024-05-30,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,12.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,3.0,-1.0,5.0,-1.0
2024-05-28,-1.0,3.0,3.0,15.0,13.0,12.0,13.0,13.0,14.0,14.0,16.0,15.0,16.0,16.0,25.0,27.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,26.0,26.0,28.0,28.0,28.0,-1.0
2024-05-27,-1.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,6.0,6.0,13.0,13.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,17.0,16.0,21.0,19.0,20.0,-1.0
2024-05-26,-1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,10.0,0.0,0.0,42.0,40.0,39.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,17.0,16.0,18.0,17.0,22.0,-1.0
2024-05-25,-1.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,18.0,13.0,0.0,1.0,3.0,1.0,6.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,-1.0
2024-05-24,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-1.0,-1.0,0.0,1.0,14.0,12.0,10.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,-1.0,2.0,-1.0
2024-05-23,-1.0,13.0,13.0,13.0,10.0,10.0,15.0,15.0,2.0,2.0,0.0,9.0,0.0,1.0,9.0,8.0,9.0,7.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,17.0,-1.0,20.0,-1.0
2024-05-22,-1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,0.0,8.0,4.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,-1.0
2024-05-21,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,-1.0
2024-05-20,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,10.0,10.0,0.0,0.0,0.0,-1.0
2024-05-19,-1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,0.0,2.0,-1.0,-1.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,17.0,16.0,6.0,6.0,6.0,-1.0
2024-05-18,-1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,30.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-17,-1.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,33.0,26.0,27.0,40.0,0.0,0.0,58.0,57.0,0.0,0.0,0.0,0.0,11.0,12.0,13.0,13.0,9.0,10.0,10.0,-1.0
2024-05-16,-1.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,13.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,1.0,1.0,2.0,-1.0
2024-05-15,-1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,19.0,14.0,15.0,15.0,20.0,19.0,15.0,13.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,-1.0
2024-05-14,-1.0,5.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,25.0,25.0,16.0,16.0,17.0,-1.0
2024-05-13,-1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,20.0,11.0,10.0,11.0,-1.0
2024-05-12,-1.0,45.0,43.0,43.0,41.0,40.0,40.0,40.0,23.0,18.0,19.0,51.0,0.0,0.0,54.0,53.0,53.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,41.0,40.0,1.0,-1.0
2024-05-11,-1.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10.0,9.0,0.0,0.0,1.0,-1.0
2024-05-09,-1.0,0.0,11.0,11.0,25.0,24.0,24.0,23.0,8.0,8.0,7.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,4.0,6.0,-1.0
2024-05-08,-1.0,1.0,0.0,0.0,16.0,15.0,16.0,16.0,27.0,26.0,1.0,2.0,6.0,6.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,12.0,13.0,-1.0
2024-05-07,-1.0,5.0,3.0,3.0,10.0,10.0,10.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,18.0,-1.0
2024-05-06,-1.0,26.0,24.0,24.0,24.0,24.0,26.0,25.0,14.0,9.0,0.0,1.0,0.0,0.0,2.0,2.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,27.0,27.0,38.0,37.0,38.0,-1.0
2024-05-05,-1.0,1.0,1.0,13.0,15.0,14.0,19.0,19.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,67.0,66.0,4.0,5.0,20.0,20.0,20.0,-1.0
2024-05-04,-1.0,1.0,0.0,5.0,1.0,1.0,2.0,3.0,12.0,7.0,1.0,2.0,5.0,3.0,11.0,10.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,10.0,10.0,6.0,7.0,8.0,-1.0
2024-05-03,-1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,21.0,20.0,11.0,11.0,12.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,8.0,8.0,16.0,9.0,15.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,-1.0
2024-04-30,-1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,7.0,5.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0
2024-04-29,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-28,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,23.0,14.0,14.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-04-26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.0,29.0,29.0,35.0,33.0,31.0,27.0,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0
2024-04-25,-1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,39.0,35.0,34.0,31.0,0.0,0.0,45.0,43.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,28.0,29.0,28.0,28.0,-1.0
