date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Donauwörth.in,Donauwörth.out,Treuchtlingen.in,Treuchtlingen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Bitterfeld.in,Bitterfeld.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out
2024-05-30,-1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,18.0,18.0,0.0,0.0,20.0,20.0,13.0,15.0,17.0,-1.0,13.0,-1.0
2024-05-29,-1.0,0.0,-1.0,1.0,0.0,2.0,1.0,6.0,6.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-28,-1.0,1.0,-1.0,1.0,2.0,3.0,7.0,5.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0
2024-05-27,-1.0,7.0,7.0,7.0,3.0,4.0,5.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,4.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,-1.0,0.0,-1.0
2024-05-26,-1.0,0.0,-1.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,16.0,18.0,15.0,9.0,6.0,6.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,-1.0,5.0,-1.0
2024-05-25,-1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,20.0,57.0,57.0,63.0,63.0,63.0,58.0,54.0,54.0,0.0,0.0,55.0,55.0,52.0,51.0,52.0,-1.0,54.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,5.0,3.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,-1.0,3.0,-1.0
2024-05-22,-1.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,5.0,3.0,5.0,-1.0,7.0,-1.0
2024-05-21,-1.0,1.0,0.0,1.0,2.0,4.0,5.0,3.0,2.0,1.0,1.0,2.0,6.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,-1.0,2.0,-1.0
2024-05-20,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,8.0,18.0,18.0,14.0,10.0,9.0,9.0,0.0,0.0,10.0,10.0,4.0,4.0,4.0,-1.0,3.0,-1.0
