date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Bitterfeld.in,Bitterfeld.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,-1.0,0.0,0.0,2.0,4.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,4.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,10.0,10.0,11.0,10.0,9.0,-1.0
2024-05-29,-1.0,7.0,14.0,14.0,13.0,12.0,13.0,13.0,10.0,4.0,0.0,0.0,7.0,7.0,5.0,5.0,7.0,8.0,10.0,2.0,1.0,2.0,11.0,11.0,10.0,9.0,7.0,-1.0
2024-05-28,-1.0,37.0,39.0,40.0,37.0,38.0,37.0,37.0,34.0,29.0,0.0,0.0,25.0,25.0,26.0,26.0,25.0,26.0,28.0,18.0,21.0,21.0,30.0,29.0,30.0,30.0,28.0,-1.0
2024-05-27,-1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,7.0,7.0,3.0,4.0,4.0,1.0,2.0,2.0,13.0,13.0,13.0,15.0,14.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,-1.0
2024-05-25,-1.0,0.0,1.0,1.0,9.0,8.0,23.0,25.0,21.0,15.0,0.0,0.0,11.0,12.0,10.0,10.0,4.0,7.0,7.0,2.0,3.0,3.0,5.0,5.0,9.0,8.0,7.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,4.0,-1.0
2024-05-23,-1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,25.0,32.0,41.0,32.0,36.0,36.0,32.0,32.0,34.0,33.0,32.0,-1.0
2024-05-22,-1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,9.0,9.0,10.0,10.0,11.0,4.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,-1.0
2024-05-21,-1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,23.0,18.0,0.0,0.0,17.0,18.0,17.0,17.0,15.0,15.0,15.0,4.0,7.0,8.0,6.0,5.0,5.0,4.0,3.0,-1.0
2024-05-20,-1.0,1.0,0.0,0.0,0.0,22.0,22.0,24.0,19.0,15.0,0.0,0.0,10.0,12.0,11.0,13.0,91.0,92.0,96.0,88.0,88.0,87.0,88.0,87.0,93.0,93.0,93.0,-1.0
2024-05-19,-1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
