date,Göttingen.in,Göttingen.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,-1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-29,-1.0,0.0,0.0,2.0,3.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.0
2024-05-28,-1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,6.0,4.0,4.0,4.0,4.0,2.0,-1.0
2024-05-27,-1.0,1.0,0.0,1.0,12.0,12.0,11.0,11.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,-1.0
2024-05-26,-1.0,15.0,18.0,18.0,18.0,18.0,20.0,20.0,16.0,17.0,13.0,12.0,14.0,14.0,11.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-24,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-23,4.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,-1.0,2.0,2.0,3.0,3.0,0.0,-1.0
2024-05-22,9.0,9.0,5.0,5.0,6.0,6.0,4.0,5.0,2.0,2.0,6.0,6.0,10.0,10.0,8.0,-1.0
2024-05-21,6.0,6.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,53.0,62.0,67.0,66.0,67.0,64.0,-1.0
2024-05-20,0.0,0.0,0.0,0.0,4.0,4.0,10.0,10.0,7.0,-1.0,4.0,4.0,4.0,4.0,1.0,-1.0
2024-05-19,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-18,12.0,12.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,-1.0
2024-05-16,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,6.0,6.0,6.0,6.0,2.0,-1.0
2024-05-15,0.0,1.0,0.0,1.0,26.0,26.0,24.0,24.0,21.0,20.0,22.0,21.0,20.0,20.0,16.0,-1.0
2024-05-14,5.0,13.0,12.0,12.0,16.0,16.0,14.0,14.0,14.0,14.0,21.0,21.0,21.0,22.0,20.0,-1.0
2024-05-13,10.0,10.0,19.0,16.0,19.0,19.0,23.0,23.0,20.0,20.0,30.0,29.0,30.0,31.0,28.0,-1.0
2024-05-12,6.0,6.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-11,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10.0,10.0,8.0,8.0,12.0,12.0,9.0,-1.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,37.0,31.0,28.0,30.0,30.0,27.0,27.0,26.0,26.0,24.0,24.0,23.0,22.0,19.0,-1.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,18.0,18.0,42.0,41.0,41.0,41.0,44.0,-1.0
2024-05-06,0.0,0.0,1.0,0.0,1.0,14.0,12.0,11.0,7.0,-1.0,7.0,9.0,8.0,8.0,7.0,-1.0
2024-05-05,4.0,4.0,1.0,2.0,3.0,2.0,6.0,6.0,3.0,4.0,2.0,0.0,3.0,3.0,0.0,-1.0
2024-05-04,0.0,1.0,0.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-03,0.0,-1.0,-1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-02,13.0,13.0,9.0,6.0,8.0,8.0,5.0,5.0,6.0,7.0,6.0,6.0,4.0,4.0,2.0,-1.0
2024-05-01,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-04-30,0.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-04-29,0.0,0.0,0.0,0.0,1.0,1.0,0.0,36.0,35.0,-1.0,35.0,35.0,35.0,34.0,31.0,-1.0
2024-04-28,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-26,10.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-25,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0
2024-04-24,6.0,6.0,2.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,-1.0,0.0,0.0
2024-04-23,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,-1.0,2.0,2.0,1.0,-1.0,0.0,0.0
2024-04-22,0.0,1.0,0.0,2.0,7.0,16.0,16.0,17.0,15.0,15.0,16.0,15.0,15.0,-1.0,0.0,0.0
2024-04-21,9.0,9.0,3.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0,5.0,-1.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,-1.0,2.0,2.0,0.0,-1.0,0.0,0.0
2024-04-19,10.0,10.0,10.0,10.0,9.0,9.0,7.0,7.0,6.0,-1.0,10.0,12.0,10.0,-1.0,0.0,0.0
2024-04-18,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0
2024-04-17,0.0,3.0,0.0,1.0,3.0,3.0,2.0,6.0,9.0,11.0,16.0,15.0,13.0,-1.0,0.0,0.0
2024-04-16,8.0,8.0,4.0,1.0,2.0,3.0,6.0,6.0,10.0,12.0,12.0,12.0,16.0,-1.0,0.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0
2024-04-14,8.0,8.0,4.0,1.0,3.0,4.0,11.0,11.0,12.0,14.0,16.0,16.0,13.0,-1.0,0.0,-1.0
2024-04-13,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-12,5.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,6.0,6.0,9.0,9.0,4.0,5.0,5.0,5.0,0.0,0.0,1.0,-1.0
2024-04-10,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
2024-04-09,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-08,0.0,7.0,4.0,4.0,7.0,7.0,10.0,10.0,8.0,23.0,25.0,25.0,28.0,27.0,20.0,-1.0
2024-04-07,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-04,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-03,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
2024-04-02,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,0.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,-1.0,-1.0
