date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,0.0,0.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0
2024-05-29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-28,-1.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,-1.0,4.0,-1.0
2024-05-27,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,-1.0
2024-05-25,-1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,1.0,-1.0,1.0,-1.0
2024-05-24,-1.0,1.0,0.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,-1.0,0.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-22,-1.0,1.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,4.0,-1.0,0.0,-1.0
2024-05-21,-1.0,1.0,0.0,7.0,6.0,6.0,4.0,5.0,3.0,4.0,3.0,-1.0,12.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-17,-1.0,-1.0,-1.0,5.0,3.0,6.0,4.0,5.0,2.0,2.0,2.0,-1.0,2.0,-1.0
2024-05-16,-1.0,0.0,-1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,0.0,-1.0
2024-05-15,-1.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,13.0,13.0,12.0,-1.0,10.0,-1.0
2024-05-13,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,-1.0
2024-05-11,-1.0,-1.0,-1.0,7.0,14.0,14.0,11.0,11.0,9.0,10.0,7.0,-1.0,5.0,-1.0
2024-05-10,-1.0,47.0,43.0,44.0,41.0,41.0,39.0,39.0,38.0,38.0,38.0,-1.0,35.0,-1.0
2024-05-09,-1.0,1.0,0.0,6.0,8.0,8.0,5.0,5.0,7.0,30.0,0.0,0.0,51.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-06,-1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-04,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2024-05-01,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-04-30,-1.0,12.0,8.0,8.0,6.0,6.0,4.0,4.0,3.0,4.0,3.0,-1.0,13.0,-1.0
2024-04-29,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0
2024-04-26,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,-1.0,5.0,-1.0
2024-04-25,-1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,-1.0,0.0,-1.0
2024-04-24,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-04-22,-1.0,1.0,0.0,6.0,4.0,4.0,2.0,3.0,1.0,2.0,5.0,-1.0,3.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,-1.0,6.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,-1.0,0.0,-1.0
2024-04-19,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,-1.0,3.0,-1.0
2024-04-18,-1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-04-17,-1.0,0.0,-1.0,0.0,5.0,5.0,2.0,4.0,2.0,5.0,2.0,-1.0,1.0,-1.0
2024-04-16,-1.0,2.0,0.0,6.0,5.0,4.0,5.0,5.0,3.0,3.0,2.0,-1.0,1.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,-1.0
2024-04-13,-1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,-1.0,1.0,-1.0
2024-04-12,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,80.0,81.0,88.0,-1.0,85.0,-1.0
2024-04-11,-1.0,1.0,30.0,32.0,35.0,35.0,33.0,33.0,35.0,35.0,34.0,-1.0,34.0,-1.0
2024-04-10,-1.0,1.0,3.0,4.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,-1.0,1.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,-1.0,4.0,-1.0
2024-04-08,-1.0,1.0,0.0,3.0,4.0,7.0,6.0,5.0,8.0,9.0,8.0,-1.0,6.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
