date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-28,-1.0,1.0,-1.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,6.0,-1.0
2024-05-27,-1.0,1.0,8.0,12.0,10.0,11.0,9.0,4.0,15.0,20.0,44.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,-1.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-24,-1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,7.0,-1.0
2024-05-23,-1.0,3.0,5.0,14.0,12.0,11.0,12.0,12.0,4.0,5.0,8.0,-1.0
2024-05-22,-1.0,0.0,-1.0,0.0,5.0,5.0,3.0,2.0,3.0,4.0,1.0,-1.0
2024-05-21,-1.0,26.0,-1.0,29.0,32.0,33.0,31.0,25.0,23.0,24.0,23.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,-1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,-1.0
2024-05-18,-1.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,-1.0
2024-05-17,-1.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,3.0,5.0,9.0,-1.0
2024-05-16,-1.0,10.0,11.0,12.0,10.0,14.0,12.0,5.0,3.0,5.0,5.0,-1.0
2024-05-15,-1.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,2.0,4.0,2.0,-1.0
2024-05-14,-1.0,0.0,5.0,6.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,0.0,2.0,3.0,1.0,1.0,0.0,30.0,0.0,1.0,5.0,-1.0
2024-05-11,-1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-10,-1.0,0.0,3.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,4.0,-1.0
2024-05-09,-1.0,1.0,6.0,9.0,8.0,11.0,9.0,3.0,3.0,3.0,1.0,-1.0
2024-05-08,-1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,1.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,-1.0
2024-05-06,-1.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,5.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,14.0,-1.0
2024-05-03,-1.0,2.0,4.0,5.0,5.0,6.0,3.0,2.0,0.0,0.0,3.0,-1.0
2024-05-02,-1.0,8.0,12.0,12.0,9.0,21.0,20.0,14.0,11.0,14.0,12.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-29,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,4.0,9.0,9.0,6.0,6.0,5.0,8.0,10.0,14.0,13.0,-1.0
2024-04-26,-1.0,0.0,1.0,8.0,4.0,33.0,31.0,31.0,29.0,34.0,34.0,-1.0
2024-04-25,-1.0,0.0,9.0,10.0,7.0,8.0,5.0,5.0,0.0,1.0,17.0,-1.0
2024-04-24,-1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0
2024-04-23,-1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,5.0,-1.0
2024-04-22,-1.0,0.0,2.0,8.0,6.0,7.0,5.0,5.0,2.0,2.0,9.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,-1.0,2.0,-1.0,0.0,3.0,3.0,3.0,3.0,7.0,9.0,10.0,-1.0
2024-04-19,-1.0,0.0,1.0,7.0,5.0,5.0,3.0,2.0,1.0,1.0,2.0,-1.0
2024-04-18,-1.0,2.0,4.0,5.0,5.0,5.0,3.0,2.0,0.0,0.0,7.0,-1.0
2024-04-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-16,-1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,-1.0
2024-04-15,-1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-13,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-12,-1.0,0.0,3.0,9.0,6.0,7.0,5.0,5.0,2.0,2.0,12.0,-1.0
2024-04-11,-1.0,0.0,5.0,7.0,4.0,5.0,3.0,2.0,0.0,1.0,10.0,-1.0
2024-04-10,-1.0,1.0,6.0,8.0,5.0,6.0,4.0,3.0,2.0,3.0,4.0,-1.0
2024-04-09,-1.0,27.0,35.0,37.0,34.0,35.0,33.0,26.0,26.0,29.0,31.0,-1.0
2024-04-08,-1.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
