date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Montabaur.in,Montabaur.out,Köln_Hbf.in,Köln_Hbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,51.0,44.0,47.0,47.0,0.0,0.0,44.0,44.0,-1.0,0.0,42.0,42.0,0.0,0.0,42.0,44.0,67.0,73.0,73.0,72.0,71.0,70.0,68.0,67.0,63.0,-1.0,-1.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,21.0,16.0,13.0,13.0,0.0,0.0,10.0,10.0,-1.0,0.0,8.0,9.0,0.0,0.0,9.0,10.0,9.0,9.0,26.0,27.0,24.0,25.0,21.0,20.0,11.0,-1.0,-1.0,22.0
2024-05-28,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,7.0,8.0,0.0,0.0,10.0,16.0,21.0,22.0,19.0,19.0,16.0,15.0,7.0,6.0,3.0,-1.0,-1.0,1.0
2024-05-25,0.0,0.0,0.0,0.0,10.0,4.0,2.0,4.0,0.0,0.0,1.0,2.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,2.0,0.0,4.0,1.0,1.0,1.0,-1.0,-1.0,5.0
2024-05-24,-1.0,8.0,6.0,6.0,9.0,5.0,3.0,4.0,0.0,0.0,2.0,3.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,17.0,35.0,36.0,37.0,37.0,32.0,21.0,21.0,21.0,26.0,-1.0,10.0,10.0
2024-05-23,-1.0,5.0,3.0,3.0,10.0,6.0,6.0,6.0,0.0,0.0,4.0,5.0,-1.0,0.0,3.0,4.0,0.0,0.0,5.0,8.0,20.0,21.0,19.0,17.0,16.0,6.0,5.0,5.0,5.0,-1.0,7.0,11.0
2024-05-22,-1.0,1.0,1.0,2.0,7.0,2.0,5.0,5.0,0.0,0.0,4.0,4.0,-1.0,0.0,4.0,4.0,0.0,0.0,3.0,4.0,29.0,29.0,25.0,24.0,22.0,12.0,9.0,8.0,5.0,-1.0,3.0,3.0
2024-05-21,-1.0,7.0,6.0,6.0,9.0,5.0,3.0,3.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,24.0,24.0,22.0,22.0,19.0,10.0,7.0,6.0,6.0,-1.0,7.0,9.0
2024-05-20,-1.0,4.0,1.0,1.0,30.0,26.0,23.0,23.0,0.0,0.0,20.0,20.0,-1.0,0.0,18.0,18.0,0.0,0.0,15.0,20.0,35.0,38.0,35.0,34.0,29.0,19.0,16.0,16.0,14.0,-1.0,8.0,20.0
2024-05-19,-1.0,4.0,2.0,2.0,2.0,35.0,28.0,28.0,-1.0,-1.0,26.0,32.0,-1.0,0.0,30.0,30.0,0.0,0.0,29.0,30.0,28.0,29.0,24.0,24.0,19.0,10.0,9.0,8.0,5.0,-1.0,1.0,2.0
2024-05-18,-1.0,1.0,0.0,0.0,19.0,15.0,13.0,14.0,0.0,0.0,12.0,12.0,-1.0,0.0,10.0,10.0,0.0,0.0,8.0,11.0,14.0,14.0,10.0,9.0,2.0,4.0,2.0,2.0,2.0,-1.0,0.0,1.0
2024-05-17,-1.0,3.0,0.0,0.0,16.0,11.0,14.0,14.0,0.0,0.0,13.0,13.0,-1.0,0.0,16.0,18.0,0.0,0.0,16.0,20.0,18.0,19.0,14.0,13.0,9.0,2.0,1.0,3.0,0.0,-1.0,1.0,1.0
2024-05-15,-1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,19.0,20.0,18.0,17.0,17.0,17.0,8.0,7.0,6.0,-1.0,3.0,2.0
2024-05-13,-1.0,5.0,3.0,3.0,8.0,4.0,5.0,6.0,0.0,0.0,4.0,5.0,-1.0,0.0,3.0,4.0,0.0,0.0,2.0,6.0,3.0,4.0,3.0,4.0,3.0,1.0,5.0,4.0,2.0,-1.0,8.0,9.0
2024-05-12,-1.0,4.0,2.0,3.0,17.0,14.0,12.0,15.0,0.0,0.0,13.0,14.0,-1.0,0.0,18.0,20.0,0.0,0.0,26.0,25.0,22.0,22.0,23.0,21.0,15.0,5.0,21.0,20.0,19.0,-1.0,17.0,17.0
2024-05-11,-1.0,3.0,1.0,3.0,14.0,10.0,11.0,13.0,0.0,0.0,13.0,13.0,-1.0,0.0,11.0,14.0,0.0,0.0,12.0,23.0,24.0,24.0,22.0,21.0,19.0,10.0,9.0,10.0,10.0,-1.0,3.0,2.0
2024-05-10,-1.0,0.0,0.0,1.0,7.0,3.0,9.0,18.0,0.0,0.0,17.0,17.0,-1.0,0.0,21.0,22.0,0.0,0.0,24.0,25.0,22.0,22.0,17.0,15.0,10.0,10.0,2.0,2.0,1.0,-1.0,4.0,5.0
