date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,-1.0,3.0,3.0,6.0,6.0,6.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,0.0,0.0,5.0,6.0,4.0,5.0,11.0,11.0,11.0,10.0,9.0,-1.0,0.0,0.0
2024-05-29,-1.0,1.0,-1.0,1.0,-1.0,6.0,6.0,7.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,8.0,0.0,0.0,11.0,11.0,8.0,7.0,6.0,5.0,4.0,3.0,3.0,-1.0,0.0,0.0
2024-05-27,-1.0,2.0,2.0,4.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,15.0,15.0,15.0,15.0,15.0,-1.0,0.0,0.0
2024-05-26,-1.0,1.0,-1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,7.0,8.0,15.0,28.0,0.0,0.0,29.0,29.0,29.0,29.0,28.0,28.0,28.0,28.0,26.0,-1.0,0.0,0.0
2024-05-25,-1.0,6.0,6.0,7.0,7.0,6.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,-1.0,0.0,0.0
2024-05-24,-1.0,1.0,-1.0,1.0,1.0,6.0,3.0,4.0,5.0,4.0,8.0,9.0,11.0,12.0,8.0,7.0,0.0,0.0,7.0,7.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,-1.0,0.0,0.0
2024-05-23,-1.0,1.0,1.0,2.0,2.0,8.0,2.0,2.0,1.0,1.0,2.0,3.0,8.0,10.0,6.0,5.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,5.0,7.0,11.0,-1.0
2024-05-22,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,12.0,38.0,36.0,58.0,60.0,56.0,65.0,0.0,0.0,65.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,59.0,59.0,62.0,-1.0
2024-05-21,-1.0,8.0,1.0,6.0,6.0,8.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,6.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,9.0,-1.0
2024-05-20,-1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,0.0,0.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,-1.0
2024-05-17,-1.0,2.0,2.0,8.0,8.0,12.0,11.0,11.0,7.0,7.0,8.0,9.0,9.0,18.0,14.0,13.0,0.0,0.0,14.0,14.0,17.0,17.0,16.0,16.0,17.0,17.0,16.0,17.0,15.0,-1.0
2024-05-16,-1.0,1.0,-1.0,2.0,2.0,7.0,9.0,10.0,6.0,14.0,21.0,21.0,21.0,23.0,23.0,22.0,0.0,0.0,23.0,24.0,27.0,26.0,25.0,25.0,25.0,25.0,24.0,24.0,25.0,-1.0
2024-05-14,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,5.0,0.0,0.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,7.0,6.0,6.0,7.0,-1.0
2024-05-13,-1.0,3.0,-1.0,6.0,-1.0,9.0,5.0,6.0,1.0,2.0,3.0,4.0,4.0,5.0,9.0,8.0,0.0,0.0,9.0,9.0,9.0,9.0,8.0,8.0,-1.0,-1.0,9.0,10.0,8.0,-1.0
