date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Neuss_Hbf.in,Neuss_Hbf.out,Mönchengladbach_Hbf.in,Mönchengladbach_Hbf.out,Rheydt_Hbf.in,Rheydt_Hbf.out,Erkelenz.in,Erkelenz.out,Geilenkirchen.in,Geilenkirchen.out,Aachen_Hbf.in,Aachen_Hbf.out
2024-05-30,-1.0,8.0,-1.0,6.0,-1.0,6.0,6.0,6.0,5.0,5.0,0.0,0.0,6.0,6.0,4.0,15.0,11.0,10.0,9.0,9.0,8.0,7.0,6.0,6.0,5.0,4.0,5.0,5.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,-1.0,1.0,1.0,5.0,5.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,4.0,5.0,8.0,10.0,20.0,20.0,23.0,23.0,22.0,21.0,20.0,20.0,19.0,18.0,17.0,15.0,15.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,9.0,11.0,9.0,9.0,8.0,8.0,7.0,6.0,5.0,4.0,1.0,1.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,11.0,8.0,13.0,0.0,0.0,16.0,17.0,17.0,20.0,17.0,16.0,17.0,17.0,16.0,16.0,17.0,17.0,8.0,9.0,8.0,7.0,6.0,5.0,5.0,5.0,6.0,5.0,3.0,3.0,2.0,-1.0
2024-05-25,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,12.0,13.0,12.0,16.0,13.0,13.0,13.0,13.0,11.0,11.0,9.0,10.0,13.0,14.0,13.0,13.0,13.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,1.0,-1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,-1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,7.0,20.0,21.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,-1.0,6.0,1.0,5.0,5.0,8.0,3.0,4.0,5.0,5.0,0.0,0.0,-1.0,-1.0,111.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,-1.0,27.0,-1.0,32.0,32.0,33.0,36.0,37.0,31.0,32.0,0.0,0.0,39.0,40.0,43.0,45.0,46.0,45.0,44.0,44.0,44.0,45.0,44.0,43.0,37.0,37.0,38.0,38.0,38.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,-1.0,1.0,-1.0,1.0,1.0,3.0,0.0,1.0,10.0,2.0,0.0,0.0,4.0,5.0,2.0,3.0,0.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,-1.0
2024-05-19,-1.0,1.0,-1.0,2.0,2.0,1.0,0.0,0.0,11.0,13.0,0.0,0.0,18.0,18.0,18.0,19.0,15.0,14.0,14.0,14.0,16.0,16.0,18.0,20.0,13.0,13.0,12.0,12.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,1.0,-1.0,1.0,-1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,2.0,-1.0,3.0,-1.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,6.0,25.0,27.0,41.0,43.0,44.0,44.0,44.0,44.0,42.0,43.0,40.0,39.0,39.0,39.0,37.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,-1.0,1.0,-1.0,2.0,2.0,3.0,9.0,30.0,34.0,35.0,0.0,0.0,33.0,35.0,35.0,35.0,33.0,33.0,32.0,32.0,30.0,33.0,33.0,33.0,21.0,21.0,25.0,23.0,28.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,-1.0,3.0,-1.0,2.0,2.0,2.0,1.0,2.0,4.0,6.0,0.0,0.0,13.0,13.0,15.0,16.0,16.0,15.0,16.0,16.0,15.0,15.0,14.0,14.0,13.0,12.0,11.0,10.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,-1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,4.0,0.0,1.0,4.0,4.0,3.0,3.0,1.0,2.0,0.0,9.0,8.0,8.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,-1.0,11.0,5.0,12.0,8.0,12.0,6.0,7.0,7.0,8.0,0.0,0.0,10.0,11.0,15.0,18.0,14.0,14.0,14.0,14.0,17.0,18.0,17.0,17.0,13.0,12.0,12.0,10.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
