date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,6.0,6.0,6.0,24.0,25.0,20.0,20.0,18.0,20.0,28.0,28.0,24.0,24.0,22.0,21.0,19.0,20.0,16.0,-1.0
2024-05-29,-1.0,32.0,34.0,35.0,33.0,33.0,31.0,31.0,31.0,32.0,40.0,41.0,40.0,41.0,33.0,39.0,34.0,34.0,28.0,-1.0
2024-05-28,-1.0,35.0,33.0,33.0,41.0,41.0,36.0,36.0,33.0,33.0,48.0,49.0,47.0,46.0,41.0,42.0,44.0,44.0,39.0,-1.0
2024-05-27,-1.0,46.0,45.0,44.0,42.0,45.0,40.0,40.0,38.0,38.0,57.0,58.0,56.0,57.0,54.0,54.0,62.0,62.0,64.0,-1.0
2024-05-26,-1.0,34.0,33.0,33.0,27.0,27.0,23.0,23.0,22.0,22.0,30.0,30.0,28.0,29.0,28.0,27.0,26.0,26.0,21.0,-1.0
2024-05-25,-1.0,30.0,0.0,0.0,26.0,25.0,20.0,2.0,2.0,3.0,5.0,6.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,-1.0
2024-05-24,-1.0,30.0,0.0,0.0,28.0,27.0,23.0,5.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-23,-1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,6.0,6.0,6.0,10.0,-1.0
2024-05-22,-1.0,6.0,0.0,0.0,6.0,12.0,6.0,1.0,0.0,1.0,3.0,7.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-05-21,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,-1.0
2024-05-20,-1.0,7.0,0.0,0.0,5.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,-1.0
2024-05-19,-1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,3.0,2.0,2.0,2.0,-1.0
