date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Messe/Laatzen.in,Hannover_Messe/Laatzen.out,Hannover_Hbf.in,Hannover_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,4.0,4.0,0.0,0.0,4.0,4.0,14.0,13.0,17.0,-1.0
2024-05-29,-1.0,0.0,1.0,2.0,2.0,1.0,8.0,7.0,3.0,4.0,10.0,11.0,10.0,11.0,0.0,0.0,11.0,10.0,7.0,7.0,10.0,-1.0
2024-05-28,-1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,12.0,13.0,12.0,12.0,0.0,0.0,12.0,12.0,13.0,14.0,13.0,-1.0
2024-05-27,-1.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,4.0,4.0,9.0,10.0,19.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-23,-1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,13.0,13.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,-1.0
2024-05-21,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,1.0,4.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,7.0,-1.0
2024-05-16,-1.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,4.0,5.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-15,-1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,-1.0
2024-05-14,-1.0,1.0,0.0,0.0,4.0,2.0,10.0,8.0,3.0,4.0,1.0,2.0,10.0,7.0,0.0,0.0,18.0,17.0,0.0,0.0,17.0,-1.0
2024-05-13,-1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-10,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,-1.0
2024-05-09,-1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-07,-1.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,-1.0
2024-05-06,-1.0,1.0,6.0,10.0,9.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0
2024-05-02,-1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,30.0,31.0,30.0,13.0,0.0,0.0,6.0,7.0,0.0,0.0,4.0,-1.0
2024-05-01,-1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0
2024-04-30,-1.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,6.0,0.0,0.0,8.0,8.0,0.0,0.0,5.0,-1.0
2024-04-29,-1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0,17.0,-1.0
2024-04-25,-1.0,7.0,8.0,8.0,5.0,2.0,3.0,2.0,7.0,8.0,6.0,7.0,4.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,6.0,-1.0
2024-04-24,-1.0,0.0,6.0,5.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0
2024-04-23,-1.0,0.0,42.0,41.0,41.0,35.0,31.0,30.0,29.0,30.0,27.0,28.0,33.0,16.0,14.0,17.0,17.0,16.0,0.0,0.0,13.0,-1.0
2024-04-22,-1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,6.0,3.0,4.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,1.0,2.0,2.0,0.0,1.0,16.0,16.0,11.0,11.0,17.0,18.0,25.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,16.0,-1.0
2024-04-18,-1.0,1.0,1.0,0.0,0.0,2.0,3.0,6.0,7.0,8.0,6.0,7.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,-1.0
2024-04-16,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,15.0,-1.0
2024-04-15,-1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,1.0,6.0,6.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,-1.0
2024-04-11,-1.0,0.0,1.0,1.0,2.0,5.0,1.0,2.0,0.0,2.0,2.0,2.0,17.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0
2024-04-10,-1.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,12.0,12.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,-1.0
2024-04-09,-1.0,8.0,8.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,-1.0
2024-04-08,-1.0,1.0,3.0,3.0,6.0,3.0,0.0,1.0,0.0,0.0,2.0,109.0,110.0,92.0,0.0,0.0,93.0,92.0,152.0,150.0,162.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
