date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-30,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,8.0,8.0,9.0,11.0,8.0,9.0,5.0,1.0,7.0,8.0,7.0,7.0,5.0,5.0,5.0,6.0,5.0,-1.0
2024-05-29,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,10.0,11.0,11.0,13.0,14.0,10.0,11.0,9.0,7.0,15.0,16.0,19.0,20.0,19.0,19.0,22.0,22.0,30.0,-1.0
2024-05-28,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,53.0,55.0,54.0,54.0,91.0,93.0,91.0,94.0,90.0,87.0,88.0,88.0,87.0,88.0,87.0,88.0,87.0,87.0,87.0,-1.0
2024-05-27,-1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,5.0,6.0,4.0,5.0,1.0,1.0,10.0,10.0,10.0,9.0,18.0,18.0,18.0,18.0,18.0,-1.0
2024-05-26,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,31.0,26.0,26.0,28.0,28.0,26.0,28.0,27.0,24.0,31.0,34.0,34.0,35.0,37.0,37.0,38.0,39.0,38.0,-1.0
2024-05-25,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,11.0,7.0,8.0,8.0,4.0,15.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,16.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,5.0,7.0,4.0,3.0,7.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,-1.0
2024-05-23,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-22,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,2.0,3.0,5.0,7.0,5.0,6.0,11.0,12.0,9.0,8.0,4.0,5.0,9.0,10.0,9.0,9.0,10.0,-1.0
2024-05-21,-1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0,8.0,7.0,7.0,2.0,4.0,5.0,5.0,4.0,6.0,3.0,15.0,16.0,16.0,15.0,18.0,16.0,18.0,18.0,19.0,17.0,-1.0
