date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-30,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,8.0,8.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,-1.0
2024-05-29,-1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,4.0,7.0,7.0,3.0,6.0,11.0,13.0,0.0,0.0,0.0,0.0,12.0,16.0,13.0,14.0,13.0,12.0,11.0,11.0,10.0,-1.0
2024-05-28,-1.0,2.0,-1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,23.0,35.0,43.0,45.0,47.0,48.0,45.0,46.0,42.0,44.0,0.0,0.0,0.0,0.0,56.0,56.0,57.0,57.0,56.0,56.0,55.0,55.0,53.0,-1.0
2024-05-27,-1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,17.0,21.0,0.0,0.0,0.0,0.0,20.0,18.0,15.0,15.0,14.0,14.0,12.0,13.0,11.0,-1.0
2024-05-26,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,3.0,4.0,5.0,6.0,3.0,5.0,-1.0,-1.0,0.0,0.0,0.0,0.0,26.0,30.0,35.0,37.0,38.0,38.0,37.0,39.0,40.0,-1.0
2024-05-25,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,4.0,-1.0
2024-05-24,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,3.0,6.0,8.0,0.0,0.0,0.0,0.0,11.0,11.0,9.0,10.0,8.0,9.0,7.0,8.0,6.0,-1.0
2024-05-23,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,6.0,6.0,2.0,3.0,9.0,9.0,0.0,0.0,0.0,0.0,17.0,18.0,16.0,15.0,13.0,13.0,12.0,12.0,12.0,-1.0
2024-05-22,-1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,7.0,8.0,10.0,11.0,7.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,-1.0
2024-05-21,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,5.0,6.0,44.0,45.0,48.0,48.0,0.0,0.0,0.0,0.0,47.0,47.0,48.0,48.0,49.0,49.0,49.0,50.0,48.0,-1.0
