date,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(Main)Süd.in,Frankfurt(Main)Süd.out,Hanau_Hbf.in,Hanau_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Regensburg_Hbf.in,Regensburg_Hbf.out,Plattling.in,Plattling.out,Passau_Hbf.in,Passau_Hbf.out
2024-05-30,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,36.0,36.0,34.0,33.0,41.0,39.0,0.0,0.0,-1.0,0.0,31.0,34.0,-1.0,-1.0,53.0,57.0,54.0,49.0,46.0,46.0,55.0,57.0,49.0,-1.0
2024-05-29,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,4.0,11.0,11.0,13.0,14.0,15.0,16.0,15.0,15.0,16.0,13.0,0.0,0.0,15.0,17.0,14.0,15.0,10.0,10.0,6.0,1.0,3.0,9.0,18.0,19.0,15.0,-1.0
2024-05-28,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,6.0,8.0,8.0,15.0,15.0,11.0,10.0,10.0,11.0,20.0,31.0,0.0,0.0,-1.0,-1.0,42.0,43.0,39.0,39.0,40.0,33.0,34.0,58.0,81.0,81.0,78.0,-1.0
2024-05-27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,18.0,21.0,21.0,23.0,24.0,20.0,19.0,19.0,17.0,17.0,18.0,0.0,0.0,18.0,18.0,15.0,16.0,10.0,10.0,5.0,0.0,3.0,3.0,30.0,30.0,28.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,39.0,38.0,43.0,43.0,40.0,41.0,38.0,37.0,41.0,41.0,40.0,36.0,0.0,0.0,37.0,37.0,36.0,39.0,35.0,35.0,39.0,32.0,25.0,25.0,32.0,32.0,28.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,7.0,6.0,5.0,5.0,4.0,3.0,12.0,12.0,12.0,10.0,12.0,12.0,0.0,0.0,20.0,20.0,18.0,19.0,13.0,13.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,9.0,10.0,11.0,20.0,19.0,18.0,16.0,16.0,18.0,0.0,0.0,26.0,27.0,26.0,27.0,34.0,35.0,31.0,25.0,26.0,26.0,45.0,45.0,34.0,-1.0
2024-05-23,-1.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0,8.0,9.0,0.0,0.0,0.0,0.0,14.0,13.0,13.0,13.0,13.0,12.0,21.0,21.0,27.0,26.0,29.0,27.0,0.0,0.0,31.0,31.0,29.0,29.0,23.0,22.0,21.0,28.0,33.0,33.0,42.0,42.0,39.0,-1.0
2024-05-22,-1.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,8.0,8.0,13.0,18.0,17.0,18.0,18.0,17.0,14.0,0.0,0.0,14.0,14.0,11.0,11.0,4.0,4.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,-1.0
2024-05-21,-1.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,11.0,11.0,27.0,27.0,31.0,32.0,31.0,30.0,30.0,28.0,0.0,0.0,33.0,33.0,31.0,32.0,33.0,34.0,30.0,25.0,25.0,28.0,22.0,22.0,20.0,-1.0
