date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Rheine.in,Rheine.out,Lingen/ZOB.in,Lingen/ZOB.out,Lingen(Ems).in,Lingen(Ems).out,Meppen.in,Meppen.out,Papenburg.in,Papenburg.out,Papenburg(Ems).in,Papenburg(Ems).out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out
2024-05-30,-1.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-29,-1.0,2.0,11.0,12.0,11.0,10.0,15.0,14.0,0.0,0.0,14.0,16.0,15.0,14.0,13.0,10.0,11.0,12.0,15.0,15.0,16.0,15.0,14.0,13.0,10.0,10.0,11.0,11.0,9.0,9.0,7.0,-1.0
2024-05-28,-1.0,0.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,8.0,7.0,6.0,6.0,7.0,7.0,10.0,11.0,10.0,11.0,9.0,-1.0
2024-05-27,-1.0,7.0,10.0,9.0,6.0,6.0,6.0,5.0,0.0,0.0,6.0,6.0,7.0,6.0,4.0,3.0,5.0,4.0,4.0,4.0,7.0,6.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-26,-1.0,3.0,41.0,38.0,36.0,35.0,35.0,34.0,0.0,0.0,37.0,36.0,35.0,35.0,34.0,35.0,34.0,34.0,33.0,33.0,33.0,31.0,29.0,29.0,25.0,25.0,26.0,25.0,23.0,23.0,35.0,-1.0
2024-05-25,-1.0,0.0,12.0,11.0,10.0,8.0,9.0,8.0,0.0,0.0,8.0,7.0,6.0,5.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-24,-1.0,-1.0,-1.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2024-05-23,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,-1.0,-1.0,28.0,27.0,24.0,23.0,22.0,22.0,22.0,21.0,19.0,18.0,14.0,14.0,14.0,14.0,11.0,12.0,9.0,-1.0
2024-05-22,-1.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-21,-1.0,0.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,5.0,3.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,-1.0
