date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Uelzen.in,Uelzen.out,Celle.in,Celle.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Steinach(b_Rothenburg_ob_der_Tauber).in,Steinach(b_Rothenburg_ob_der_Tauber).out,Ansbach.in,Ansbach.out,Treuchtlingen.in,Treuchtlingen.out,Donauwörth.in,Donauwörth.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Buchloe.in,Buchloe.out,Kaufbeuren.in,Kaufbeuren.out,Kempten(Allgäu)Hbf.in,Kempten(Allgäu)Hbf.out,Immenstadt.in,Immenstadt.out,Sonthofen.in,Sonthofen.out,Fischen.in,Fischen.out,Oberstdorf_Busbahnhof.in,Oberstdorf_Busbahnhof.out,Oberstdorf.in,Oberstdorf.out
2024-05-30,-1.0,0.0,-1.0,2.0,2.0,8.0,8.0,8.0,6.0,6.0,13.0,12.0,0.0,0.0,1.0,1.0,1.0,11.0,13.0,14.0,26.0,25.0,21.0,21.0,28.0,28.0,27.0,27.0,28.0,30.0,27.0,28.0,29.0,22.0,21.0,21.0,19.0,20.0,16.0,16.0,14.0,17.0,22.0,21.0,21.0,20.0,21.0,-1.0,27.0,-1.0
2024-05-29,-1.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,6.0,5.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,5.0,7.0,14.0,13.0,9.0,8.0,6.0,6.0,5.0,6.0,4.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,8.0,7.0,7.0,8.0,7.0,7.0,-1.0,7.0,-1.0
2024-05-27,-1.0,33.0,0.0,4.0,6.0,5.0,3.0,0.0,4.0,3.0,1.0,1.0,9.0,9.0,1.0,9.0,9.0,9.0,21.0,22.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,6.0,7.0,13.0,5.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,6.0,5.0,5.0,-1.0,7.0,-1.0
2024-05-26,-1.0,-1.0,0.0,-1.0,0.0,0.0,11.0,4.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0,8.0,5.0,4.0,2.0,3.0,20.0,19.0,14.0,14.0,14.0,15.0,15.0,14.0,15.0,16.0,14.0,15.0,14.0,8.0,13.0,15.0,14.0,15.0,11.0,12.0,11.0,12.0,11.0,11.0,15.0,14.0,14.0,-1.0,15.0,-1.0
2024-05-25,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,5.0,4.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,-1.0,4.0,-1.0
2024-05-24,-1.0,10.0,10.0,11.0,11.0,11.0,10.0,8.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,5.0,7.0,6.0,4.0,4.0,4.0,4.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,-1.0,2.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,8.0,9.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,4.0,7.0,7.0,7.0,-1.0,7.0,-1.0
2024-05-22,-1.0,23.0,20.0,22.0,22.0,21.0,18.0,19.0,14.0,15.0,8.0,6.0,3.0,4.0,1.0,2.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,2.0,6.0,5.0,4.0,-1.0,5.0,-1.0
2024-05-21,-1.0,0.0,-1.0,0.0,-1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,-1.0,4.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,15.0,12.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,5.0,5.0,-1.0,7.0,-1.0
2024-05-19,-1.0,13.0,16.0,17.0,17.0,16.0,30.0,31.0,25.0,25.0,17.0,16.0,12.0,12.0,6.0,6.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,6.0,5.0,-1.0,5.0,-1.0
2024-05-18,-1.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,5.0,1.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,-1.0,3.0,-1.0
2024-05-17,-1.0,3.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,12.0,13.0,11.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,1.0,4.0,5.0,4.0,7.0,5.0,5.0,-1.0,5.0,-1.0
