date,Enkhuizen.in,Enkhuizen.out,Bovenkarspel_Flora.in,Bovenkarspel_Flora.out,Bovenkarspel-Grootebroek.in,Bovenkarspel-Grootebroek.out,Warnemünde.in,Warnemünde.out,Hoogkarspel.in,Hoogkarspel.out,Rostock_Hbf.in,Rostock_Hbf.out,Hoorn_Kersenboogerd.in,Hoorn_Kersenboogerd.out,Hoorn.in,Hoorn.out,Amsterdam_Sloterdijk.in,Amsterdam_Sloterdijk.out,Amsterdam_Centraal.in,Amsterdam_Centraal.out,Amsterdam_Bijlmer_ArenA.in,Amsterdam_Bijlmer_ArenA.out,Utrecht_Centraal.in,Utrecht_Centraal.out,’s-Hertogenbosch.in,’s-Hertogenbosch.out,Eindhoven_Centraal.in,Eindhoven_Centraal.out,Weert.in,Weert.out,Roermond.in,Roermond.out,Sittard.in,Sittard.out,Maastricht.in,Maastricht.out,Schwerin_Hbf.in,Schwerin_Hbf.out,Waren(Müritz).in,Waren(Müritz).out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Oranienburg.in,Oranienburg.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Flughafen_BER.in,Flughafen_BER.out,Doberlug-Kirchhain.in,Doberlug-Kirchhain.out,Elsterwerda.in,Elsterwerda.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,6.0,6.0,8.0,9.0,10.0,10.0,10.0,10.0,13.0,12.0,14.0,-1.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,17.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,2.0,1.0,0.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,6.0,6.0,6.0,16.0,16.0,19.0,-1.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,5.0,7.0,8.0,10.0,10.0,10.0,10.0,12.0,11.0,11.0,-1.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,12.0,12.0,12.0,10.0,8.0,30.0,29.0,29.0,29.0,30.0,30.0,39.0,-1.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,6.0,5.0,5.0,4.0,5.0,8.0,9.0,7.0,8.0,8.0,7.0,7.0,-1.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,6.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,-1.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,-1.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,7.0,7.0,6.0,6.0,6.0,5.0,4.0,-1.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,6.0,7.0,9.0,7.0,14.0,14.0,13.0,13.0,17.0,16.0,16.0,-1.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0
