date,Freiberg(Sachs).in,Freiberg(Sachs).out,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Elsterwerda.in,Elsterwerda.out,Riesa.in,Riesa.out,Doberlug-Kirchhain.in,Doberlug-Kirchhain.out,Flughafen_BER.in,Flughafen_BER.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Oranienburg.in,Oranienburg.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Waren(Müritz).in,Waren(Müritz).out,Schwerin_Hbf.in,Schwerin_Hbf.out,Rostock_Hbf.in,Rostock_Hbf.out,Warnemünde.in,Warnemünde.out,Chemnitz_Hbf.in,Chemnitz_Hbf.out
2024-05-30,3.0,2.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,3.0,3.0,7.0,6.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,5.0,0.0,0.0,2.0,1.0,0.0,-1.0,-1.0,0.0
2024-05-29,4.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,17.0,15.0,16.0,14.0,15.0,15.0,13.0,11.0,13.0,12.0,7.0,7.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0
2024-05-28,2.0,1.0,0.0,0.0,1.0,1.0,14.0,13.0,0.0,0.0,15.0,15.0,23.0,23.0,22.0,22.0,23.0,23.0,23.0,22.0,24.0,24.0,21.0,20.0,21.0,21.0,0.0,0.0,18.0,15.0,11.0,-1.0,-1.0,0.0
2024-05-27,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0
2024-05-26,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,6.0,5.0,7.0,6.0,9.0,11.0,9.0,8.0,8.0,8.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
2024-05-25,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,5.0,5.0,7.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
2024-05-24,3.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
2024-05-23,-1.0,-1.0,35.0,4.0,9.0,8.0,8.0,7.0,0.0,0.0,6.0,5.0,4.0,3.0,7.0,7.0,8.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,12.0
2024-05-22,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0
2024-05-21,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,12.0,13.0,11.0,12.0,11.0,9.0,8.0,7.0,7.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,4.0
2024-05-19,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0
2024-05-18,3.0,2.0,-1.0,-1.0,20.0,33.0,34.0,34.0,0.0,0.0,33.0,33.0,35.0,35.0,35.0,34.0,45.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,35.0,24.0,22.0,19.0,-1.0,-1.0,0.0
2024-05-17,5.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,3.0,3.0,9.0,7.0,8.0,6.0,8.0,6.0,4.0,3.0,9.0,8.0,3.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,3.0
2024-05-16,2.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0
2024-05-15,2.0,1.0,0.0,1.0,0.0,1.0,24.0,24.0,0.0,0.0,23.0,22.0,25.0,26.0,26.0,25.0,26.0,25.0,23.0,22.0,23.0,26.0,34.0,34.0,33.0,33.0,0.0,0.0,29.0,27.0,27.0,-1.0,-1.0,0.0
