date,Dortmund_Hbf.in,Dortmund_Hbf.out,Witten_Hbf.in,Witten_Hbf.out,Letmathe.in,Letmathe.out,Altena(Westf).in,Altena(Westf).out,Werdohl.in,Werdohl.out,Plettenberg.in,Plettenberg.out,Finnentrop.in,Finnentrop.out,Lennestadt-Grevenbrück.in,Lennestadt-Grevenbrück.out,Lennestadt-Altenhundem.in,Lennestadt-Altenhundem.out,Kreuztal.in,Kreuztal.out,Siegen-Weidenau.in,Siegen-Weidenau.out,Siegen.in,Siegen.out,Dillenburg.in,Dillenburg.out,Wetzlar.in,Wetzlar.out,Bad_Nauheim.in,Bad_Nauheim.out,Frankfurt(Main)West.in,Frankfurt(Main)West.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-29,-1.0,20.0,24.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.0,59.0,60.0,62.0,61.0,61.0,60.0,60.0,60.0,58.0,56.0,-1.0
2024-05-28,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,-1.0
2024-05-27,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,-1.0
2024-05-26,-1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,7.0,21.0,23.0,24.0,24.0,23.0,19.0,37.0,38.0,40.0,41.0,66.0,66.0,67.0,66.0,63.0,-1.0
2024-05-25,-1.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,-1.0
2024-05-23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-22,-1.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,-1.0
2024-05-21,-1.0,1.0,0.0,0.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,8.0,8.0,8.0,8.0,4.0,-1.0
2024-05-20,-1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-19,-1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,-1.0
2024-05-18,-1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,-1.0
2024-05-17,-1.0,47.0,50.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0,50.0,50.0,50.0,83.0,88.0,88.0,92.0,92.0,92.0,92.0,91.0,87.0,89.0,89.0,100.0,100.0,100.0,100.0,101.0,101.0,98.0,-1.0
2024-05-15,-1.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,25.0,25.0,25.0,26.0,24.0,25.0,27.0,25.0,24.0,-1.0
2024-05-14,-1.0,2.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,15.0,16.0,16.0,16.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,20.0,16.0,19.0,19.0,18.0,19.0,18.0,18.0,19.0,19.0,16.0,-1.0
2024-05-13,-1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,13.0,12.0,12.0,13.0,13.0,14.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,14.0,10.0,-1.0
2024-05-12,-1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,8.0,9.0,9.0,9.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-11,-1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,7.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,0.0,-1.0
2024-05-10,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,-1.0
2024-05-09,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,3.0,2.0,2.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,15.0,13.0,14.0,13.0,13.0,11.0,11.0,10.0,10.0,6.0,-1.0
2024-05-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,5.0,5.0,2.0,-1.0
2024-05-06,-1.0,2.0,1.0,0.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,12.0,13.0,14.0,15.0,15.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-05,-1.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,5.0,10.0,8.0,10.0,-1.0
2024-05-04,-1.0,1.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,8.0,4.0,-1.0
2024-05-03,-1.0,12.0,12.0,11.0,12.0,12.0,11.0,10.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,4.0,4.0,1.0,-1.0
2024-05-02,-1.0,2.0,2.0,1.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,8.0,7.0,8.0,7.0,7.0,7.0,6.0,6.0,5.0,2.0,-1.0
2024-05-01,-1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,7.0,8.0,10.0,10.0,38.0,38.0,39.0,38.0,35.0,-1.0
2024-04-30,-1.0,15.0,14.0,14.0,19.0,20.0,19.0,19.0,20.0,20.0,20.0,21.0,21.0,22.0,23.0,23.0,21.0,22.0,23.0,24.0,24.0,24.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-29,-1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,4.0,7.0,7.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0,6.0,2.0,-1.0
2024-04-28,-1.0,1.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,10.0,12.0,13.0,12.0,8.0,13.0,13.0,13.0,13.0,14.0,15.0,14.0,14.0,11.0,-1.0
2024-04-27,-1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,7.0,8.0,10.0,10.0,9.0,12.0,11.0,12.0,11.0,11.0,10.0,10.0,9.0,11.0,6.0,-1.0
2024-04-26,-1.0,5.0,5.0,5.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,20.0,20.0,22.0,23.0,23.0,23.0,22.0,18.0,23.0,23.0,25.0,25.0,25.0,25.0,24.0,24.0,20.0,-1.0
2024-04-24,-1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,-1.0
2024-04-23,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,1.0,-1.0
2024-04-22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-21,-1.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
2024-04-20,-1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,10.0,8.0,9.0,8.0,9.0,7.0,7.0,6.0,10.0,2.0,-1.0
2024-04-19,-1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,7.0,6.0,3.0,-1.0
2024-04-18,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,-1.0
2024-04-17,-1.0,3.0,2.0,2.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,6.0,3.0,-1.0
2024-04-16,-1.0,1.0,1.0,1.0,4.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,6.0,6.0,6.0,5.0,5.0,13.0,13.0,10.0,-1.0
2024-04-15,-1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,20.0,20.0,21.0,21.0,21.0,20.0,31.0,30.0,31.0,32.0,33.0,73.0,-1.0,-1.0,-1.0,150.0,-1.0
2024-04-14,-1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,8.0,8.0,11.0,11.0,10.0,6.0,10.0,10.0,9.0,10.0,13.0,13.0,14.0,14.0,11.0,-1.0
2024-04-13,-1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-12,-1.0,10.0,9.0,8.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,4.0,-1.0
2024-04-11,-1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,3.0,4.0,10.0,9.0,9.0,8.0,4.0,-1.0
2024-04-10,-1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-04-09,-1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,8.0,7.0,7.0,5.0,4.0,-1.0
2024-04-08,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,6.0,6.0,6.0,6.0,6.0,5.0,2.0,-1.0
