date,Westerland(Sylt).in,Westerland(Sylt).out,Niebüll.in,Niebüll.out,Niebüll_neg.in,Niebüll_neg.out,Husum.in,Husum.out,Heide(Holst).in,Heide(Holst).out,Lage_Zwaluwe.in,Lage_Zwaluwe.out,Itzehoe.in,Itzehoe.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Uelzen.in,Uelzen.out,Celle.in,Celle.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Amsterdam_Sloterdijk.in,Amsterdam_Sloterdijk.out,Amsterdam_Centraal.in,Amsterdam_Centraal.out,Wabern(Bz_Kassel).in,Wabern(Bz_Kassel).out,Treysa.in,Treysa.out,Marburg(Lahn).in,Marburg(Lahn).out,Vlissingen.in,Vlissingen.out,Middelburg.in,Middelburg.out,Gießen.in,Gießen.out,Goes.in,Goes.out,Friedberg(Hess).in,Friedberg(Hess).out,Bergen_op_Zoom.in,Bergen_op_Zoom.out,Roosendaal.in,Roosendaal.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Dordrecht.in,Dordrecht.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Rotterdam_Blaak.in,Rotterdam_Blaak.out,Darmstadt_Hbf_ZOB.in,Darmstadt_Hbf_ZOB.out,Rotterdam_Centraal.in,Rotterdam_Centraal.out,Schiedam_Centrum.in,Schiedam_Centrum.out,Bensheim.in,Bensheim.out,Delft.in,Delft.out,Weinheim(Bergstr)Hbf.in,Weinheim(Bergstr)Hbf.out,Weinheim_Hbf.in,Weinheim_Hbf.out,Den_Haag_HS.in,Den_Haag_HS.out,Den_Haag_Laan_van_Nieuw_Oost_Indie.in,Den_Haag_Laan_van_Nieuw_Oost_Indie.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Leiden_Centraal.in,Leiden_Centraal.out,Heemstede-Aerdenhout.in,Heemstede-Aerdenhout.out,Haarlem.in,Haarlem.out
2024-05-30,-1.0,0.0,21.0,16.0,21.0,15.0,16.0,12.0,12.0,7.0,0.0,0.0,3.0,0.0,0.0,-1.0,3.0,7.0,7.0,7.0,8.0,11.0,9.0,10.0,15.0,15.0,12.0,13.0,10.0,11.0,15.0,16.0,0.0,0.0,0.0,0.0,29.0,28.0,42.0,42.0,41.0,42.0,-1.0,0.0,39.0,39.0,39.0,39.0,37.0,37.0,37.0,37.0,1.0,1.0,1.0,1.0,0.0,0.0,33.0,28.0,0.0,1.0,29.0,29.0,0.0,0.0,29.0,28.0,0.0,0.0,1.0,1.0,29.0,28.0,1.0,1.0,30.0,29.0,30.0,30.0,0.0,0.0,1.0,1.0,32.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-29,-1.0,3.0,4.0,1.0,4.0,1.0,6.0,1.0,5.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,7.0,8.0,7.0,8.0,6.0,6.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,-1.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,6.0,6.0,6.0,9.0,10.0,1.0,1.0,9.0,9.0,3.0,0.0,1.0,1.0,12.0,12.0,1.0,1.0,12.0,13.0,12.0,11.0,0.0,0.0,0.0,0.0,13.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-28,-1.0,5.0,7.0,7.0,6.0,6.0,5.0,6.0,2.0,2.0,0.0,0.0,24.0,12.0,38.0,38.0,39.0,39.0,38.0,38.0,38.0,39.0,37.0,38.0,35.0,35.0,32.0,33.0,29.0,30.0,33.0,40.0,0.0,0.0,0.0,0.0,61.0,62.0,62.0,63.0,59.0,60.0,-1.0,-1.0,-1.0,-1.0,57.0,57.0,-1.0,-1.0,55.0,56.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,54.0,49.0,1.0,2.0,64.0,64.0,2.0,2.0,55.0,62.0,1.0,1.0,2.0,2.0,62.0,61.0,2.0,2.0,62.0,62.0,62.0,62.0,2.0,2.0,1.0,1.0,62.0,62.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-27,-1.0,7.0,14.0,14.0,14.0,13.0,15.0,10.0,13.0,9.0,0.0,0.0,6.0,1.0,0.0,1.0,2.0,7.0,6.0,6.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,15.0,18.0,17.0,43.0,0.0,0.0,0.0,0.0,45.0,46.0,50.0,50.0,47.0,48.0,-1.0,0.0,46.0,46.0,46.0,47.0,45.0,45.0,45.0,45.0,1.0,1.0,1.0,1.0,0.0,0.0,47.0,44.0,2.0,0.0,46.0,47.0,2.0,2.0,46.0,46.0,6.0,-1.0,-1.0,-1.0,46.0,46.0,-1.0,-1.0,47.0,47.0,46.0,46.0,-1.0,-1.0,-1.0,-1.0,48.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
