date,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Helmstedt.in,Helmstedt.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Nienburg(Weser).in,Nienburg(Weser).out,Minden(Westf).in,Minden(Westf).out,Verden(Aller).in,Verden(Aller).out,Bremen_Hbf.in,Bremen_Hbf.out,Delmenhorst.in,Delmenhorst.out,Hude.in,Hude.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Augustfehn.in,Augustfehn.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out,Emden_Außenhafen.in,Emden_Außenhafen.out
2024-05-29,-1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,18.0,17.0,13.0,16.0,-1.0
2024-05-28,-1.0,0.0,2.0,1.0,4.0,4.0,7.0,5.0,4.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,-1.0
2024-05-27,-1.0,8.0,7.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,5.0,6.0,5.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,-1.0
2024-05-25,-1.0,0.0,8.0,3.0,1.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-24,-1.0,1.0,10.0,5.0,3.0,2.0,5.0,3.0,33.0,33.0,29.0,30.0,28.0,7.0,6.0,4.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,-1.0
2024-05-23,-1.0,1.0,1.0,1.0,1.0,2.0,8.0,5.0,6.0,6.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-05-22,-1.0,1.0,2.0,1.0,2.0,1.0,7.0,12.0,10.0,10.0,6.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,33.0,42.0,44.0,43.0,42.0,43.0,40.0,35.0,43.0,43.0,42.0,43.0,41.0,41.0,49.0,45.0,48.0,-1.0,-1.0,-1.0
2024-05-21,-1.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,64.0,70.0,70.0,69.0,68.0,68.0,66.0,59.0,59.0,59.0,58.0,58.0,57.0,59.0,59.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0
