date,Sulz(Neckar).in,Sulz(Neckar).out,Oberndorf(Neckar).in,Oberndorf(Neckar).out,Rottweil.in,Rottweil.out,Spaichingen.in,Spaichingen.out,Tuttlingen.in,Tuttlingen.out,Engen.in,Engen.out,Singen(Hohentwiel).in,Singen(Hohentwiel).out
2024-05-30,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,-1.0
2024-05-29,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,-1.0
2024-05-27,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-05-26,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,-1.0
2024-05-20,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,-1.0
2024-05-19,-1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-1.0
2024-05-18,-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,-1.0
2024-05-17,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
