date,Lugano.in,Lugano.out,Bellinzona.in,Bellinzona.out,Arth-Goldau.in,Arth-Goldau.out,Zug(CH).in,Zug(CH).out,Zürich_HB.in,Zürich_HB.out
2024-05-30,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-29,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-28,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-27,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-25,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-24,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-23,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-21,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-18,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-17,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-16,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
