date,München_Hbf.in,München_Hbf.out,München_Ost.in,München_Ost.out,Rosenheim.in,Rosenheim.out,Salzburg_Hbf.in,Salzburg_Hbf.out,Vöcklabruck.in,Vöcklabruck.out,Attnang-Puchheim.in,Attnang-Puchheim.out,Wels_Hbf.in,Wels_Hbf.out,Linz_Hbf.in,Linz_Hbf.out,Amstetten_NÖ.in,Amstetten_NÖ.out,St.Pölten_Hbf.in,St.Pölten_Hbf.out,Wien_Hütteldorf.in,Wien_Hütteldorf.out,Wien_Westbahnhof.in,Wien_Westbahnhof.out
2024-05-30,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-29,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,-1.0
2024-05-28,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-27,-1.0,0.0,-1.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0,9.0,9.0,4.0,4.0,9.0,9.0,7.0,7.0,8.0,8.0,0.0,-1.0,0.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-25,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,-1.0,0.0,-1.0
2024-05-24,-1.0,0.0,-1.0,0.0,0.0,0.0,6.0,6.0,12.0,12.0,10.0,10.0,4.0,4.0,9.0,9.0,14.0,14.0,14.0,14.0,14.0,-1.0,14.0,-1.0
2024-05-23,-1.0,0.0,-1.0,0.0,0.0,0.0,5.0,5.0,8.0,8.0,11.0,11.0,12.0,12.0,7.0,7.0,8.0,8.0,8.0,8.0,0.0,-1.0,0.0,-1.0
2024-05-22,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,2.0,2.0,2.0,2.0,0.0,-1.0,0.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-19,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,0.0,-1.0,0.0,-1.0
2024-05-18,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-17,-1.0,0.0,-1.0,0.0,0.0,0.0,58.0,58.0,62.0,62.0,64.0,64.0,65.0,65.0,64.0,64.0,63.0,63.0,61.0,61.0,61.0,-1.0,61.0,-1.0
2024-05-16,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,0.0,-1.0,0.0,-1.0
2024-05-15,-1.0,0.0,-1.0,0.0,0.0,0.0,14.0,14.0,17.0,17.0,16.0,16.0,17.0,17.0,17.0,17.0,12.0,12.0,10.0,10.0,10.0,-1.0,10.0,-1.0
2024-05-14,-1.0,0.0,-1.0,0.0,0.0,0.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,7.0,7.0,9.0,9.0,0.0,-1.0,0.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,-1.0,0.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,0.0,-1.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,-1.0,0.0,11.0,11.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,15.0,15.0,12.0,12.0,12.0,-1.0,12.0,-1.0
