date,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-30,0.0,8.0,6.0,7.0,4.0,4.0,4.0,6.0,5.0,9.0,16.0,16.0,15.0,15.0,9.0,10.0,10.0,9.0,22.0,26.0,0.0,0.0,27.0,28.0,29.0,29.0,26.0,26.0,25.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,40.0,42.0,40.0,40.0,35.0,35.0,39.0,37.0,37.0,37.0,0.0,0.0,41.0,42.0,39.0,40.0,40.0,39.0,41.0,0.0
2024-05-28,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,15.0,16.0,19.0,19.0,15.0,15.0,17.0,31.0,29.0,43.0,0.0,0.0,45.0,46.0,42.0,45.0,44.0,44.0,45.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,42.0,43.0,40.0,40.0,46.0,45.0,41.0,42.0,0.0,0.0,42.0,42.0,43.0,51.0,49.0,49.0,49.0,0.0
2024-05-26,0.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,3.0,7.0,36.0,39.0,38.0,38.0,35.0,35.0,46.0,45.0,47.0,48.0,0.0,0.0,52.0,105.0,108.0,109.0,106.0,106.0,107.0,0.0
2024-05-25,0.0,18.0,22.0,22.0,20.0,20.0,20.0,21.0,22.0,24.0,30.0,30.0,31.0,32.0,26.0,26.0,30.0,30.0,27.0,26.0,0.0,0.0,25.0,25.0,21.0,21.0,17.0,17.0,16.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,6.0,4.0,7.0,5.0,7.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,3.0,3.0,5.0,0.0,0.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,0.0
2024-05-23,0.0,5.0,4.0,5.0,3.0,2.0,4.0,6.0,6.0,5.0,1.0,1.0,3.0,2.0,0.0,0.0,6.0,5.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,0.0,12.0,11.0,11.0,44.0,44.0,48.0,63.0,63.0,71.0,0.0,0.0,70.0,70.0,68.0,69.0,68.0,67.0,68.0,0.0
2024-05-21,0.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,6.0,8.0,8.0,8.0,3.0,3.0,6.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,4.0,3.0,5.0,6.0,6.0,9.0,11.0,8.0,9.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,5.0,9.0,8.0,10.0,0.0
2024-05-19,0.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,7.0,7.0,3.0,14.0,0.0,0.0,12.0,13.0,10.0,10.0,7.0,5.0,7.0,0.0
2024-05-18,0.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,14.0,13.0,10.0,9.0,0.0,0.0,11.0,11.0,9.0,9.0,7.0,6.0,6.0,0.0
2024-05-17,0.0,5.0,4.0,5.0,4.0,5.0,3.0,6.0,4.0,5.0,2.0,2.0,5.0,7.0,2.0,6.0,15.0,15.0,11.0,14.0,0.0,0.0,19.0,19.0,20.0,30.0,27.0,27.0,28.0,0.0
2024-05-16,0.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,6.0,0.0,0.0,5.0,6.0,5.0,5.0,3.0,3.0,4.0,0.0
2024-05-15,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,7.0,7.0,11.0,10.0,7.0,7.0,0.0,0.0,8.0,8.0,9.0,9.0,6.0,6.0,4.0,0.0
2024-05-14,0.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,6.0,5.0,2.0,2.0,7.0,7.0,6.0,6.0,8.0,7.0,5.0,5.0,0.0,0.0,6.0,6.0,2.0,2.0,1.0,0.0,2.0,0.0
2024-05-13,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,8.0,10.0,0.0,0.0,11.0,12.0,13.0,14.0,13.0,12.0,15.0,0.0
2024-05-12,0.0,1.0,2.0,3.0,4.0,3.0,5.0,7.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,8.0,10.0,8.0,12.0,0.0,0.0,8.0,9.0,88.0,88.0,85.0,84.0,85.0,0.0
2024-05-11,0.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,11.0,13.0,9.0,10.0,0.0,0.0,20.0,20.0,19.0,20.0,17.0,17.0,17.0,0.0
2024-05-10,0.0,2.0,2.0,2.0,2.0,5.0,5.0,9.0,9.0,13.0,14.0,15.0,13.0,13.0,11.0,10.0,13.0,11.0,14.0,13.0,0.0,0.0,11.0,12.0,12.0,11.0,9.0,9.0,9.0,0.0
2024-05-09,0.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,9.0,9.0,6.0,7.0,6.0,6.0,3.0,2.0,7.0,6.0,0.0,0.0,3.0,25.0,24.0,24.0,27.0,25.0,23.0,24.0,23.0,0.0
2024-05-08,0.0,9.0,8.0,10.0,7.0,8.0,8.0,9.0,16.0,16.0,12.0,13.0,12.0,12.0,7.0,7.0,13.0,18.0,17.0,18.0,0.0,0.0,17.0,18.0,24.0,23.0,24.0,23.0,26.0,0.0
2024-05-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,3.0,8.0,5.0,5.0,7.0,5.0,7.0,7.0,0.0,0.0,5.0,5.0,7.0,6.0,4.0,3.0,5.0,0.0
2024-05-06,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,6.0,6.0,14.0,12.0,10.0,9.0,10.0,0.0
2024-05-05,0.0,4.0,3.0,3.0,4.0,12.0,11.0,14.0,15.0,15.0,14.0,15.0,13.0,14.0,7.0,6.0,18.0,16.0,12.0,10.0,0.0,0.0,10.0,11.0,13.0,11.0,9.0,9.0,8.0,0.0
2024-05-04,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,7.0,6.0,1.0,1.0,7.0,6.0,2.0,4.0,0.0,0.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0
2024-05-03,0.0,1.0,0.0,1.0,0.0,1.0,5.0,8.0,12.0,11.0,6.0,6.0,5.0,4.0,10.0,9.0,15.0,13.0,9.0,8.0,0.0,0.0,7.0,7.0,9.0,8.0,6.0,4.0,5.0,0.0
2024-05-02,0.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,14.0,14.0,11.0,12.0,11.0,11.0,8.0,9.0,10.0,9.0,6.0,5.0,0.0,0.0,15.0,15.0,16.0,16.0,13.0,14.0,13.0,0.0
2024-05-01,0.0,5.0,5.0,6.0,4.0,5.0,5.0,7.0,8.0,9.0,5.0,5.0,15.0,16.0,12.0,11.0,12.0,10.0,6.0,6.0,0.0,0.0,10.0,10.0,7.0,7.0,3.0,3.0,3.0,0.0
2024-04-30,0.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,5.0,8.0,6.0,6.0,5.0,6.0,10.0,1.0,4.0,4.0,5.0,8.0,0.0,0.0,12.0,12.0,9.0,9.0,7.0,7.0,8.0,0.0
2024-04-29,0.0,3.0,3.0,4.0,5.0,6.0,6.0,10.0,9.0,8.0,8.0,8.0,11.0,11.0,6.0,13.0,19.0,18.0,15.0,15.0,0.0,0.0,23.0,23.0,21.0,21.0,18.0,17.0,17.0,0.0
2024-04-28,0.0,6.0,5.0,5.0,3.0,5.0,5.0,7.0,5.0,5.0,9.0,10.0,9.0,10.0,3.0,2.0,6.0,6.0,8.0,19.0,0.0,0.0,19.0,20.0,19.0,20.0,17.0,17.0,17.0,0.0
2024-04-27,0.0,1.0,1.0,1.0,0.0,6.0,5.0,7.0,5.0,6.0,5.0,5.0,4.0,4.0,0.0,0.0,21.0,20.0,18.0,19.0,0.0,0.0,26.0,26.0,25.0,25.0,22.0,23.0,21.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,3.0,4.0,5.0,10.0,13.0,13.0,14.0,15.0,14.0,14.0,8.0,7.0,8.0,6.0,60.0,59.0,0.0,0.0,0.0,0.0,148.0,148.0,151.0,151.0,153.0,0.0
2024-04-25,0.0,6.0,4.0,4.0,2.0,4.0,10.0,14.0,14.0,15.0,17.0,19.0,17.0,17.0,13.0,12.0,16.0,15.0,12.0,16.0,0.0,0.0,17.0,17.0,14.0,16.0,15.0,14.0,14.0,0.0
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,9.0,6.0,5.0,0.0,0.0,3.0,4.0,1.0,15.0,18.0,19.0,19.0,0.0
2024-04-23,0.0,4.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,5.0,12.0,12.0,11.0,12.0,6.0,6.0,14.0,20.0,16.0,15.0,0.0,0.0,16.0,17.0,14.0,15.0,14.0,16.0,13.0,0.0
2024-04-22,0.0,9.0,0.0,0.0,47.0,49.0,48.0,49.0,50.0,50.0,48.0,48.0,47.0,47.0,43.0,42.0,48.0,47.0,44.0,44.0,0.0,0.0,45.0,45.0,49.0,48.0,46.0,46.0,46.0,0.0
2024-04-21,0.0,13.0,11.0,12.0,14.0,15.0,15.0,17.0,22.0,23.0,21.0,22.0,22.0,24.0,19.0,18.0,27.0,44.0,45.0,46.0,0.0,0.0,46.0,46.0,53.0,54.0,63.0,62.0,63.0,0.0
2024-04-20,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,16.0,0.0,0.0,16.0,16.0,11.0,11.0,14.0,20.0,14.0,0.0
