date,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-05-30,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
2024-05-29,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,0.0,1.0,0.0,0.0,36.0,36.0,36.0,0.0,42.0,0.0
2024-05-25,0.0,1.0,0.0,8.0,39.0,39.0,40.0,0.0,44.0,0.0
2024-05-24,0.0,1.0,0.0,2.0,0.0,0.0,13.0,0.0,28.0,0.0
2024-05-23,0.0,0.0,0.0,1.0,11.0,9.0,25.0,0.0,31.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,10.0,0.0
2024-05-21,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-05-14,0.0,0.0,0.0,0.0,25.0,23.0,25.0,0.0,24.0,0.0
2024-05-13,0.0,0.0,0.0,2.0,28.0,27.0,30.0,0.0,35.0,0.0
2024-05-10,0.0,1.0,3.0,5.0,3.0,2.0,6.0,0.0,4.0,0.0
2024-05-08,0.0,4.0,4.0,4.0,25.0,24.0,26.0,0.0,26.0,0.0
2024-05-07,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,0.0,1.0,2.0,19.0,18.0,22.0,0.0,22.0,0.0
2024-05-05,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
2024-05-04,0.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0
2024-05-03,0.0,2.0,3.0,4.0,18.0,20.0,23.0,0.0,27.0,0.0
2024-05-02,0.0,1.0,3.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0
