date,Stralsund_Hbf.in,Stralsund_Hbf.out,Velgast.in,Velgast.out,Marburg_Hbf.in,Marburg_Hbf.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Rostock_Hbf.in,Rostock_Hbf.out,Friedberg_(Hessen).in,Friedberg_(Hessen).out,Bützow.in,Bützow.out,Bad_Kleinen.in,Bad_Kleinen.out,Ludwigslust.in,Ludwigslust.out,Schwerin_Hbf.in,Schwerin_Hbf.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Uelzen.in,Uelzen.out,Celle.in,Celle.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Wabern(Bz_Kassel).in,Wabern(Bz_Kassel).out,Treysa.in,Treysa.out,Marburg(Lahn).in,Marburg(Lahn).out,Gießen.in,Gießen.out,Friedberg(Hess).in,Friedberg(Hess).out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Darmstadt_Hbf_ZOB.in,Darmstadt_Hbf_ZOB.out,Bensheim.in,Bensheim.out,Weinheim(Bergstr)Hbf.in,Weinheim(Bergstr)Hbf.out,Weinheim_Hbf.in,Weinheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Wiesloch-Walldorf.in,Wiesloch-Walldorf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,47.0,39.0,39.0,39.0,38.0,39.0,38.0,38.0,37.0,37.0,34.0,36.0,37.0,39.0,35.0,33.0,37.0,38.0,37.0,38.0,36.0,36.0,35.0,180.0,177.0,177.0,174.0,0.0,0.0,0.0,174.0,174.0,0.0,0.0,0.0,0.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,0.0
2024-05-28,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,14.0,6.0,9.0,9.0,9.0,9.0,10.0,9.0,6.0,7.0,5.0,5.0,3.0,5.0,5.0,3.0,17.0,18.0,17.0,17.0,14.0,14.0,11.0,12.0,9.0,9.0,6.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,41.0,60.0,60.0,59.0,42.0,43.0,43.0,42.0,40.0,0.0
2024-05-27,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,3.0,2.0,3.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,5.0,6.0,5.0,5.0,2.0,3.0,2.0,6.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,17.0,17.0,1.0,2.0,0.0,0.0,17.0,4.0,16.0,15.0,15.0,15.0,15.0,14.0,17.0,16.0,16.0,16.0,18.0,17.0,18.0,18.0,19.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,12.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
2024-05-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
