date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Büchen.in,Büchen.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Jena_Paradies.in,Jena_Paradies.out,Jena-Göschwitz.in,Jena-Göschwitz.out
2024-05-30,0.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,9.0,4.0,5.0,6.0,6.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
2024-05-29,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,1.0,2.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
2024-05-28,0.0,1.0,0.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,9.0,4.0,4.0,5.0,6.0,6.0,2.0,1.0,0.0,0.0,25.0,25.0,24.0,0.0
2024-05-27,0.0,1.0,0.0,14.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,17.0,11.0,12.0,11.0,14.0,15.0,16.0,11.0,9.0,8.0,6.0,6.0,7.0,0.0
2024-05-26,0.0,1.0,0.0,9.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,30.0,28.0,29.0,30.0,32.0,33.0,30.0,34.0,36.0,35.0,31.0,31.0,31.0,0.0
2024-05-24,0.0,1.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,2.0,2.0,3.0,7.0,8.0,6.0,8.0,2.0,2.0,0.0,0.0,4.0,0.0
2024-05-23,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,15.0,14.0,16.0,16.0,17.0,18.0,18.0,17.0,15.0,15.0,9.0,9.0,11.0,0.0
2024-05-22,0.0,1.0,1.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,9.0,8.0,9.0,12.0,13.0,13.0,10.0,7.0,7.0,4.0,3.0,4.0,0.0
2024-05-21,0.0,2.0,2.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,15.0,9.0,10.0,10.0,11.0,12.0,8.0,8.0,5.0,4.0,1.0,1.0,2.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,3.0,23.0,6.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
