date,Basel_Bad_Bf.in,Basel_Bad_Bf.out,Freiburg(Breisgau)_Hbf.in,Freiburg(Breisgau)_Hbf.out,Offenburg.in,Offenburg.out,Baden-Baden.in,Baden-Baden.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,6.0,7.0,13.0,22.0,40.0,41.0,40.0,41.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0
2024-05-29,0.0,2.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,12.0,12.0,27.0,27.0,29.0,28.0,23.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
2024-05-28,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,7.0,8.0,44.0,45.0,45.0,46.0,49.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0
2024-05-26,0.0,3.0,2.0,2.0,0.0,0.0,5.0,6.0,6.0,6.0,8.0,9.0,16.0,16.0,3.0,3.0,2.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
2024-05-25,0.0,1.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,6.0,16.0,20.0,27.0,31.0,31.0,25.0,22.0,21.0,27.0,29.0,25.0,26.0,30.0,31.0,29.0,29.0,37.0,0.0
2024-05-24,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,7.0,8.0,7.0,8.0,12.0,12.0,15.0,16.0,10.0,3.0,8.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,2.0,3.0,13.0,13.0,12.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,8.0,8.0,7.0,10.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0
2024-05-21,0.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,6.0,7.0,11.0,12.0,25.0,24.0,18.0,10.0,5.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,21.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,2.0,10.0,32.0,32.0,12.0,11.0,13.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,8.0,0.0
2024-05-18,0.0,2.0,0.0,2.0,3.0,3.0,9.0,11.0,11.0,12.0,10.0,12.0,18.0,18.0,5.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,5.0,14.0,15.0,20.0,21.0,24.0,25.0,21.0,13.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2024-05-16,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,6.0,6.0,9.0,11.0,13.0,17.0,26.0,26.0,20.0,12.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,4.0,21.0,23.0,18.0,12.0,5.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,12.0,12.0,2.0,0.0
2024-05-13,0.0,0.0,1.0,1.0,0.0,0.0,8.0,9.0,10.0,11.0,13.0,16.0,27.0,30.0,18.0,17.0,12.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,8.0,0.0,0.0,17.0,17.0,13.0,13.0,10.0,12.0,13.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,14.0,8.0,0.0
2024-05-11,0.0,8.0,6.0,25.0,0.0,0.0,54.0,54.0,51.0,50.0,49.0,51.0,54.0,55.0,71.0,71.0,78.0,71.0,62.0,61.0,59.0,59.0,63.0,63.0,57.0,57.0,55.0,55.0,57.0,0.0
2024-05-10,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,4.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
2024-05-08,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,0.0
2024-05-07,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,7.0,5.0,5.0,3.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,4.0,3.0,4.0,5.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0
2024-05-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,4.0,4.0,11.0,11.0,12.0,12.0,10.0,0.0
2024-05-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,2.0,2.0,7.0,7.0,13.0,14.0,11.0,5.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0
2024-04-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0
2024-04-29,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,23.0,21.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,9.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
