date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wittenberge.in,Wittenberge.out,Ludwigslust.in,Ludwigslust.out,Büchen.in,Büchen.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-27,0.0,2.0,6.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,7.0,6.0,12.0,11.0,10.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0
2024-05-26,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2024-05-22,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,5.0,5.0,12.0,11.0,12.0,12.0,11.0,0.0
2024-05-21,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,17.0,16.0,15.0,11.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,14.0,13.0,12.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,4.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,0.0,0.0,75.0,75.0,75.0,71.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,63.0,62.0,62.0,0.0
2024-05-19,0.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,0.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,35.0,35.0,29.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,1.0,1.0,2.0,2.0,2.0,8.0,8.0,2.0,1.0,0.0,7.0,12.0,13.0,64.0,64.0,66.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,57.0,60.0,59.0,59.0,0.0
2024-05-16,0.0,2.0,5.0,5.0,7.0,7.0,7.0,8.0,7.0,7.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,26.0,28.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,136.0,138.0,138.0,142.0,0.0
2024-05-15,0.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,14.0,23.0,22.0,25.0,25.0,27.0,24.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,26.0,25.0,0.0
2024-05-14,0.0,12.0,11.0,11.0,13.0,14.0,20.0,20.0,16.0,17.0,16.0,20.0,20.0,19.0,19.0,18.0,18.0,86.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,89.0,86.0,85.0,85.0,0.0
2024-05-13,0.0,1.0,5.0,5.0,6.0,6.0,7.0,6.0,0.0,1.0,2.0,2.0,3.0,3.0,5.0,4.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,4.0,4.0,0.0
2024-05-12,0.0,2.0,2.0,3.0,3.0,2.0,20.0,23.0,18.0,22.0,15.0,15.0,17.0,16.0,23.0,24.0,24.0,21.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.0,21.0,21.0,20.0,0.0
2024-05-11,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,16.0,16.0,15.0,0.0
2024-05-10,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,8.0,11.0,10.0,17.0,22.0,23.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,26.0,26.0,25.0,0.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0.0,4.0,7.0,6.0,14.0,14.0,46.0,47.0,42.0,44.0,38.0,38.0,0.0,0.0,31.0,25.0,22.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0
2024-05-07,0.0,1.0,1.0,9.0,15.0,14.0,17.0,17.0,10.0,11.0,7.0,7.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,102.0,0.0,0.0
2024-05-05,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,3.0,2.0,0.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
2024-05-03,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,0.0
2024-05-02,0.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,6.0,6.0,4.0,4.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0
2024-05-01,0.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,7.0,5.0,6.0,0.0
2024-04-30,0.0,1.0,6.0,6.0,6.0,7.0,10.0,10.0,6.0,6.0,4.0,5.0,8.0,7.0,5.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
