date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,0.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,9.0,20.0,19.0,49.0,49.0,0.0,0.0,48.0,49.0,50.0,0.0
2024-05-29,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-05-28,0.0,18.0,18.0,18.0,17.0,18.0,12.0,12.0,16.0,15.0,14.0,17.0,53.0,54.0,0.0,0.0,53.0,54.0,54.0,0.0
2024-05-27,0.0,5.0,4.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,9.0,10.0,0.0,0.0,7.0,8.0,3.0,0.0
2024-05-26,0.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,4.0,38.0,42.0,0.0,0.0,41.0,41.0,42.0,0.0
2024-05-25,0.0,1.0,0.0,1.0,0.0,0.0,2.0,12.0,11.0,10.0,8.0,8.0,40.0,41.0,0.0,0.0,37.0,37.0,38.0,0.0
2024-05-24,0.0,6.0,5.0,6.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,47.0,48.0,0.0,0.0,43.0,44.0,50.0,0.0
2024-05-23,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,6.0,5.0,3.0,10.0,11.0,0.0,0.0,6.0,7.0,7.0,0.0
2024-05-22,0.0,24.0,23.0,24.0,21.0,22.0,19.0,20.0,3.0,2.0,1.0,10.0,15.0,16.0,0.0,0.0,11.0,12.0,15.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0
2024-05-20,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-05-19,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,16.0,14.0,14.0,40.0,41.0,0.0,0.0,69.0,70.0,70.0,0.0
2024-05-18,0.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,4.0,6.0,4.0,4.0,3.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0
2024-05-17,0.0,7.0,7.0,8.0,4.0,4.0,5.0,5.0,7.0,8.0,8.0,19.0,46.0,46.0,0.0,0.0,47.0,47.0,57.0,0.0
2024-05-16,0.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,5.0,4.0,5.0,3.0,9.0,11.0,0.0,0.0,6.0,6.0,18.0,0.0
2024-05-15,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,9.0,9.0,8.0,3.0,12.0,13.0,0.0,0.0,10.0,10.0,12.0,0.0
2024-05-14,0.0,1.0,0.0,2.0,0.0,82.0,79.0,80.0,74.0,73.0,71.0,66.0,66.0,67.0,0.0,0.0,63.0,63.0,62.0,0.0
2024-05-13,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0,22.0,78.0,83.0,0.0,0.0,80.0,81.0,83.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,24.0,18.0,37.0,37.0,0.0,0.0,33.0,33.0,37.0,0.0
2024-05-11,0.0,2.0,2.0,3.0,0.0,3.0,0.0,0.0,41.0,39.0,38.0,34.0,42.0,43.0,0.0,0.0,37.0,37.0,36.0,0.0
2024-05-10,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,7.0,8.0,0.0,0.0,3.0,3.0,4.0,0.0
2024-05-09,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,6.0,5.0,4.0,7.0,7.0,7.0,0.0,0.0,5.0,5.0,11.0,0.0
2024-05-08,0.0,25.0,0.0,26.0,22.0,22.0,16.0,16.0,2.0,2.0,5.0,3.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0
2024-05-07,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,1.0,1.0,1.0,1.0,13.0,10.0,11.0,5.0,1.0,1.0,7.0,10.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0
2024-05-04,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0
2024-05-02,0.0,30.0,0.0,30.0,25.0,24.0,20.0,22.0,6.0,4.0,3.0,2.0,1.0,3.0,0.0,0.0,4.0,4.0,1.0,0.0
2024-05-01,0.0,6.0,6.0,6.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,3.0,3.0,3.0,0.0
2024-04-30,0.0,1.0,1.0,2.0,0.0,0.0,5.0,5.0,4.0,2.0,1.0,1.0,7.0,9.0,0.0,0.0,4.0,4.0,7.0,0.0
2024-04-29,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,3.0,3.0,3.0,0.0
2024-04-28,0.0,1.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,2.0,1.0,19.0,19.0,0.0,0.0,12.0,13.0,14.0,0.0
2024-04-27,0.0,22.0,0.0,22.0,18.0,20.0,22.0,22.0,25.0,27.0,23.0,18.0,21.0,28.0,0.0,0.0,24.0,25.0,24.0,0.0
2024-04-26,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,135.0,143.0,157.0,153.0,158.0,159.0,0.0,0.0,156.0,157.0,156.0,0.0
2024-04-25,0.0,6.0,0.0,7.0,10.0,10.0,5.0,6.0,21.0,20.0,24.0,19.0,29.0,31.0,27.0,27.0,30.0,30.0,31.0,0.0
2024-04-24,0.0,1.0,2.0,2.0,4.0,5.0,4.0,5.0,3.0,2.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0
2024-04-23,0.0,12.0,0.0,12.0,12.0,14.0,9.0,9.0,6.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0
2024-04-22,0.0,2.0,0.0,3.0,13.0,12.0,6.0,6.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0
2024-04-21,0.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,9.0,9.0,0.0,0.0,4.0,4.0,9.0,0.0
2024-04-19,0.0,0.0,0.0,1.0,25.0,25.0,21.0,21.0,4.0,4.0,1.0,2.0,7.0,9.0,0.0,0.0,6.0,7.0,8.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,6.0,7.0,5.0,3.0,3.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
2024-04-17,0.0,0.0,0.0,5.0,4.0,3.0,10.0,10.0,10.0,7.0,6.0,1.0,6.0,6.0,0.0,0.0,2.0,2.0,3.0,0.0
2024-04-16,0.0,0.0,0.0,1.0,3.0,3.0,5.0,5.0,6.0,4.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,6.0,8.0,11.0,0.0,0.0,7.0,7.0,6.0,0.0
2024-04-14,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0
2024-04-13,0.0,1.0,0.0,2.0,4.0,4.0,54.0,54.0,53.0,63.0,63.0,61.0,62.0,64.0,0.0,0.0,60.0,61.0,60.0,0.0
2024-04-12,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0
2024-04-08,0.0,16.0,0.0,32.0,29.0,29.0,28.0,31.0,14.0,13.0,10.0,4.0,5.0,6.0,0.0,0.0,3.0,3.0,5.0,0.0
2024-04-06,0.0,7.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,8.0,9.0,0.0,0.0,4.0,5.0,10.0,0.0
2024-04-05,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,87.0,88.0,0.0,0.0,82.0,83.0,82.0,0.0
2024-04-04,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,5.0,6.0,7.0,7.0,0.0,0.0,3.0,3.0,4.0,0.0
2024-04-03,0.0,3.0,0.0,5.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-02,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,12.0,10.0,6.0,26.0,26.0,0.0,0.0,20.0,20.0,22.0,0.0
2024-04-01,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,6.0,6.0,6.0,4.0,5.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0
