date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,0.0,0.0,2.0,2.0,4.0,4.0,11.0,24.0,29.0,28.0,25.0,26.0,21.0,26.0,31.0,31.0,46.0,39.0,47.0,47.0,47.0,0.0
2024-05-29,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,29.0,29.0,30.0,30.0,0.0,0.0,31.0,30.0,34.0,34.0,43.0,41.0,44.0,42.0,39.0,42.0,34.0,37.0,36.0,36.0,38.0,38.0,37.0,37.0,36.0,0.0
2024-05-28,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,20.0,22.0,17.0,23.0,26.0,0.0,0.0,0.0,0.0,19.0,19.0,20.0,20.0,0.0,0.0,25.0,26.0,29.0,29.0,35.0,34.0,37.0,36.0,35.0,37.0,33.0,32.0,28.0,28.0,27.0,27.0,24.0,24.0,31.0,0.0
2024-05-27,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,8.0,13.0,13.0,13.0,0.0,0.0,12.0,12.0,13.0,13.0,14.0,14.0,16.0,15.0,15.0,19.0,22.0,22.0,22.0,23.0,26.0,33.0,28.0,28.0,32.0,0.0
2024-05-26,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,22.0,27.0,45.0,44.0,48.0,48.0,54.0,53.0,55.0,54.0,54.0,54.0,44.0,45.0,53.0,53.0,55.0,54.0,54.0,54.0,54.0,0.0
2024-05-25,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,5.0,16.0,18.0,21.0,0.0,0.0,0.0,0.0,17.0,18.0,19.0,19.0,0.0,0.0,18.0,17.0,16.0,15.0,16.0,15.0,17.0,16.0,14.0,13.0,6.0,6.0,9.0,9.0,9.0,9.0,6.0,5.0,4.0,0.0
2024-05-24,0.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,5.0,4.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,12.0,12.0,12.0,11.0,22.0,20.0,13.0,14.0,8.0,8.0,9.0,9.0,6.0,6.0,6.0,0.0
2024-05-23,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-22,0.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,11.0,10.0,17.0,15.0,18.0,21.0,0.0,0.0,0.0,0.0,28.0,31.0,31.0,31.0,0.0,0.0,29.0,28.0,29.0,28.0,27.0,30.0,31.0,30.0,30.0,28.0,24.0,24.0,23.0,25.0,26.0,26.0,24.0,24.0,25.0,0.0
2024-05-21,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,6.0,0.0,0.0,4.0,3.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,2.0,58.0,57.0,0.0,0.0,2.0,2.0,1.0,4.0,4.0,0.0
