date,Kiel_Hbf.in,Kiel_Hbf.out,Neumünster.in,Neumünster.out,Uelzen.in,Uelzen.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Celle.in,Celle.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,17.0,17.0,17.0,16.0,10.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,3.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,19.0,22.0,22.0,16.0,15.0,12.0,13.0,13.0,13.0,0.0,0.0,10.0,5.0,11.0,10.0,14.0,14.0,15.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,13.0,18.0,18.0,11.0,10.0,6.0,7.0,5.0,5.0,0.0,0.0,2.0,4.0,8.0,5.0,20.0,19.0,15.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,7.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,6.0,6.0,3.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,5.0,5.0,4.0,1.0,5.0,5.0,2.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,38.0,37.0,7.0,7.0,8.0,20.0,0.0,0.0,35.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,20.0,16.0,0.0,0.0,15.0,14.0,0.0,5.0,1.0,1.0,0.0,0.0,11.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,17.0,19.0,20.0,17.0,24.0,24.0,19.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,6.0,7.0,7.0,3.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,10.0,9.0,0.0,0.0,1.0,3.0,3.0,1.0,10.0,13.0,15.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,8.0,4.0,0.0
