date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Montabaur.in,Montabaur.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-30,0.0,1.0,7.0,7.0,7.0,8.0,8.0,8.0,4.0,3.0,8.0,10.0,12.0,13.0,19.0,25.0,26.0,26.0,27.0,28.0,26.0,27.0,0.0,0.0,27.0,25.0,0.0,0.0,0.0,0.0,39.0,46.0,58.0,55.0,77.0,79.0,65.0,72.0,77.0,78.0,75.0,75.0,72.0,0.0
2024-05-29,0.0,5.0,5.0,9.0,9.0,9.0,13.0,13.0,8.0,8.0,2.0,18.0,16.0,18.0,26.0,24.0,36.0,36.0,37.0,37.0,35.0,36.0,0.0,0.0,60.0,58.0,0.0,0.0,0.0,0.0,57.0,59.0,62.0,58.0,59.0,58.0,44.0,44.0,43.0,43.0,41.0,40.0,32.0,0.0
2024-05-28,0.0,1.0,0.0,2.0,2.0,7.0,6.0,6.0,1.0,3.0,1.0,2.0,4.0,4.0,14.0,13.0,15.0,15.0,18.0,18.0,18.0,18.0,0.0,0.0,21.0,19.0,0.0,0.0,0.0,0.0,15.0,16.0,19.0,17.0,15.0,15.0,19.0,18.0,16.0,16.0,24.0,26.0,25.0,0.0
2024-05-27,0.0,1.0,0.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,11.0,12.0,13.0,11.0,12.0,12.0,14.0,15.0,13.0,13.0,0.0,0.0,18.0,12.0,0.0,0.0,40.0,41.0,31.0,32.0,30.0,25.0,22.0,21.0,6.0,7.0,2.0,2.0,0.0,0.0,9.0,0.0
2024-05-26,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,16.0,18.0,19.0,20.0,19.0,19.0,19.0,0.0,0.0,20.0,31.0,0.0,0.0,0.0,0.0,30.0,30.0,31.0,26.0,26.0,28.0,19.0,19.0,15.0,16.0,16.0,16.0,13.0,0.0
2024-05-25,0.0,21.0,19.0,19.0,19.0,19.0,19.0,21.0,29.0,30.0,22.0,22.0,24.0,24.0,24.0,22.0,34.0,34.0,34.0,34.0,31.0,32.0,0.0,0.0,38.0,37.0,0.0,0.0,0.0,0.0,45.0,48.0,48.0,46.0,51.0,50.0,42.0,42.0,40.0,40.0,38.0,40.0,37.0,0.0
2024-05-24,0.0,24.0,0.0,22.0,0.0,24.0,23.0,24.0,26.0,26.0,20.0,20.0,20.0,20.0,19.0,17.0,19.0,19.0,21.0,21.0,19.0,19.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,14.0,16.0,14.0,12.0,9.0,9.0,7.0,6.0,4.0,4.0,0.0,0.0,2.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,2.0,3.0,4.0,7.0,1.0,2.0,0.0,1.0,1.0,1.0,12.0,13.0,17.0,17.0,20.0,20.0,21.0,21.0,0.0,0.0,21.0,19.0,0.0,0.0,0.0,0.0,15.0,17.0,15.0,11.0,9.0,11.0,5.0,5.0,5.0,4.0,0.0,0.0,7.0,0.0
2024-05-22,0.0,4.0,3.0,3.0,4.0,5.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,178.0,181.0,181.0,183.0,184.0,195.0,195.0,0.0,0.0,0.0,0.0,180.0,180.0,0.0,0.0,184.0,184.0,182.0,178.0,192.0,191.0,185.0,185.0,181.0,181.0,0.0,0.0,166.0,0.0
2024-05-21,0.0,4.0,3.0,2.0,2.0,6.0,6.0,6.0,1.0,12.0,5.0,5.0,5.0,6.0,3.0,2.0,4.0,5.0,13.0,14.0,13.0,14.0,0.0,0.0,13.0,20.0,0.0,0.0,0.0,0.0,8.0,9.0,6.0,4.0,4.0,6.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0,3.0,0.0,3.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,4.0,6.0,0.0,0.0,24.0,24.0,9.0,10.0,10.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,9.0,15.0,13.0,13.0,14.0,17.0,17.0,16.0,16.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,9.0,11.0,30.0,45.0,30.0,31.0,31.0,30.0,28.0,28.0,27.0,28.0,27.0,0.0
2024-05-18,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,3.0,6.0,6.0,7.0,8.0,6.0,6.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,12.0,9.0,9.0,6.0,0.0
2024-05-17,0.0,0.0,4.0,5.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,28.0,27.0,0.0,0.0,0.0,0.0,29.0,27.0,0.0,0.0,0.0,0.0,20.0,21.0,21.0,16.0,54.0,56.0,26.0,26.0,28.0,28.0,0.0,0.0,21.0,0.0
2024-05-16,0.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,3.0,10.0,11.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,4.0,10.0,9.0,18.0,14.0,18.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-05-15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,6.0,5.0,5.0,5.0,6.0,6.0,0.0,0.0,6.0,0.0
2024-05-14,0.0,17.0,18.0,18.0,18.0,22.0,21.0,22.0,17.0,17.0,11.0,11.0,11.0,12.0,37.0,35.0,16.0,16.0,16.0,16.0,15.0,15.0,0.0,0.0,19.0,20.0,0.0,0.0,0.0,0.0,15.0,17.0,16.0,13.0,10.0,9.0,3.0,2.0,6.0,6.0,0.0,0.0,3.0,0.0
2024-05-13,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,80.0,79.0,193.0,193.0,194.0,195.0,201.0,199.0,200.0,200.0,200.0,200.0,200.0,201.0,0.0,0.0,203.0,202.0,0.0,0.0,0.0,0.0,197.0,219.0,221.0,216.0,218.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,11.0,11.0,12.0,14.0,13.0,21.0,22.0,23.0,26.0,26.0,24.0,24.0,0.0,0.0,27.0,34.0,0.0,0.0,0.0,0.0,32.0,34.0,38.0,33.0,35.0,42.0,32.0,32.0,41.0,40.0,37.0,37.0,35.0,0.0
2024-05-11,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,2.0,26.0,27.0,28.0,28.0,27.0,26.0,29.0,29.0,29.0,29.0,28.0,28.0,0.0,0.0,27.0,26.0,0.0,0.0,0.0,0.0,24.0,40.0,38.0,93.0,91.0,91.0,85.0,146.0,148.0,146.0,144.0,144.0,142.0,0.0
2024-05-10,0.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,1.0,15.0,18.0,20.0,20.0,21.0,22.0,20.0,20.0,0.0,0.0,24.0,30.0,0.0,0.0,0.0,0.0,33.0,37.0,58.0,54.0,52.0,57.0,43.0,44.0,43.0,41.0,0.0,0.0,40.0,0.0
