date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Messe/Laatzen.in,Hannover_Messe/Laatzen.out,Hannover_Hbf.in,Hannover_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,9.0,12.0,12.0,8.0,9.0,0.0,0.0,10.0,9.0,11.0,11.0,12.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,27.0,28.0,25.0,26.0,0.0,0.0,27.0,26.0,26.0,26.0,27.0,0.0
2024-05-28,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,24.0,25.0,20.0,20.0,0.0,0.0,23.0,24.0,24.0,24.0,24.0,0.0
2024-05-27,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,11.0,8.0,8.0,0.0,0.0,7.0,6.0,7.0,7.0,7.0,0.0
2024-05-26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,12.0,15.0,11.0,11.0,0.0,0.0,12.0,12.0,0.0,0.0,9.0,0.0
2024-05-25,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,15.0,16.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,8.0,0.0
2024-05-22,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0
2024-05-21,0.0,2.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0
2024-05-20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
