date,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Stendal_Hbf.in,Stendal_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out
2024-05-30,0.0,0.0,0.0,2.0,0.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,0.0,1.0,0.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,0.0,0.0,7.0,6.0,6.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,8.0,8.0,6.0,7.0,7.0,6.0,7.0,4.0,4.0,0.0,0.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,0.0,0.0,1.0,3.0,4.0,5.0,5.0,11.0,12.0,9.0,9.0,10.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,0.0,1.0,0.0,9.0,9.0,8.0,6.0,6.0,5.0,23.0,20.0,19.0,21.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,5.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,1.0,1.0,1.0,1.0,0.0,22.0,22.0,23.0,23.0,18.0,18.0,17.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
