date,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,0.0,1.0,1.0,7.0,12.0,12.0,12.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,0.0,2.0,4.0,19.0,20.0,30.0,30.0,23.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,1.0,2.0,4.0,6.0,9.0,9.0,4.0,3.0,1.0,1.0,5.0,5.0,5.0,0.0
2024-05-23,0.0,7.0,14.0,14.0,15.0,22.0,23.0,23.0,22.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,0.0,0.0,0.0,1.0,2.0,4.0,8.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0
2024-05-21,0.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,3.0,4.0,0.0
