date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Soest.in,Soest.out,Lippstadt.in,Lippstadt.out,Paderborn_Hbf.in,Paderborn_Hbf.out,Altenbeken.in,Altenbeken.out,Warburg(W).in,Warburg(W).out,Warburg(Westf).in,Warburg(Westf).out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Eisenach.in,Eisenach.out,Gotha.in,Gotha.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Weimar.in,Weimar.out,Jena_West.in,Jena_West.out,Jena-Göschwitz.in,Jena-Göschwitz.out,Stadtroda.in,Stadtroda.out,Hermsdorf-Klosterlausnitz.in,Hermsdorf-Klosterlausnitz.out,Gera_Hbf.in,Gera_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,8.0,7.0,9.0,10.0,11.0,11.0,25.0,25.0,28.0,28.0,0.0,0.0,30.0,30.0,31.0,34.0,36.0,37.0,37.0,37.0,37.0,39.0,40.0,41.0,41.0,41.0,41.0,40.0,39.0,38.0,38.0,37.0,40.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,18.0,15.0,21.0,20.0,21.0,21.0,22.0,23.0,21.0,21.0,0.0,0.0,21.0,21.0,20.0,22.0,21.0,21.0,21.0,19.0,22.0,24.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,23.0,23.0,23.0,21.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,4.0,3.0,5.0,5.0,6.0,6.0,8.0,7.0,6.0,7.0,0.0,0.0,8.0,7.0,6.0,7.0,13.0,12.0,12.0,9.0,7.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,7.0,0.0
2024-05-27,0.0,3.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,5.0,4.0,5.0,4.0,7.0,6.0,7.0,7.0,5.0,5.0,0.0,0.0,5.0,5.0,3.0,4.0,5.0,6.0,6.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2024-05-26,0.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,7.0,7.0,6.0,4.0,5.0,0.0,0.0,6.0,6.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,7.0,11.0,10.0,0.0,0.0,10.0,10.0,9.0,8.0,6.0,5.0,3.0,2.0,0.0,0.0,4.0,8.0,9.0,9.0,12.0,12.0,12.0,12.0,10.0,10.0,0.0,0.0,10.0,9.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-22,0.0,9.0,7.0,7.0,0.0,0.0,7.0,7.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,0.0,0.0,5.0,7.0,0.0,0.0,9.0,9.0,7.0,6.0,5.0,5.0,3.0,2.0,4.0,4.0,7.0,6.0,10.0,10.0,11.0,10.0,10.0,10.0,8.0,8.0,0.0,0.0,8.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,2.0,3.0,6.0,0.0,0.0,6.0,6.0,5.0,8.0,5.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,1.0,1.0,11.0,0.0,0.0,11.0,10.0,8.0,7.0,6.0,5.0,2.0,1.0,8.0,12.0,13.0,13.0,14.0,13.0,14.0,14.0,27.0,27.0,26.0,26.0,0.0,0.0,26.0,25.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,8.0,16.0,14.0,0.0,0.0,14.0,14.0,12.0,11.0,9.0,9.0,6.0,6.0,5.0,4.0,1.0,23.0,25.0,24.0,25.0,24.0,29.0,28.0,27.0,27.0,0.0,0.0,27.0,27.0,34.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,6.0,7.0,7.0,7.0,6.0,5.0,5.0,0.0,0.0,9.0,8.0,7.0,9.0,9.0,10.0,10.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,5.0,0.0
2024-05-15,0.0,6.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,7.0,7.0,0.0,0.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,0.0,3.0,2.0,2.0,0.0,0.0,5.0,7.0,6.0,6.0,5.0,7.0,5.0,5.0,8.0,7.0,9.0,12.0,13.0,12.0,13.0,12.0,12.0,15.0,14.0,14.0,0.0,0.0,14.0,13.0,12.0,13.0,11.0,11.0,12.0,12.0,8.0,9.0,9.0,9.0,4.0,4.0,8.0,8.0,8.0,7.0,6.0,4.0,8.0,0.0
2024-05-12,0.0,0.0,4.0,5.0,0.0,0.0,5.0,6.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,0.0,6.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,18.0,20.0,19.0,19.0,19.0,17.0,17.0,0.0,0.0,17.0,17.0,19.0,20.0,43.0,44.0,45.0,43.0,43.0,44.0,42.0,42.0,43.0,43.0,43.0,43.0,42.0,41.0,42.0,41.0,38.0,0.0
2024-05-10,0.0,4.0,2.0,1.0,0.0,0.0,2.0,5.0,9.0,8.0,7.0,18.0,18.0,18.0,16.0,15.0,14.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,7.0,6.0,0.0,0.0,6.0,5.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0
2024-05-09,0.0,9.0,10.0,10.0,0.0,0.0,11.0,13.0,12.0,12.0,11.0,12.0,9.0,9.0,10.0,9.0,14.0,12.0,17.0,16.0,16.0,16.0,17.0,17.0,15.0,14.0,0.0,0.0,15.0,20.0,18.0,19.0,15.0,16.0,15.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,2.0,0.0
2024-05-08,0.0,3.0,6.0,5.0,0.0,0.0,4.0,5.0,7.0,6.0,4.0,4.0,1.0,0.0,0.0,0.0,5.0,3.0,14.0,14.0,16.0,15.0,16.0,16.0,15.0,14.0,0.0,0.0,17.0,17.0,19.0,19.0,40.0,40.0,43.0,40.0,37.0,38.0,39.0,39.0,47.0,47.0,36.0,36.0,35.0,34.0,47.0,46.0,50.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,16.0,18.0,18.0,21.0,21.0,20.0,21.0,0.0,0.0,21.0,20.0,21.0,21.0,19.0,20.0,21.0,18.0,18.0,19.0,18.0,18.0,17.0,17.0,17.0,16.0,16.0,15.0,14.0,14.0,13.0,0.0
2024-05-06,0.0,1.0,10.0,10.0,0.0,0.0,11.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,7.0,7.0,6.0,5.0,12.0,11.0,11.0,10.0,9.0,9.0,0.0,0.0,8.0,7.0,5.0,5.0,12.0,12.0,12.0,12.0,11.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,6.0,7.0,6.0,5.0,0.0
2024-05-05,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,7.0,7.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
2024-05-04,0.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-05-03,0.0,29.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,21.0,20.0,21.0,20.0,22.0,21.0,25.0,24.0,23.0,24.0,0.0,0.0,24.0,24.0,23.0,23.0,46.0,48.0,50.0,47.0,44.0,45.0,44.0,44.0,46.0,46.0,46.0,45.0,44.0,43.0,49.0,49.0,48.0,0.0
2024-05-02,0.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,37.0,42.0,45.0,44.0,44.0,43.0,42.0,48.0,47.0,47.0,46.0,47.0,46.0,47.0,50.0,50.0,0.0
2024-05-01,0.0,5.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,26.0,24.0,25.0,24.0,25.0,24.0,27.0,27.0,25.0,24.0,0.0,0.0,24.0,23.0,23.0,23.0,26.0,65.0,71.0,70.0,68.0,69.0,68.0,67.0,67.0,67.0,67.0,67.0,66.0,65.0,65.0,64.0,63.0,0.0
2024-04-29,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,54.0,54.0,51.0,52.0,53.0,55.0,55.0,55.0,55.0,54.0,54.0,53.0,52.0,52.0,51.0,54.0,0.0
2024-04-28,0.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
2024-04-27,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,8.0,11.0,11.0,11.0,13.0,12.0,12.0,12.0,11.0,10.0,0.0,0.0,14.0,13.0,14.0,15.0,11.0,11.0,11.0,7.0,5.0,7.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,0.0
2024-04-26,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,1.0,3.0,3.0,5.0,4.0,6.0,5.0,12.0,15.0,0.0,0.0,16.0,16.0,16.0,17.0,13.0,12.0,12.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,3.0,5.0,4.0,2.0,0.0
2024-04-24,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,7.0,6.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,0.0,0.0,5.0,5.0,3.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-04-23,0.0,5.0,3.0,4.0,0.0,0.0,7.0,6.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,5.0,6.0,5.0,5.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,7.0,7.0,11.0,7.0,8.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,0.0
2024-04-22,0.0,3.0,17.0,14.0,0.0,0.0,14.0,14.0,15.0,14.0,12.0,12.0,9.0,8.0,10.0,9.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,6.0,6.0,5.0,0.0,0.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
