date,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Wittenberge.in,Wittenberge.out,Ludwigslust.in,Ludwigslust.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-23,0.0,5.0,0.0,0.0,5.0,6.0,3.0,4.0,11.0,0.0
2024-05-10,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,19.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,0.0,0.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
2024-05-02,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
2024-04-30,0.0,0.0,1.0,1.0,5.0,5.0,4.0,4.0,13.0,0.0
2024-04-29,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,0.0,30.0,40.0,40.0,36.0,36.0,35.0,36.0,34.0,0.0
2024-04-26,0.0,1.0,8.0,9.0,9.0,9.0,8.0,9.0,36.0,0.0
2024-04-25,0.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,7.0,0.0
2024-04-24,0.0,3.0,9.0,8.0,6.0,6.0,4.0,4.0,8.0,0.0
2024-04-23,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-04-22,0.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,6.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,0.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,0.0
2024-04-19,0.0,2.0,7.0,9.0,12.0,12.0,10.0,10.0,13.0,0.0
2024-04-18,0.0,0.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,0.0
2024-04-17,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0
2024-04-16,0.0,0.0,7.0,7.0,5.0,5.0,5.0,6.0,8.0,0.0
2024-04-15,0.0,1.0,4.0,6.0,6.0,7.0,5.0,5.0,16.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,2.0,0.0
2024-04-12,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,0.0
2024-04-11,0.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,0.0
2024-04-10,0.0,9.0,34.0,34.0,31.0,31.0,30.0,30.0,38.0,0.0
2024-04-09,0.0,0.0,7.0,7.0,5.0,5.0,3.0,3.0,2.0,0.0
2024-04-08,0.0,0.0,3.0,6.0,2.0,2.0,3.0,3.0,1.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,0.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0
2024-04-05,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
2024-04-03,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
