date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(Main)West.in,Frankfurt(Main)West.out,Friedberg(Hess).in,Friedberg(Hess).out,Bad_Nauheim.in,Bad_Nauheim.out,Wetzlar.in,Wetzlar.out,Dillenburg.in,Dillenburg.out,Siegen.in,Siegen.out,Siegen-Weidenau.in,Siegen-Weidenau.out,Kreuztal.in,Kreuztal.out,Lennestadt-Altenhundem.in,Lennestadt-Altenhundem.out,Lennestadt-Grevenbrück.in,Lennestadt-Grevenbrück.out,Finnentrop.in,Finnentrop.out,Plettenberg.in,Plettenberg.out,Werdohl.in,Werdohl.out,Altena(Westf).in,Altena(Westf).out,Hagen_Hbf.in,Hagen_Hbf.out,Letmathe.in,Letmathe.out,Witten_Hbf.in,Witten_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,0.0,0.0,5.0,5.0,9.0,8.0,7.0,7.0,5.0,10.0,8.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,12.0,12.0,10.0,10.0,27.0,28.0,29.0,29.0,27.0,27.0,28.0,28.0,29.0,28.0,30.0,30.0,31.0,31.0,31.0,31.0,32.0,32.0,0.0,0.0,32.0,31.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,9.0,8.0,20.0,20.0,18.0,18.0,21.0,0.0
2024-05-27,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,20.0,16.0,22.0,22.0,20.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,23.0,23.0,22.0,22.0,22.0,23.0,0.0,0.0,23.0,22.0,25.0,24.0,31.0,31.0,29.0,27.0,26.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,0.0
2024-05-25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,7.0,6.0,2.0,8.0,8.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,10.0,10.0,11.0,11.0,11.0,13.0,13.0,0.0,0.0,13.0,12.0,12.0,11.0,12.0,12.0,15.0,15.0,16.0,0.0
2024-05-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,8.0,5.0,5.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,10.0,12.0,13.0,0.0,0.0,14.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,15.0,15.0,16.0,15.0,20.0,19.0,23.0,0.0
2024-05-23,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,6.0,10.0,10.0,10.0,13.0,14.0,14.0,12.0,12.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,17.0,17.0,17.0,16.0,0.0,0.0,17.0,15.0,13.0,12.0,15.0,18.0,23.0,22.0,25.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,3.0,6.0,5.0,5.0,4.0,9.0,7.0,7.0,0.0
2024-05-21,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,3.0,3.0,4.0,6.0,6.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,0.0
2024-05-18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,8.0,14.0,15.0,15.0,14.0,15.0,15.0,16.0,15.0,18.0,19.0,19.0,20.0,20.0,19.0,19.0,19.0,19.0,0.0,0.0,20.0,19.0,18.0,18.0,23.0,18.0,0.0,0.0,41.0,0.0
2024-05-17,0.0,4.0,4.0,4.0,0.0,0.0,4.0,5.0,21.0,21.0,20.0,21.0,26.0,22.0,25.0,25.0,24.0,24.0,24.0,23.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,25.0,23.0,24.0,23.0,23.0,19.0,0.0,0.0,39.0,0.0
2024-05-16,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,8.0,4.0,11.0,11.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,0.0,0.0,10.0,9.0,8.0,7.0,9.0,9.0,0.0,0.0,35.0,0.0
2024-05-15,0.0,1.0,5.0,5.0,0.0,0.0,4.0,4.0,8.0,8.0,9.0,10.0,19.0,19.0,19.0,19.0,17.0,17.0,16.0,16.0,17.0,22.0,23.0,22.0,22.0,22.0,35.0,35.0,34.0,34.0,0.0,0.0,23.0,21.0,24.0,25.0,29.0,24.0,0.0,0.0,59.0,0.0
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,8.0,8.0,7.0,7.0,6.0,6.0,7.0,8.0,12.0,12.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,16.0,0.0,0.0,17.0,15.0,17.0,17.0,16.0,16.0,16.0,15.0,19.0,0.0
