date,Eindhoven_Centraal.in,Eindhoven_Centraal.out,Roermond.in,Roermond.out,Emden_Außenhafen.in,Emden_Außenhafen.out,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Augustfehn.in,Augustfehn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Hude.in,Hude.out,Minden(Westf).in,Minden(Westf).out,Delmenhorst.in,Delmenhorst.out,Bremen_Hbf.in,Bremen_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Verden(Aller).in,Verden(Aller).out,Nienburg(Weser).in,Nienburg(Weser).out,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Helmstedt.in,Helmstedt.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Brandenburg_Hbf.in,Brandenburg_Hbf.out,Potsdam_Hbf.in,Potsdam_Hbf.out,Berlin-Wannsee.in,Berlin-Wannsee.out,Berlin_Wannsee.in,Berlin_Wannsee.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Ostkreuz.in,Berlin_Ostkreuz.out,Königs_Wusterhausen.in,Königs_Wusterhausen.out,Lübben(Spreewald).in,Lübben(Spreewald).out,Lübbenau(Spreewald).in,Lübbenau(Spreewald).out,Cottbus_Hbf.in,Cottbus_Hbf.out
2024-05-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,21.0,21.0,0.0,0.0,21.0,21.0,23.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,19.0,18.0,18.0,6.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,9.0,8.0,6.0,5.0,3.0,2.0,1.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,8.0,7.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,0.0,4.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,7.0,7.0,6.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,7.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,6.0,0.0,0.0,6.0,6.0,4.0,3.0,5.0,5.0,3.0,3.0,6.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,16.0,28.0,23.0,26.0,25.0,27.0,27.0,26.0,25.0,26.0,26.0,25.0,24.0,23.0,25.0,0.0,0.0,26.0,37.0,43.0,42.0,41.0,40.0,39.0,38.0,44.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,10.0,13.0,22.0,21.0,21.0,21.0,29.0,30.0,21.0,21.0,21.0,0.0,0.0,22.0,22.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,21.0,21.0,20.0,1.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,4.0,7.0,8.0,5.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,21.0,18.0,17.0,30.0,29.0,28.0,28.0,29.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,15.0,15.0,15.0,14.0,15.0,15.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,9.0,8.0,13.0,4.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,5.0,4.0,3.0,3.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,8.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,6.0,6.0,0.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,6.0,8.0,2.0,2.0,3.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,6.0,6.0,7.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,2.0,1.0,5.0,4.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,6.0,0.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,8.0,8.0,7.0,5.0,7.0,6.0,8.0,9.0,7.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0,7.0,8.0,10.0,14.0,14.0,0.0,0.0,14.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,4.0,26.0,27.0,28.0,27.0,27.0,28.0,18.0,18.0,18.0,0.0,0.0,19.0,18.0,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,29.0,29.0,32.0,16.0,14.0,14.0,13.0,13.0,12.0,7.0,7.0,7.0,6.0,5.0,4.0,3.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,6.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,8.0,24.0,29.0,29.0,0.0,0.0,30.0,30.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,28.0,29.0,29.0,10.0,7.0,7.0,6.0,7.0,5.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,3.0,21.0,18.0,17.0,17.0,16.0,16.0,17.0,7.0,25.0,25.0,0.0,0.0,25.0,24.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,21.0,19.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,5.0,0.0,0.0,18.0,18.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,18.0,17.0,17.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,9.0,8.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0,7.0,7.0,9.0,0.0,0.0,9.0,8.0,10.0,10.0,9.0,8.0,6.0,6.0,4.0,0.0
2024-05-08,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,6.0,5.0,12.0,11.0,12.0,12.0,11.0,10.0,11.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,5.0,6.0,6.0,7.0,6.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,68.0,68.0,67.0,46.0,50.0,49.0,47.0,47.0,45.0,42.0,42.0,41.0,38.0,38.0,35.0,35.0,35.0,35.0,41.0,41.0,39.0,38.0,0.0,0.0,38.0,37.0,38.0,38.0,37.0,37.0,35.0,47.0,46.0,0.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,21.0,20.0,12.0,24.0,20.0,38.0,37.0,36.0,36.0,36.0,36.0,37.0,29.0,29.0,29.0,0.0,0.0,29.0,28.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,29.0,28.0,26.0,51.0,69.0,70.0,73.0,73.0,71.0,66.0,66.0,65.0,66.0,67.0,67.0,68.0,66.0,66.0,68.0,66.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,13.0,13.0,13.0,13.0,13.0,12.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,13.0,12.0,9.0,9.0,8.0,8.0,6.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,21.0,23.0,21.0,22.0,22.0,22.0,23.0,22.0,14.0,14.0,14.0,0.0,0.0,14.0,13.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,19.0,18.0,17.0,3.0,10.0,10.0,10.0,10.0,8.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,97.0,97.0,96.0,94.0,74.0,73.0,72.0,73.0,73.0,70.0,66.0,65.0,65.0,65.0,64.0,63.0,64.0,63.0,63.0,63.0,63.0,61.0,61.0,0.0,0.0,61.0,60.0,59.0,58.0,62.0,61.0,59.0,58.0,61.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,7.0,7.0,11.0,8.0,5.0,6.0,4.0,7.0,8.0,7.0,7.0,8.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,10.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,13.0,19.0,18.0,0.0,0.0,18.0,18.0,16.0,15.0,17.0,16.0,15.0,14.0,15.0,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,4.0,9.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,2.0,2.0,0.0,0.0,4.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.0,8.0,6.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,3.0,2.0,2.0,1.0,5.0,4.0,4.0,5.0,8.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,4.0,4.0,12.0,9.0,9.0,9.0,9.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,19.0,20.0,0.0,0.0,20.0,21.0,30.0,29.0,35.0,35.0,36.0,35.0,36.0,0.0
