date,München_Hbf.in,München_Hbf.out,München_Ost.in,München_Ost.out,Rosenheim.in,Rosenheim.out,Salzburg_Hbf.in,Salzburg_Hbf.out,Vöcklabruck.in,Vöcklabruck.out,Attnang-Puchheim.in,Attnang-Puchheim.out,Wels_Hbf.in,Wels_Hbf.out,Linz_Hbf.in,Linz_Hbf.out,Amstetten_NÖ.in,Amstetten_NÖ.out,St.Pölten_Hbf.in,St.Pölten_Hbf.out,Wien_Hütteldorf.in,Wien_Hütteldorf.out,Wien_Westbahnhof.in,Wien_Westbahnhof.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,10.0,10.0,15.0,15.0,14.0,14.0,9.0,9.0,10.0,10.0,10.0,0.0,10.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,19.0,19.0,20.0,20.0,20.0,20.0,18.0,18.0,16.0,16.0,16.0,16.0,16.0,0.0,16.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,27.0,27.0,27.0,27.0,28.0,28.0,25.0,25.0,26.0,26.0,24.0,24.0,24.0,0.0,24.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,11.0,11.0,6.0,6.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,8.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,73.0,73.0,85.0,85.0,91.0,91.0,91.0,91.0,95.0,95.0,95.0,0.0,95.0,0.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,6.0,6.0,12.0,12.0,12.0,12.0,11.0,11.0,14.0,14.0,8.0,8.0,0.0,0.0,0.0,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,16.0,16.0,14.0,14.0,14.0,0.0,14.0,0.0
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10.0,10.0,11.0,11.0,23.0,23.0,12.0,12.0,35.0,35.0,33.0,33.0,33.0,0.0,33.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,8.0,7.0,7.0,8.0,8.0,6.0,6.0,10.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,24.0,31.0,31.0,21.0,21.0,21.0,0.0,21.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,7.0,7.0,6.0,6.0,4.0,4.0,375.0,375.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,7.0,7.0,7.0,5.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
