source,target,sumDelay,numTrains,numDelayedTrains,avgDelay,punctuality
Dresden Hbf,Dresden-Neustadt,-207.0,807,558,-0.2565,0.6914
Dresden-Neustadt,Riesa,499.0,536,438,0.931,0.8172
Riesa,Leipzig Hbf,-1098.0,579,473,-1.8964,0.8169
Leipzig Hbf,Halle (Saale) Hbf,3189.0,1174,725,2.7164,0.6175
Halle (Saale) Hbf,Köthen,18.0,502,374,0.0359,0.745
Köthen,Magdeburg Hbf,319.0,500,426,0.638,0.852
Magdeburg Hbf,Braunschweig Hbf,33.0,205,186,0.161,0.9073
Braunschweig Hbf,Hannover Hbf,228.0,298,225,0.7651,0.755
Köln Hbf,Düsseldorf Hbf,-150.0,1452,1086,-0.1033,0.7479
Düsseldorf Hbf,Wuppertal Hbf,7202.0,639,575,11.2707,0.8998
Wuppertal Hbf,Hagen Hbf,2660.0,1662,1307,1.6005,0.7864
Hagen Hbf,Hamm (Westf) Hbf,-779.0,514,493,-1.5156,0.9591
Hamm (Westf) Hbf,Bielefeld Hbf,3364.0,1143,1131,2.9431,0.9895
Bielefeld Hbf,Hannover Hbf,1563.0,1074,1056,1.4553,0.9832
Hannover Hbf,Wolfsburg Hbf,-662.0,1119,1073,-0.5916,0.9589
Wolfsburg Hbf,Berlin-Spandau,-1760.0,1342,1011,-1.3115,0.7534
Berlin-Spandau,Berlin Hbf,2806.0,3320,2708,0.8452,0.8157
Berlin Hbf,Berlin Ostbahnhof,809.0,1957,1411,0.4134,0.721
Frankfurt (Main) Hbf,Frankfurt am Main Flughafen Fernbahnhof,1356.0,1749,1549,0.7753,0.8856
Frankfurt am Main Flughafen Fernbahnhof,Limburg Süd,-4777.0,940,819,-5.0819,0.8713
Limburg Süd,Montabaur,-678.0,1049,547,-0.6463,0.5214
Montabaur,Siegburg/Bonn,1272.0,1058,644,1.2023,0.6087
Siegburg/Bonn,Köln Hbf,1192.0,625,539,1.9072,0.8624
Karlsruhe Hbf,Pforzheim Hbf,-123.0,183,116,-0.6721,0.6339
Pforzheim Hbf,Mühlacker,-66.0,229,70,-0.2882,0.3057
Mühlacker,Vaihingen (Enz),108.0,147,62,0.7347,0.4218
Vaihingen (Enz),Stuttgart Hbf,152.0,335,271,0.4537,0.809
Stuttgart Hbf,Schwäbisch Gmünd,207.0,189,184,1.0952,0.9735
Schwäbisch Gmünd,Aalen Hbf,-93.0,302,261,-0.3079,0.8642
Aalen Hbf,Ellwangen,81.0,302,258,0.2682,0.8543
Ellwangen,Crailsheim,328.0,243,242,1.3498,0.9959
Crailsheim,Ansbach,1.0,299,286,0.0033,0.9565
Ansbach,Nürnberg Hbf,-581.0,292,285,-1.9897,0.976
Düsseldorf Hbf,Düsseldorf Flughafen,-385.0,722,548,-0.5332,0.759
Düsseldorf Flughafen,Duisburg Hbf,709.0,876,645,0.8094,0.7363
Duisburg Hbf,Oberhausen Hbf,-1148.0,346,273,-3.3179,0.789
Oberhausen Hbf,Gelsenkirchen Hbf,574.0,343,169,1.6735,0.4927
Gelsenkirchen Hbf,Wanne-Eickel Hbf,-7.0,306,148,-0.0229,0.4837
Wanne-Eickel Hbf,Recklinghausen Hbf,213.0,239,124,0.8912,0.5188
Recklinghausen Hbf,Münster (Westf) Hbf,1643.0,275,241,5.9745,0.8764
Münster (Westf) Hbf,Rheine,194.0,363,321,0.5344,0.8843
Rheine,Lingen (Ems),306.0,362,320,0.8453,0.884
Lingen (Ems),Meppen,-419.0,362,300,-1.1575,0.8287
Meppen,Papenburg (Ems),-166.0,360,278,-0.4611,0.7722
Papenburg (Ems),Leer (Ostfriesl),-243.0,354,295,-0.6864,0.8333
Leer (Ostfriesl),Emden Hbf,279.0,698,613,0.3997,0.8782
Emden Hbf,Norden,45.0,190,169,0.2368,0.8895
Norden,Norddeich,-317.0,268,206,-1.1828,0.7687
Norddeich,Norddeich Mole,88.0,227,169,0.3877,0.7445
Warnemünde,Rostock Hbf,-159.0,368,295,-0.4321,0.8016
Rostock Hbf,Berlin Hbf,-170.0,53,45,-3.2075,0.8491
Berlin Hbf,Bützow,75.0,109,87,0.6881,0.7982
Bützow,Bad Kleinen,-32.0,150,82,-0.2133,0.5467
Bad Kleinen,Schwerin Hbf,89.0,151,95,0.5894,0.6291
Schwerin Hbf,Ludwigslust,88.0,157,108,0.5605,0.6879
Ludwigslust,Wittenberge,-408.0,706,407,-0.5779,0.5765
Wittenberge,Stendal Hbf,133.0,169,117,0.787,0.6923
Stendal Hbf,Magdeburg Hbf,446.0,168,152,2.6548,0.9048
Magdeburg Hbf,Köthen,954.0,552,496,1.7283,0.8986
Köthen,Halle (Saale) Hbf,-11.0,575,441,-0.0191,0.767
Halle (Saale) Hbf,Leipzig Hbf,513.0,681,540,0.7533,0.793
Karlsruhe Hbf,Esslingen (Neckar),-68.0,54,26,-1.2593,0.4815
Esslingen (Neckar),Bruchsal,102.0,54,36,1.8889,0.6667
Bruchsal,Stuttgart Hbf,268.0,156,151,1.7179,0.9679
Stuttgart Hbf,Ulm Hbf,-1.0,1169,1074,-0.0009,0.9187
Ulm Hbf,Augsburg Hbf,413.0,1272,1187,0.3247,0.9332
Augsburg Hbf,München-Pasing,-2781.0,1587,1414,-1.7524,0.891
München-Pasing,München Hbf,2686.0,1437,1210,1.8692,0.842
Berlin Südkreuz,Berlin Hbf,2239.0,2587,2314,0.8655,0.8945
Berlin Hbf,Berlin-Spandau,-3639.0,3230,3021,-1.1266,0.9353
Berlin-Spandau,Stendal Hbf,-258.0,751,492,-0.3435,0.6551
Stendal Hbf,Wolfsburg Hbf,18.0,671,417,0.0268,0.6215
Wolfsburg Hbf,Braunschweig Hbf,-175.0,691,345,-0.2533,0.4993
Braunschweig Hbf,Hildesheim Hbf,695.0,710,370,0.9789,0.5211
Hildesheim Hbf,Göttingen,-361.0,653,346,-0.5528,0.5299
Göttingen,Kassel-Wilhelmshöhe,2417.0,1803,1108,1.3405,0.6145
Kassel-Wilhelmshöhe,Fulda,-921.0,1301,898,-0.7079,0.6902
München Hbf,Nürnberg Hbf,3455.0,1523,1337,2.2685,0.8779
Nürnberg Hbf,Erfurt Hbf,802.0,650,612,1.2338,0.9415
Erfurt Hbf,Halle (Saale) Hbf,-817.0,1097,783,-0.7448,0.7138
Halle (Saale) Hbf,Berlin Südkreuz,1622.0,912,769,1.7785,0.8432
Berlin Hbf,Berlin Gesundbrunnen,-698.0,617,467,-1.1313,0.7569
München Hbf,München-Pasing,-652.0,1344,974,-0.4851,0.7247
München-Pasing,Augsburg Hbf,1428.0,1763,1553,0.81,0.8809
Augsburg Hbf,Günzburg,-18.0,157,132,-0.1146,0.8408
