train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 553,Andernach,11:13,Berlin Ostbahnhof,05:55,1
IC 2443,Andernach,14:57,Dresden Hbf,06:18,2
ICE 606,Andernach,12:16,Norddeich Mole,06:36,2
IC 5107,Andernach,10:25,Düsseldorf Hbf,08:56,
ICE 115,Andernach,19:19,Klagenfurt Hbf,09:04,3
ICE 557,Andernach,15:17,Berlin Ostbahnhof,09:56,28
ICE 119,Andernach,19:05,Innsbruck Hbf,10:04,4
IC 2202,Andernach,15:53,Bremerhaven-Lehe,10:41,
IC 2013,Andernach,18:13,Oberstdorf,12:04,27
IC 2009,Andernach,19:09,Konstanz,13:08,16
IC 2014,Andernach,19:26,Emden Hbf,14:56,2
IC 5106,Andernach,17:48,Luxembourg,15:03,28
IC 2012,Andernach,18:04,Dortmund Hbf,15:56,48
ICE 650,Andernach,18:46,Stuttgart Hbf,16:04,23
ICE 118,Andernach,20:35,Münster(Westf)Hbf,17:56,19
ICE 114,Andernach,21:09,Dortmund Hbf,18:56,FALSE
ICE 605,Andernach,19:20,Koblenz Hbf,19:08,FALSE
