train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 827,Aschaffenburg Hbf,08:06,München Hbf,05:24,1
ICE 521,Aschaffenburg Hbf,09:06,München Hbf,06:24,2
ICE 21,Aschaffenburg Hbf,12:47,Wien Hbf,06:52,2
ICE 1022,Aschaffenburg Hbf,11:25,Dortmund Hbf,07:05,3
ICE 523,Aschaffenburg Hbf,10:06,München Hbf,07:23,4
ICE 822,Aschaffenburg Hbf,09:46,Düsseldorf Hbf,07:33,3
ICE 525,Aschaffenburg Hbf,11:07,München Hbf,08:23,1
ICE 820,Aschaffenburg Hbf,10:50,Düsseldorf Hbf,08:33,
ICE 527,Aschaffenburg Hbf,12:10,München Hbf,09:23,4
ICE 728,Aschaffenburg Hbf,11:47,Düsseldorf Hbf,09:33,FALSE
ICE 529,Aschaffenburg Hbf,13:05,München Hbf,10:23,13
ICE 726,Aschaffenburg Hbf,12:48,Düsseldorf Hbf,10:33,
ICE 621,Aschaffenburg Hbf,14:06,München Hbf,11:23,25
ICE 724,Aschaffenburg Hbf,13:51,Düsseldorf Hbf,11:33,1
ICE 623,Aschaffenburg Hbf,15:12,München Hbf,12:23,51
ICE 722,Aschaffenburg Hbf,14:49,Düsseldorf Hbf,12:33,
ICE 625,Aschaffenburg Hbf,16:06,München Hbf,13:23,8
ICE 720,Aschaffenburg Hbf,15:43,Düsseldorf Hbf,13:33,9
ICE 627,Aschaffenburg Hbf,17:06,München Hbf,14:23,4
ICE 628,Aschaffenburg Hbf,16:49,Düsseldorf Hbf,14:33,11
ICE 629,Aschaffenburg Hbf,18:07,München Hbf,15:23,10
ICE 626,Aschaffenburg Hbf,18:41,Dortmund Hbf,15:33,2
ICE 721,Aschaffenburg Hbf,19:07,München Hbf,16:23,1
ICE 624,Aschaffenburg Hbf,19:42,Dortmund Hbf,16:33,
ICE 229,Aschaffenburg Hbf,23:05,Wien Hbf,16:52,16
ICE 723,Aschaffenburg Hbf,20:06,München Hbf,17:23,13
ICE 622,Aschaffenburg Hbf,20:56,Dortmund Hbf,17:33,
ICE 725,Aschaffenburg Hbf,21:07,München Hbf,18:23,2
ICE 620,Aschaffenburg Hbf,21:46,Dortmund Hbf,18:33,12
ICE 927,Aschaffenburg Hbf,20:28,Nürnberg Hbf,18:52,37
ICE 727,Aschaffenburg Hbf,22:10,München Hbf,19:23,1
ICE 1128,Aschaffenburg Hbf,21:05,Wiesbaden Hbf,19:33,4
ICE 528,Aschaffenburg Hbf,22:41,Dortmund Hbf,19:33,4
ICE 729,Aschaffenburg Hbf,23:17,München Hbf,20:23,31
ICE 526,Aschaffenburg Hbf,23:34,Dortmund Hbf,20:33,5
ICE 929,Aschaffenburg Hbf,00:50,Passau Hbf,20:52,FALSE
ICE 22,Aschaffenburg Hbf,01:20,Dortmund Hbf,21:03,16
ICE 821,Aschaffenburg Hbf,00:41,München Hbf,21:23,73
ICE 524,Aschaffenburg Hbf,00:53,Dortmund Hbf,21:33,7
ICE 522,Aschaffenburg Hbf,00:29,Köln Hbf,22:33,17
ICE 1021,Aschaffenburg Hbf,00:42,Nürnberg Hbf,22:53,FALSE
ICE 20,Aschaffenburg Hbf,23:37,Frankfurt(Main)Hbf,23:09,49
