train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 101,Berlin Ostbahnhof,10:47,Basel SBB,00:11,10
ICE 646,Berlin Ostbahnhof,09:07,Düsseldorf Hbf,04:12,2
ICE 656,Berlin Ostbahnhof,09:15,Köln Hbf,04:12,2
ICE 946,Berlin Ostbahnhof,10:02,Düsseldorf Hbf,05:17,1
ICE 956,Berlin Ostbahnhof,10:09,Köln Hbf,05:17,1
ICE 1158,Berlin Ostbahnhof,10:15,Bonn Hbf,05:20,1
IC 240,Berlin Ostbahnhof,12:00,Amsterdam Centraal,05:54,2
EC 41,Berlin Ostbahnhof,11:32,Warszawa Wschodnia,06:00,2
ES 453,Berlin Ostbahnhof,10:45,Praha-Holesovice,06:29,
ICE 644,Berlin Ostbahnhof,15:49,Salzburg Hbf,06:44,2
ICE 654,Berlin Ostbahnhof,11:43,Bonn Hbf,06:44,2
ICE 1052,Berlin Ostbahnhof,13:12,Aachen Hbf,06:56,5
IC 2432,Berlin Ostbahnhof,14:19,Norddeich Mole,07:22,FALSE
ICE 944,Berlin Ostbahnhof,12:07,Düsseldorf Hbf,07:33,1
ICE 954,Berlin Ostbahnhof,12:09,Köln Hbf,07:33,1
IC 148,Berlin Ostbahnhof,14:00,Amsterdam Centraal,07:53,2
ICE 642,Berlin Ostbahnhof,13:07,Düsseldorf Hbf,08:32,2
ICE 652,Berlin Ostbahnhof,13:37,Bonn Hbf,08:43,2
ICE 1050,Berlin Ostbahnhof,14:13,Köln Hbf,08:54,
ICE 942,Berlin Ostbahnhof,14:07,Düsseldorf Hbf,09:33,1
ICE 952,Berlin Ostbahnhof,14:09,Köln Hbf,09:33,1
IC 146,Berlin Ostbahnhof,16:00,Amsterdam Centraal,09:53,8
EC 248,Berlin Ostbahnhof,10:06,Berlin Hbf,09:59,8
EC 45,Berlin Ostbahnhof,15:36,Warszawa Wschodnia,10:03,8
ICE 640,Berlin Ostbahnhof,15:07,Düsseldorf Hbf,10:33,1
ICE 650,Berlin Ostbahnhof,18:46,Stuttgart Hbf,10:45,1
ICE 758,Berlin Ostbahnhof,17:12,Aachen Hbf,10:54,FALSE
EC 54,Berlin Ostbahnhof,11:06,Berlin Hbf,10:59,
EC 57,Berlin Ostbahnhof,20:11,Przeworsk,11:03,5
ICE 940,Berlin Ostbahnhof,16:07,Düsseldorf Hbf,11:32,1
ICE 950,Berlin Ostbahnhof,16:10,Köln Hbf,11:32,1
FLX 1362,Berlin Ostbahnhof,14:11,Hamburg Hbf,11:46,13
IC 144,Berlin Ostbahnhof,18:00,Amsterdam Centraal,11:53,3
EC 246,Berlin Ostbahnhof,12:06,Berlin Hbf,11:59,9
EC 47,Berlin Ostbahnhof,17:30,Warszawa Wschodnia,12:03,3
ICE 548,Berlin Ostbahnhof,17:07,Düsseldorf Hbf,12:33,1
ICE 558,Berlin Ostbahnhof,17:37,Bonn Hbf,12:44,1
ICE 756,Berlin Ostbahnhof,19:13,Aachen Hbf,12:55,5
EC 59,Berlin Ostbahnhof,19:08,Gdynia Glowna,13:03,
ICE 848,Berlin Ostbahnhof,18:07,Düsseldorf Hbf,13:33,1
ICE 858,Berlin Ostbahnhof,18:10,Köln Hbf,13:33,1
IC 142,Berlin Ostbahnhof,20:00,Amsterdam Centraal,13:53,3
EC 48,Berlin Ostbahnhof,14:06,Berlin Hbf,13:59,4
EC 49,Berlin Ostbahnhof,19:36,Warszawa Wschodnia,14:03,9
ICE 546,Berlin Ostbahnhof,19:10,Düsseldorf Hbf,14:33,4
