train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 920,Bingen(Rhein) Hbf,07:06,Hamburg-Altona,00:19,
ICE 921,Bingen(Rhein) Hbf,07:02,Frankfurt(Main)Hbf,06:08,1
ICE 1626,Bingen(Rhein) Hbf,09:21,Dortmund Hbf,06:34,
ICE 557,Bingen(Rhein) Hbf,15:17,Berlin Ostbahnhof,09:07,32
ICE 115,Bingen(Rhein) Hbf,19:19,Klagenfurt Hbf,09:52,5
ICE 119,Bingen(Rhein) Hbf,19:05,Innsbruck Hbf,10:52,3
IC 2013,Bingen(Rhein) Hbf,18:13,Oberstdorf,12:52,FALSE
IC 2014,Bingen(Rhein) Hbf,19:26,Emden Hbf,14:07,4
IC 2012,Bingen(Rhein) Hbf,18:04,Dortmund Hbf,15:07,50
ICE 650,Bingen(Rhein) Hbf,18:46,Stuttgart Hbf,16:52,22
ICE 118,Bingen(Rhein) Hbf,20:35,Münster(Westf)Hbf,17:07,22
ICE 114,Bingen(Rhein) Hbf,21:09,Dortmund Hbf,18:07,
ICE 1021,Bingen(Rhein) Hbf,00:42,Nürnberg Hbf,21:23,13
