train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 100,Bochum Hbf,05:48,Berlin Ostbahnhof,00:19,FALSE
ICE 524,Bochum Hbf,00:53,Dortmund Hbf,00:43,20
ICE 523,Bochum Hbf,10:06,München Hbf,04:09,
ICE 525,Bochum Hbf,11:07,München Hbf,05:23,
ICE 541,Bochum Hbf,09:27,Berlin Ostbahnhof,05:30,10
ICE 913,Bochum Hbf,11:26,München Hbf,05:38,1
ICE 101,Bochum Hbf,10:47,Basel SBB,05:48,10
ICE 527,Bochum Hbf,12:10,München Hbf,06:24,2
ICE 843,Bochum Hbf,10:27,Berlin Ostbahnhof,06:33,3
ICE 529,Bochum Hbf,13:05,München Hbf,07:25,1
ICE 543,Bochum Hbf,11:27,Berlin Ostbahnhof,07:33,3
ICE 915,Bochum Hbf,13:26,München Hbf,07:50,1
ICE 646,Bochum Hbf,09:07,Düsseldorf Hbf,08:25,4
ICE 845,Bochum Hbf,12:27,Berlin Ostbahnhof,08:33,
ICE 1545,Bochum Hbf,13:02,Berlin Ostbahnhof,08:58,1
ICE 946,Bochum Hbf,10:02,Düsseldorf Hbf,09:24,17
ICE 545,Bochum Hbf,13:27,Berlin Ostbahnhof,09:33,3
FLX 1342,Bochum Hbf,13:07,Hamburg Hbf,09:50,9
ICE 644,Bochum Hbf,15:49,Salzburg Hbf,10:25,12
ICE 847,Bochum Hbf,14:27,Berlin Ostbahnhof,10:33,13
ICE 757,Bochum Hbf,15:02,Berlin Ostbahnhof,10:58,3
ICE 944,Bochum Hbf,12:07,Düsseldorf Hbf,11:24,10
ICE 547,Bochum Hbf,15:27,Berlin Ostbahnhof,11:33,3
ICE 1012,Bochum Hbf,12:05,Dortmund Hbf,11:54,16
ICE 642,Bochum Hbf,13:07,Düsseldorf Hbf,12:25,1
ICE 849,Bochum Hbf,16:27,Berlin Ostbahnhof,12:33,1
ICE 942,Bochum Hbf,14:07,Düsseldorf Hbf,13:24,5
ICE 549,Bochum Hbf,17:27,Berlin Ostbahnhof,13:33,2
ICE 1010,Bochum Hbf,14:10,Dortmund Hbf,14:00,16
ICE 1011,Bochum Hbf,19:27,München Hbf,14:03,6
ICE 640,Bochum Hbf,15:07,Düsseldorf Hbf,14:25,51
ICE 941,Bochum Hbf,18:27,Berlin Ostbahnhof,14:33,
ICE 940,Bochum Hbf,16:07,Düsseldorf Hbf,15:24,7
ICE 641,Bochum Hbf,19:27,Berlin Ostbahnhof,15:33,2
ICE 918,Bochum Hbf,16:10,Dortmund Hbf,16:00,8
ICE 1013,Bochum Hbf,21:26,München Hbf,16:03,7
ICE 548,Bochum Hbf,17:07,Düsseldorf Hbf,16:25,6
ICE 943,Bochum Hbf,20:27,Berlin Ostbahnhof,16:33,1
ICE 848,Bochum Hbf,18:07,Düsseldorf Hbf,17:24,2
IC 2152,Bochum Hbf,18:11,Düsseldorf Hbf,17:30,10
ICE 643,Bochum Hbf,21:27,Berlin Ostbahnhof,17:33,1
ICE 1015,Bochum Hbf,23:25,München Hbf,18:03,
ICE 546,Bochum Hbf,19:10,Düsseldorf Hbf,18:25,7
ICE 626,Bochum Hbf,18:41,Dortmund Hbf,18:31,11
ICE 945,Bochum Hbf,22:34,Berlin Ostbahnhof,18:33,
ICE 846,Bochum Hbf,20:42,Mönchengladbach Hbf,19:24,9
ICE 624,Bochum Hbf,19:42,Dortmund Hbf,19:30,22
ICE 645,Bochum Hbf,23:27,Berlin Ostbahnhof,19:33,4
ICE 914,Bochum Hbf,20:18,Dortmund Hbf,20:06,1
ICE 544,Bochum Hbf,21:07,Düsseldorf Hbf,20:25,1
ICE 947,Bochum Hbf,00:37,Berlin Ostbahnhof,20:34,1
ICE 622,Bochum Hbf,20:56,Dortmund Hbf,20:45,1
ICE 844,Bochum Hbf,22:07,Düsseldorf Hbf,21:24,6
ICE 620,Bochum Hbf,21:46,Dortmund Hbf,21:36,10
ICE 912,Bochum Hbf,22:09,Dortmund Hbf,21:59,6
ICE 542,Bochum Hbf,23:07,Düsseldorf Hbf,22:25,2
ICE 528,Bochum Hbf,22:41,Dortmund Hbf,22:29,1
ICE 526,Bochum Hbf,23:34,Dortmund Hbf,23:21,3
