train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 101,Braunschweig Hbf,10:47,Basel SBB,02:36,6
ICE 100,Braunschweig Hbf,05:48,Berlin Ostbahnhof,03:16,76
IC 2436,Braunschweig Hbf,09:38,Emden Hbf,05:49,
ICE 649,Braunschweig Hbf,08:02,Berlin Ostbahnhof,06:01,
IC 2031,Braunschweig Hbf,08:15,Leipzig Hbf,06:10,
IC 2042,Braunschweig Hbf,10:46,Köln Hbf,06:49,
IC 2447,Braunschweig Hbf,10:58,Dresden Hbf,07:10,
IC 2434,Braunschweig Hbf,11:50,Emden Außenhafen,07:49,
ICE 876,Braunschweig Hbf,09:42,Berlin Ostbahnhof,08:01,1
IC 2033,Braunschweig Hbf,10:15,Leipzig Hbf,08:11,
ICE 1944,Braunschweig Hbf,16:22,Stuttgart Hbf,08:49,
ICE 791,Braunschweig Hbf,09:50,Göttingen,08:59,
ICE 2546,Braunschweig Hbf,10:43,Berlin Südkreuz,09:03,10
IC 2445,Braunschweig Hbf,12:58,Dresden Hbf,09:10,7
IC 2432,Braunschweig Hbf,14:19,Norddeich Mole,09:51,FALSE
IC 2035,Braunschweig Hbf,12:39,Berlin Ostbahnhof,10:10,1
IC 2046,Braunschweig Hbf,18:27,Stuttgart Hbf,10:49,1
ICE 793,Braunschweig Hbf,11:50,Göttingen,10:59,24
ICE 994,Braunschweig Hbf,12:42,Berlin Südkreuz,11:03,
IC 2443,Braunschweig Hbf,14:57,Dresden Hbf,11:10,1
IC 2430,Braunschweig Hbf,15:38,Emden Hbf,11:49,1
IC 2037,Braunschweig Hbf,14:15,Leipzig Hbf,12:10,FALSE
IC 2048,Braunschweig Hbf,21:30,Tübingen Hbf,12:49,
ICE 795,Braunschweig Hbf,13:50,Göttingen,12:59,
ICE 992,Braunschweig Hbf,14:46,Berlin Südkreuz,13:03,1
IC 2441,Braunschweig Hbf,16:47,Dresden Hbf,13:10,5
IC 2038,Braunschweig Hbf,17:38,Emden Hbf,13:49,7
IC 2039,Braunschweig Hbf,16:15,Leipzig Hbf,14:10,2
ICE 1133,Braunschweig Hbf,16:29,Bitterfeld,14:47,
IC 2440,Braunschweig Hbf,22:22,Stuttgart Hbf,14:49,1
ICE 797,Braunschweig Hbf,15:50,Göttingen,14:59,
ICE 798,Braunschweig Hbf,16:42,Berlin Südkreuz,15:03,
ICE 1949,Braunschweig Hbf,18:40,Dresden Hbf,15:11,40
IC 2036,Braunschweig Hbf,20:20,Norddeich Mole,15:49,2
IC 2431,Braunschweig Hbf,19:59,Cottbus Hbf,16:10,7
IC 2442,Braunschweig Hbf,23:13,Frankfurt(Main)Hbf,16:49,15
ICE 799,Braunschweig Hbf,17:50,Göttingen,16:59,1
ICE 796,Braunschweig Hbf,18:46,Berlin Südkreuz,17:03,3
IC 2047,Braunschweig Hbf,20:40,Dresden Hbf,17:10,16
IC 2034,Braunschweig Hbf,22:14,Norddeich,17:49,8
IC 2433,Braunschweig Hbf,20:15,Leipzig Hbf,18:10,15
IC 2444,Braunschweig Hbf,23:54,Koblenz Hbf,18:49,1
ICE 995,Braunschweig Hbf,19:50,Göttingen,18:57,3
ICE 794,Braunschweig Hbf,20:42,Berlin Südkreuz,19:03,
IC 2045,Braunschweig Hbf,22:38,Dresden Hbf,19:10,2
IC 2032,Braunschweig Hbf,23:38,Emden Hbf,19:49,1
IC 2435,Braunschweig Hbf,22:15,Leipzig Hbf,20:10,1
IC 2446,Braunschweig Hbf,21:23,Hannover Hbf,20:49,1
ICE 792,Braunschweig Hbf,22:42,Berlin Ostbahnhof,21:03,5
IC 2043,Braunschweig Hbf,22:58,Leipzig/Halle Flughafen,21:10,19
ICE 879,Braunschweig Hbf,23:12,Kassel-Wilhelmshöhe,21:57,2
IC 2437,Braunschweig Hbf,23:01,Magdeburg Hbf,22:14,2
ICE 790,Braunschweig Hbf,00:54,Berlin Ostbahnhof,23:04,2
