train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 100,Dortmund Hbf,05:48,Berlin Ostbahnhof,00:33,104
ICE 921,Dortmund Hbf,07:02,Frankfurt(Main)Hbf,01:51,46
ICE 920,Dortmund Hbf,07:06,Hamburg-Altona,03:32,13
ICE 523,Dortmund Hbf,10:06,München Hbf,03:57,
ICE 23,Dortmund Hbf,14:47,Wien Hbf,04:34,3
EST 9414,Dortmund Hbf,10:06,Paris Nord,05:03,2
IC 2223,Dortmund Hbf,08:26,Frankfurt(Main)West,05:03,
THA 9414,Dortmund Hbf,07:18,Aachen Hbf,05:03,
ICE 525,Dortmund Hbf,11:07,München Hbf,05:10,1
ICE 1028,Dortmund Hbf,08:49,Hamburg-Altona,05:24,1
ICE 913,Dortmund Hbf,11:26,München Hbf,05:25,1
ICE 101,Dortmund Hbf,10:47,Basel SBB,05:36,2
ICE 1548,Dortmund Hbf,10:24,Stuttgart Hbf,05:36,1
ICE 541,Dortmund Hbf,09:27,Berlin Ostbahnhof,05:44,8
ICE 813,Dortmund Hbf,08:27,Frankfurt(M) Flughafen Fernbf,05:56,1
ICE 527,Dortmund Hbf,12:10,München Hbf,06:12,1
IC 2214,Dortmund Hbf,12:34,Westerland(Sylt),06:25,2
IC 2216,Dortmund Hbf,12:23,Dagebüll Mole,06:25,1
IC 2445,Dortmund Hbf,12:58,Dresden Hbf,06:28,5
ICE 1621,Dortmund Hbf,13:42,München Hbf,06:36,17
ICE 513,Dortmund Hbf,12:26,München Hbf,06:37,5
ICE 815,Dortmund Hbf,09:27,Frankfurt(M) Flughafen Fernbf,06:41,8
EST 9426,Dortmund Hbf,12:06,Paris Nord,06:47,
ICE 843,Dortmund Hbf,10:27,Berlin Ostbahnhof,06:48,1
ICE 115,Dortmund Hbf,19:19,Klagenfurt Hbf,06:51,5
ICE 753,Dortmund Hbf,11:02,Berlin Ostbahnhof,07:10,1
ICE 529,Dortmund Hbf,13:05,München Hbf,07:13,1
ICE 618,Dortmund Hbf,11:23,Kiel Hbf,07:26,15
