train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 541,Düsseldorf Flughafen,09:27,Berlin Ostbahnhof,04:57,2
EST 9414,Düsseldorf Flughafen,10:06,Paris Nord,05:47,5
THA 9414,Düsseldorf Flughafen,07:18,Aachen Hbf,05:47,
ICE 843,Düsseldorf Flughafen,10:27,Berlin Ostbahnhof,06:00,
IC 2208,Düsseldorf Flughafen,10:18,Norddeich Mole,06:14,
ICE 543,Düsseldorf Flughafen,11:27,Berlin Ostbahnhof,07:00,
ICE 845,Düsseldorf Flughafen,12:27,Berlin Ostbahnhof,08:00,2
ICE 545,Düsseldorf Flughafen,13:27,Berlin Ostbahnhof,09:00,1
ICE 646,Düsseldorf Flughafen,09:07,Düsseldorf Hbf,09:00,2
ICE 847,Düsseldorf Flughafen,14:27,Berlin Ostbahnhof,10:00,8
ICE 547,Düsseldorf Flughafen,15:27,Berlin Ostbahnhof,11:00,
ICE 644,Düsseldorf Flughafen,15:49,Salzburg Hbf,11:00,14
ICE 849,Düsseldorf Flughafen,16:27,Berlin Ostbahnhof,12:00,
ICE 944,Düsseldorf Flughafen,12:07,Düsseldorf Hbf,12:00,6
ICE 549,Düsseldorf Flughafen,17:27,Berlin Ostbahnhof,13:00,1
ICE 642,Düsseldorf Flughafen,13:07,Düsseldorf Hbf,13:00,1
ICE 941,Düsseldorf Flughafen,18:27,Berlin Ostbahnhof,13:59,
ICE 942,Düsseldorf Flughafen,14:07,Düsseldorf Hbf,14:00,
ICE 641,Düsseldorf Flughafen,19:27,Berlin Ostbahnhof,14:59,1
ICE 640,Düsseldorf Flughafen,15:07,Düsseldorf Hbf,15:00,52
ICE 943,Düsseldorf Flughafen,20:27,Berlin Ostbahnhof,15:59,2
ICE 940,Düsseldorf Flughafen,16:07,Düsseldorf Hbf,16:00,3
ICE 643,Düsseldorf Flughafen,21:27,Berlin Ostbahnhof,16:59,3
ICE 548,Düsseldorf Flughafen,17:07,Düsseldorf Hbf,17:00,8
ICE 945,Düsseldorf Flughafen,22:34,Berlin Ostbahnhof,17:59,1
ICE 848,Düsseldorf Flughafen,18:07,Düsseldorf Hbf,18:00,2
IC 2152,Düsseldorf Flughafen,18:11,Düsseldorf Hbf,18:06,5
ICE 645,Düsseldorf Flughafen,23:27,Berlin Ostbahnhof,19:00,1
ICE 546,Düsseldorf Flughafen,19:10,Düsseldorf Hbf,19:03,
ICE 947,Düsseldorf Flughafen,00:37,Berlin Ostbahnhof,20:00,2
ICE 544,Düsseldorf Flughafen,21:07,Düsseldorf Hbf,21:00,
ICE 844,Düsseldorf Flughafen,22:07,Düsseldorf Hbf,22:00,10
EST 9471,Düsseldorf Flughafen,22:48,Dortmund Hbf,22:05,7
THA 9471,Düsseldorf Flughafen,22:27,Essen Hbf,22:05,
ICE 542,Düsseldorf Flughafen,23:07,Düsseldorf Hbf,23:00,1
ICE 100,Düsseldorf Flughafen,05:48,Berlin Ostbahnhof,23:46,FALSE
