train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
IC 2164,Eisenach,23:00,Karlsruhe Hbf,05:53,
ICE 806,Eisenach,10:38,Hamburg-Altona,05:53,
ICE 1636,Eisenach,13:00,Ostseebad Binz,06:38,
IC 2151,Eisenach,09:55,Gera Hbf,07:52,7
ICE 277,Eisenach,13:47,Basel SBB,07:55,3
ICE 2550,Eisenach,10:32,Berlin Hbf,08:01,FALSE
IC 2156,Eisenach,12:40,Köln Hbf,08:04,FALSE
FLX 1241,Eisenach,13:43,Stuttgart Hbf,09:51,6
ICE 279,Eisenach,15:47,Basel SBB,09:56,3
ICE 270,Eisenach,12:32,Berlin Hbf,10:01,1
ICE 371,Eisenach,19:58,Interlaken Ost,11:55,29
ICE 374,Eisenach,14:32,Berlin Hbf,12:00,4
IC 2155,Eisenach,15:55,Gera Hbf,13:56,37
ICE 373,Eisenach,21:59,Interlaken Ost,13:56,1
ICE 372,Eisenach,16:32,Berlin Hbf,14:02,
IC 2152,Eisenach,18:11,Düsseldorf Hbf,14:04,10
ICE 375,Eisenach,21:49,Basel SBB,15:57,9
ICE 370,Eisenach,18:01,Berlin Ostbahnhof,16:01,11
ICE 377,Eisenach,23:59,Basel SBB,17:57,1
ICE 278,Eisenach,20:32,Berlin Hbf,18:05,1
IC 2157,Eisenach,21:55,Gera Hbf,19:56,14
ICE 877,Eisenach,22:44,Frankfurt(Main)Hbf,19:56,24
ICE 276,Eisenach,22:52,Berlin Hbf,20:02,1
IC 2150,Eisenach,21:00,Kassel-Wilhelmshöhe,20:04,2
ICE 594,Eisenach,22:54,Berlin Hbf,20:46,1
ICE 274,Eisenach,22:36,Erfurt Hbf,22:06,1
ICE 592,Eisenach,23:33,Erfurt Hbf,23:06,16
