train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 520,Frankfurt(Main)Hbf,23:44,Aschaffenburg Hbf,00:10,15
EC 459,Frankfurt(Main)Hbf,09:24,Praha hl.n.,00:52,
EN 40459,Frankfurt(Main)Hbf,09:24,Praha hl.n.,00:52,
IC 60409,Frankfurt(Main)Hbf,08:20,Berlin Hbf,00:52,
NJ 409,Frankfurt(Main)Hbf,08:20,Berlin Hbf,00:52,
ICE 887,Frankfurt(Main)Hbf,01:51,Wiesbaden Hbf,01:11,1
IC 60403,Frankfurt(Main)Hbf,08:39,Zürich HB,02:44,76
NJ 403,Frankfurt(Main)Hbf,08:39,Zürich HB,02:44,76
ICE 698,Frankfurt(Main)Hbf,07:36,Berlin Hbf,02:49,3
ICE 699,Frankfurt(Main)Hbf,08:08,München Hbf,03:18,
EC 458,Frankfurt(Main)Hbf,09:05,Zürich HB,04:00,
EN 40458,Frankfurt(Main)Hbf,09:05,Zürich HB,04:00,
IC 60408,Frankfurt(Main)Hbf,09:05,Zürich HB,04:00,
NJ 408,Frankfurt(Main)Hbf,09:05,Zürich HB,04:00,
ICE 1088,Frankfurt(Main)Hbf,08:57,Hamburg Hbf,04:20,
ICE 618,Frankfurt(Main)Hbf,11:23,Kiel Hbf,04:46,10
ICE 827,Frankfurt(Main)Hbf,08:06,München Hbf,04:53,1
ICE 2546,Frankfurt(Main)Hbf,10:43,Berlin Südkreuz,05:00,1
ICE 2550,Frankfurt(Main)Hbf,10:32,Berlin Hbf,05:13,FALSE
IC 2381,Frankfurt(Main)Hbf,09:23,Singen(Hohentwiel),05:19,
ICE 826,Frankfurt(Main)Hbf,07:43,Düsseldorf Hbf,05:40,6
ICE 1626,Frankfurt(Main)Hbf,09:21,Dortmund Hbf,05:42,
ICE 2521,Frankfurt(Main)Hbf,08:03,Freiburg(Breisgau) Hbf,05:49,
ICE 271,Frankfurt(Main)Hbf,11:22,Chur,05:49,3
ICE 672,Frankfurt(Main)Hbf,10:36,Hamburg Hbf,05:50,9
ICE 521,Frankfurt(Main)Hbf,09:06,München Hbf,05:53,2
IC 897,Frankfurt(Main)Hbf,10:28,Lindau-Reutin,05:54,
RJX 897,Frankfurt(Main)Hbf,17:57,Flughafen Wien,05:54,
ICE 9558,Frankfurt(Main)Hbf,09:52,Paris Est,05:56,
ICE 911,Frankfurt(Main)Hbf,09:28,München Hbf,06:03,1
ICE 696,Frankfurt(Main)Hbf,10:55,Berlin Hbf,06:13,1
ICE 21,Frankfurt(Main)Hbf,12:47,Wien Hbf,06:19,
ICE 1555,Frankfurt(Main)Hbf,11:40,Dresden Hbf,06:36,
IC 2441,Frankfurt(Main)Hbf,16:47,Dresden Hbf,06:44,2
ICE 1674,Frankfurt(Main)Hbf,11:45,Hamburg-Altona,06:49,1
ICE 5,Frankfurt(Main)Hbf,09:47,Basel SBB,06:49,
NJ 40490,Frankfurt(Main)Hbf,11:01,Amsterdam Centraal,06:51,FALSE
NJ 420,Frankfurt(Main)Hbf,11:01,Amsterdam Centraal,06:51,FALSE
ICE 523,Frankfurt(Main)Hbf,10:06,München Hbf,06:53,2
ICE 824,Frankfurt(Main)Hbf,08:48,Düsseldorf Hbf,07:09,1
ICE 270,Frankfurt(Main)Hbf,12:32,Berlin Hbf,07:13,2
ICE 1571,Frankfurt(Main)Hbf,08:51,Karlsruhe Hbf,07:14,
ICE 591,Frankfurt(Main)Hbf,11:12,München Hbf,07:50,1
ICE 525,Frankfurt(Main)Hbf,11:07,München Hbf,07:53,3
ICE 474,Frankfurt(Main)Hbf,12:36,Hamburg Hbf,07:58,22
ICE 822,Frankfurt(Main)Hbf,09:46,Düsseldorf Hbf,08:09,2
ICE 694,Frankfurt(Main)Hbf,13:00,Berlin Hbf,08:13,8
EC 113,Frankfurt(Main)Hbf,17:19,Klagenfurt Hbf,08:20,1
ICE 1557,Frankfurt(Main)Hbf,13:40,Dresden Hbf,08:36,
