train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 205,Freiburg(Breisgau) Hbf,00:59,Basel SBB,00:17,46
IC 60403,Freiburg(Breisgau) Hbf,08:39,Zürich HB,05:28,29
NJ 403,Freiburg(Breisgau) Hbf,08:39,Zürich HB,05:28,29
ICE 474,Freiburg(Breisgau) Hbf,12:36,Hamburg Hbf,05:42,
ICE 206,Freiburg(Breisgau) Hbf,13:30,Hamburg-Altona,05:52,1
EC 458,Freiburg(Breisgau) Hbf,09:05,Zürich HB,06:19,106
EN 40458,Freiburg(Breisgau) Hbf,09:05,Zürich HB,06:19,106
IC 60408,Freiburg(Breisgau) Hbf,09:05,Zürich HB,06:19,106
NJ 408,Freiburg(Breisgau) Hbf,09:05,Zürich HB,06:19,106
ICE 1178,Freiburg(Breisgau) Hbf,09:05,Stuttgart Hbf,06:20,
TGV 9590,Freiburg(Breisgau) Hbf,09:35,Paris Est,06:36,2
ICE 267,Freiburg(Breisgau) Hbf,10:49,München Hbf,06:44,
ICE 374,Freiburg(Breisgau) Hbf,14:32,Berlin Hbf,06:50,
ICE 3,Freiburg(Breisgau) Hbf,09:00,Zürich HB,07:02,1
IC 60471,Freiburg(Breisgau) Hbf,10:05,Zürich HB,07:23,10
NJ 471,Freiburg(Breisgau) Hbf,10:05,Zürich HB,07:23,10
ICE 78,Freiburg(Breisgau) Hbf,14:36,Hamburg Hbf,07:48,
ICE 202,Freiburg(Breisgau) Hbf,15:30,Hamburg-Altona,07:54,
ICE 271,Freiburg(Breisgau) Hbf,11:22,Chur,08:04,2
ICE 372,Freiburg(Breisgau) Hbf,16:32,Berlin Hbf,08:55,
ICE 5,Freiburg(Breisgau) Hbf,09:47,Basel SBB,09:02,2
ICE 76,Freiburg(Breisgau) Hbf,16:36,Hamburg Hbf,09:48,2
ICE 200,Freiburg(Breisgau) Hbf,17:30,Hamburg-Altona,09:55,2
ICE 101,Freiburg(Breisgau) Hbf,10:47,Basel SBB,10:05,9
EC 151,Freiburg(Breisgau) Hbf,12:00,Zürich HB,10:15,
ECE 151,Freiburg(Breisgau) Hbf,12:00,Zürich HB,10:15,FALSE
ICE 370,Freiburg(Breisgau) Hbf,18:01,Berlin Ostbahnhof,10:55,3
ICE 275,Freiburg(Breisgau) Hbf,13:58,Interlaken Ost,11:02,
ICE 74,Freiburg(Breisgau) Hbf,19:43,Kiel Hbf,11:48,2
ICE 108,Freiburg(Breisgau) Hbf,19:30,Hamburg-Altona,11:55,1
ICE 103,Freiburg(Breisgau) Hbf,18:07,München Hbf,12:02,9
ICE 71,Freiburg(Breisgau) Hbf,13:10,Basel SBB,12:14,2
