train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
IC 60409,Fulda,08:20,Berlin Hbf,01:50,
NJ 409,Fulda,08:20,Berlin Hbf,01:50,
ICE 2546,Fulda,10:43,Berlin Südkreuz,06:41,1
ICE 781,Fulda,09:42,München Hbf,06:56,6
ICE 888,Fulda,10:21,Hamburg Hbf,07:04,2
ICE 2550,Fulda,10:32,Berlin Hbf,07:09,FALSE
ICE 696,Fulda,10:55,Berlin Hbf,07:51,6
ICE 581,Fulda,10:45,München Hbf,07:56,6
ICE 684,Fulda,11:22,Hamburg Hbf,08:04,9
ICE 593,Fulda,13:13,München Hbf,08:05,2
ICE 277,Fulda,13:47,Basel SBB,08:49,-2
ICE 783,Fulda,11:42,München Hbf,08:56,24
ICE 886,Fulda,12:21,Hamburg Hbf,09:04,3
ICE 270,Fulda,12:32,Berlin Hbf,09:10,1
ICE 533,Fulda,12:40,München Hbf,09:56,12
ICE 583,Fulda,12:40,München Hbf,09:56,12
ICE 694,Fulda,13:00,Berlin Hbf,09:56,2
ICE 682,Fulda,13:22,Hamburg Hbf,10:04,4
ICE 595,Fulda,15:13,München Hbf,10:05,9
FLX 1241,Fulda,13:43,Stuttgart Hbf,10:42,2
IC 2083,Fulda,17:04,Berchtesgaden Hbf,10:43,25
IC 2085,Fulda,16:11,Oberstdorf Busbahnhof,10:43,25
ICE 279,Fulda,15:47,Basel SBB,10:49,1
ICE 91,Fulda,16:47,Wien Hbf,10:57,25
ICE 882,Fulda,14:22,Hamburg Hbf,11:04,1
ICE 374,Fulda,14:32,Berlin Hbf,11:07,3
ICE 692,Fulda,15:00,Berlin Hbf,11:51,4
ICE 585,Fulda,14:41,München Hbf,11:56,5
ICE 680,Fulda,15:39,Hamburg Hbf,12:04,1
ICE 597,Fulda,17:16,München Hbf,12:05,1
ICE 787,Fulda,15:44,München Hbf,12:56,11
ICE 372,Fulda,16:32,Berlin Hbf,13:01,4
ICE 371,Fulda,19:58,Interlaken Ost,13:02,13
ICE 880,Fulda,16:21,Hamburg Hbf,13:04,
ICE 587,Fulda,16:41,München Hbf,13:56,
ICE 690,Fulda,17:00,Berlin Hbf,13:56,1
ICE 588,Fulda,17:22,Hamburg Hbf,14:04,9
ICE 599,Fulda,19:12,München Hbf,14:04,1
FLX 1243,Fulda,19:15,Basel Bad,14:43,17
ICE 373,Fulda,21:59,Interlaken Ost,14:50,1
ICE 789,Fulda,17:44,München Hbf,14:56,22
ICE 788,Fulda,18:21,Hamburg Hbf,15:04,5
ICE 370,Fulda,18:01,Berlin Ostbahnhof,15:09,7
IC 2082,Fulda,19:21,Hamburg-Altona,15:18,3
IC 2084,Fulda,19:21,Hamburg-Altona,15:18,3
ICE 1218,Fulda,18:55,Berlin Hbf,15:56,1
ICE 689,Fulda,18:40,München Hbf,15:56,105
ICE 1211,Fulda,23:18,Innsbruck Hbf,16:04,1
ICE 586,Fulda,19:22,Hamburg Hbf,16:04,1
ICE 375,Fulda,21:49,Basel SBB,16:53,13
ICE 881,Fulda,19:45,München Hbf,16:56,73
ICE 786,Fulda,20:22,Hamburg Hbf,17:04,1
ICE 278,Fulda,20:32,Berlin Hbf,17:13,1
ICE 596,Fulda,20:55,Berlin Hbf,17:56,1
ICE 681,Fulda,20:45,München Hbf,17:56,18
ICE 584,Fulda,21:20,Hamburg Hbf,18:04,31
ICE 693,Fulda,23:13,München Hbf,18:07,14
FLX 1245,Fulda,21:59,Stuttgart Hbf,18:42,166
ICE 377,Fulda,23:59,Basel SBB,18:49,8
ICE 276,Fulda,22:52,Berlin Hbf,18:53,2
ICE 883,Fulda,21:42,München Hbf,18:56,44
ICE 90,Fulda,22:34,Hamburg-Altona,19:03,78
ICE 594,Fulda,22:54,Berlin Hbf,19:56,2
ICE 683,Fulda,22:40,München Hbf,19:56,17
ICE 532,Fulda,23:55,Oldenburg(Oldb)Hbf,20:04,
ICE 582,Fulda,23:40,Hamburg Hbf,20:04,
ICE 695,Fulda,23:08,Stuttgart Hbf,20:05,14
ICE 877,Fulda,22:44,Frankfurt(Main)Hbf,20:50,25
ICE 885,Fulda,23:43,München Hbf,20:56,28
ICE 782,Fulda,00:22,Hamburg Hbf,21:04,5
ICE 274,Fulda,22:36,Erfurt Hbf,21:11,
ICE 685,Fulda,00:45,München Hbf,21:56,22
ICE 580,Fulda,23:04,Kassel-Wilhelmshöhe,22:04,1
ICE 697,Fulda,23:48,Frankfurt(Main)Hbf,22:05,18
ICE 592,Fulda,23:33,Erfurt Hbf,22:12,9
