train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 514,Hamburg Hbf,00:30,Hamburg-Altona,00:18,39
ICE 700,Hamburg Hbf,00:48,Hamburg-Altona,00:40,17
ICE 376,Hamburg Hbf,01:03,Hamburg-Altona,00:50,42
ICE 571,Hamburg Hbf,15:27,Berlin Ostbahnhof,04:12,
ICE 581,Hamburg Hbf,10:45,München Hbf,04:14,
EC 2507,Hamburg Hbf,12:49,Freiburg(Breisgau) Hbf,04:37,
EC 7,Hamburg Hbf,15:58,Interlaken Ost,04:37,
ICE 71,Hamburg Hbf,13:10,Basel SBB,05:14,1
ICE 751,Hamburg Hbf,09:04,Berlin Ostbahnhof,05:23,
ICE 701,Hamburg Hbf,12:42,München Hbf,05:27,4
ICE 783,Hamburg Hbf,11:42,München Hbf,05:28,3
D 301,Hamburg Hbf,07:46,Berlin Hbf,05:35,
ICE 515,Hamburg Hbf,14:26,München Hbf,05:45,
EN 345,Hamburg Hbf,09:25,Berlin Hbf,06:00,16
ICE 1031,Hamburg Hbf,09:53,Köln Hbf,06:11,1
ICE 573,Hamburg Hbf,12:38,Stuttgart Hbf,06:18,14
ICE 1515,Hamburg Hbf,12:50,Karlsruhe Hbf,06:24,
ICE 583,Hamburg Hbf,12:40,München Hbf,06:28,
ICE 505,Hamburg Hbf,13:01,München Hbf,06:34,1
IC 2083,Hamburg Hbf,17:04,Berchtesgaden Hbf,06:37,8
IC 2085,Hamburg Hbf,16:11,Oberstdorf,06:37,8
EC 9,Hamburg Hbf,17:00,Zürich HB,06:45,3
EC 173,Hamburg Hbf,20:28,Budapest-Nyugati,06:48,4
ICE 920,Hamburg Hbf,07:06,Hamburg-Altona,06:53,
ICE 1599,Hamburg Hbf,07:21,Hamburg-Altona,07:08,
ICE 73,Hamburg Hbf,16:00,Zürich HB,07:24,
ICE 608,Hamburg Hbf,07:41,Hamburg-Altona,07:28,6
ICE 91,Hamburg Hbf,16:47,Wien Hbf,07:28,3
ICE 703,Hamburg Hbf,14:01,München Hbf,07:36,
ICE 1678,Hamburg Hbf,11:18,Ostseebad Binz,07:42,9
ICE 517,Hamburg Hbf,16:26,München Hbf,07:45,
FLX 1361,Hamburg Hbf,09:49,Berlin Hbf,07:46,7
ICE 731,Hamburg Hbf,11:58,Köln Hbf,07:54,2
ICE 93,Hamburg Hbf,17:47,Wien Hbf,08:04,30
ICE 922,Hamburg Hbf,08:29,Hamburg-Altona,08:17,3
ICE 585,Hamburg Hbf,14:41,München Hbf,08:21,
ICE 575,Hamburg Hbf,14:38,Stuttgart Hbf,08:24,3
ICE 1577,Hamburg Hbf,15:03,Stuttgart Hbf,08:28,39
ICE 808,Hamburg Hbf,08:41,Hamburg-Altona,08:28,51
ICE 1686,Hamburg Hbf,08:46,Hamburg-Altona,08:32,
ICE55918,Hamburg Hbf,08:45,Hamburg-Altona,08:32,FALSE
ICE 507,Hamburg Hbf,15:04,München Hbf,08:34,1
ICE 1028,Hamburg Hbf,08:49,Hamburg-Altona,08:38,
ICE 107,Hamburg Hbf,16:47,Basel SBB,08:45,2
FLX 1341,Hamburg Hbf,13:08,Köln Hbf,08:49,3
EC 379,Hamburg Hbf,15:24,Praha hl.n.,08:51,8
EC 398,Hamburg Hbf,13:34,København H,08:55,2
IC 2070,Hamburg Hbf,09:24,Hamburg-Altona,09:15,12
IC 2214,Hamburg Hbf,12:34,Westerland(Sylt),09:17,6
IC 2216,Hamburg Hbf,12:23,Dagebüll Mole,09:17,10
ICE 75,Hamburg Hbf,18:00,Zürich HB,09:25,1
ICE 1606,Hamburg Hbf,09:39,Hamburg-Altona,09:27,13
ICE 787,Hamburg Hbf,15:44,München Hbf,09:28,7
NJ 40420,Hamburg Hbf,09:05,Hamburg-Altona,09:33,126
NJ 490,Hamburg Hbf,09:05,Hamburg-Altona,09:33,126
ICE 705,Hamburg Hbf,16:42,München Hbf,09:36,6
ICE 1676,Hamburg Hbf,12:29,Stralsund Hbf,09:43,4
