train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 887,Hanau Hbf,01:51,Wiesbaden Hbf,00:43,15
ICE 1088,Hanau Hbf,08:57,Hamburg Hbf,04:39,6
ICE 827,Hanau Hbf,08:06,München Hbf,05:09,2
ICE 672,Hanau Hbf,10:36,Hamburg Hbf,06:07,12
ICE 521,Hanau Hbf,09:06,München Hbf,06:10,2
ICE 21,Hanau Hbf,12:47,Wien Hbf,06:37,1
ICE 270,Hanau Hbf,12:32,Berlin Hbf,07:31,5
ICE 23,Hanau Hbf,14:47,Wien Hbf,08:38,3
ICE 1020,Hanau Hbf,16:06,Hamburg-Altona,09:15,42
ICE 374,Hanau Hbf,14:32,Berlin Hbf,09:31,5
ICE 277,Hanau Hbf,13:47,Basel SBB,10:24,1
ICE 1621,Hanau Hbf,13:42,München Hbf,10:38,7
ICE 928,Hanau Hbf,18:07,Hamburg-Altona,11:16,
ICE 372,Hanau Hbf,16:32,Berlin Hbf,11:31,11
ICE 279,Hanau Hbf,15:47,Basel SBB,12:24,
ICE 27,Hanau Hbf,18:47,Wien Hbf,12:38,
ICE 228,Hanau Hbf,17:21,Dortmund Hbf,13:16,32
ICE 370,Hanau Hbf,18:01,Berlin Ostbahnhof,13:31,8
ICE 371,Hanau Hbf,19:58,Interlaken Ost,14:22,7
ICE 29,Hanau Hbf,20:47,Wien Hbf,14:38,9
ICE 28,Hanau Hbf,19:24,Dortmund Hbf,15:16,24
ICE 278,Hanau Hbf,20:32,Berlin Hbf,15:31,
ICE 373,Hanau Hbf,21:59,Interlaken Ost,16:26,3
ICE 229,Hanau Hbf,23:05,Wien Hbf,16:38,10
ICE 26,Hanau Hbf,21:19,Dortmund Hbf,17:16,85
ICE 276,Hanau Hbf,22:52,Berlin Hbf,17:31,4
ICE 375,Hanau Hbf,21:49,Basel SBB,18:26,2
ICE 927,Hanau Hbf,20:28,Nürnberg Hbf,18:37,38
ICE 572,Hanau Hbf,23:40,Hamburg Hbf,19:16,52
ICE 1222,Hanau Hbf,23:21,Dortmund Hbf,19:19,FALSE
ICE 274,Hanau Hbf,22:36,Erfurt Hbf,19:32,7
ICE 377,Hanau Hbf,23:59,Basel SBB,20:26,
ICE 929,Hanau Hbf,00:50,Passau Hbf,20:37,34
ICE 22,Hanau Hbf,01:20,Dortmund Hbf,21:16,FALSE
ICE 877,Hanau Hbf,22:44,Frankfurt(Main)Hbf,22:27,5
ICE 1021,Hanau Hbf,00:42,Nürnberg Hbf,22:40,5
ICE 522,Hanau Hbf,00:29,Köln Hbf,22:47,FALSE
ICE 20,Hanau Hbf,23:37,Frankfurt(Main)Hbf,23:20,FALSE
