train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 698,Mannheim Hbf,07:36,Berlin Hbf,01:04,1
IC 60403,Mannheim Hbf,08:39,Zürich HB,03:32,2
NJ 403,Mannheim Hbf,08:39,Zürich HB,03:32,2
ICE 618,Mannheim Hbf,11:23,Kiel Hbf,04:01,5
ICE 699,Mannheim Hbf,08:08,München Hbf,04:19,1
IC 2326,Mannheim Hbf,05:30,Frankfurt(Main)West,04:23,
EC 458,Mannheim Hbf,09:05,Zürich HB,04:41,
EN 40458,Mannheim Hbf,09:05,Zürich HB,04:41,
IC 60408,Mannheim Hbf,09:05,Zürich HB,04:41,
NJ 408,Mannheim Hbf,09:05,Zürich HB,04:41,
ICE 774,Mannheim Hbf,11:36,Hamburg Hbf,06:04,1
ICE 991,Mannheim Hbf,09:18,München Hbf,06:29,1
ICE 270,Mannheim Hbf,12:32,Berlin Hbf,06:32,1
ICE 2521,Mannheim Hbf,08:03,Freiburg(Breisgau) Hbf,06:33,
ICE 271,Mannheim Hbf,11:22,Chur,06:33,4
ICE 616,Mannheim Hbf,12:30,Hamburg-Altona,06:35,1
ICE 9558,Mannheim Hbf,09:52,Paris Est,06:40,2
ICE 474,Mannheim Hbf,12:36,Hamburg Hbf,07:17,7
ICE 1014,Mannheim Hbf,09:21,Düsseldorf Hbf,07:21,6
ICE 511,Mannheim Hbf,10:26,München Hbf,07:31,40
ICE 694,Mannheim Hbf,13:00,Berlin Hbf,07:32,1
ICE 1118,Mannheim Hbf,08:33,Wiesbaden Hbf,07:34,3
ICE 5,Mannheim Hbf,09:47,Basel SBB,07:34,2
ICE 206,Mannheim Hbf,13:30,Hamburg-Altona,07:35,1
ICE 9568,Mannheim Hbf,10:38,Paris Est,07:37,2
IC 2011,Mannheim Hbf,13:35,Antwerpen Centraal,07:51,
ICE 932,Mannheim Hbf,08:56,Frankfurt(Main)Hbf,08:02,FALSE
ICE 772,Mannheim Hbf,13:36,Hamburg Hbf,08:05,3
ICE 557,Mannheim Hbf,15:17,Berlin Ostbahnhof,08:08,2
ICE 1178,Mannheim Hbf,09:05,Stuttgart Hbf,08:18,
ICE 1513,Mannheim Hbf,09:19,Stuttgart Hbf,08:26,FALSE
ICE 591,Mannheim Hbf,11:12,München Hbf,08:30,3
ICE 374,Mannheim Hbf,14:32,Berlin Hbf,08:32,
ICE 101,Mannheim Hbf,10:47,Basel SBB,08:35,1
ICE 614,Mannheim Hbf,14:30,Hamburg-Altona,08:36,1
ICE 1949,Mannheim Hbf,18:40,Dresden Hbf,08:39,2
ICE 913,Mannheim Hbf,11:26,München Hbf,08:43,10
EC 151,Mannheim Hbf,12:00,Zürich HB,08:47,
ECE 151,Mannheim Hbf,12:00,Zürich HB,08:47,FALSE
ICE 78,Mannheim Hbf,14:36,Hamburg Hbf,09:17,15
ICE 1012,Mannheim Hbf,12:05,Dortmund Hbf,09:21,1
ICE 1548,Mannheim Hbf,10:24,Stuttgart Hbf,09:23,6
ICE 513,Mannheim Hbf,12:26,München Hbf,09:31,10
ICE 692,Mannheim Hbf,15:00,Berlin Hbf,09:32,4
ICE 275,Mannheim Hbf,13:58,Interlaken Ost,09:34,1
