train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 100,Minden(Westf),05:48,Berlin Ostbahnhof,01:51,90
ICE 101,Minden(Westf),10:47,Basel SBB,04:00,6
ICE 103,Minden(Westf),18:07,München Hbf,06:13,1
ICE 646,Minden(Westf),09:07,Düsseldorf Hbf,06:50,2
ICE 656,Minden(Westf),09:15,Köln Hbf,06:50,2
ICE 541,Minden(Westf),09:27,Berlin Ostbahnhof,07:00,8
IC 2445,Minden(Westf),12:58,Dresden Hbf,07:47,2
IC 2042,Minden(Westf),10:46,Köln Hbf,08:13,1
ICE 543,Minden(Westf),11:27,Berlin Ostbahnhof,09:00,1
ICE 553,Minden(Westf),11:13,Berlin Ostbahnhof,09:00,1
ICE 644,Minden(Westf),15:49,Salzburg Hbf,09:02,1
IC 2443,Minden(Westf),14:57,Dresden Hbf,09:47,3
ICE 1944,Minden(Westf),16:22,Stuttgart Hbf,10:13,3
ICE 545,Minden(Westf),13:27,Berlin Ostbahnhof,11:00,6
ICE 642,Minden(Westf),13:07,Düsseldorf Hbf,11:02,1
IC 2441,Minden(Westf),16:47,Dresden Hbf,11:47,5
IC 2046,Minden(Westf),18:27,Stuttgart Hbf,12:13,1
ICE 547,Minden(Westf),15:27,Berlin Ostbahnhof,13:00,3
ICE 640,Minden(Westf),15:07,Düsseldorf Hbf,13:02,34
ICE 650,Minden(Westf),18:46,Stuttgart Hbf,13:02,34
ICE 1949,Minden(Westf),18:40,Dresden Hbf,13:48,15
IC 2048,Minden(Westf),21:30,Tübingen Hbf,14:13,1
ICE 549,Minden(Westf),17:27,Berlin Ostbahnhof,15:00,18
ICE 548,Minden(Westf),17:07,Düsseldorf Hbf,15:02,1
ICE 558,Minden(Westf),17:37,Bonn Hbf,15:02,1
IC 2047,Minden(Westf),20:40,Dresden Hbf,15:47,36
IC 2440,Minden(Westf),22:22,Stuttgart Hbf,16:13,1
ICE 641,Minden(Westf),19:27,Berlin Ostbahnhof,17:00,13
ICE 546,Minden(Westf),19:10,Düsseldorf Hbf,17:02,1
IC 2045,Minden(Westf),22:38,Dresden Hbf,17:47,5
IC 2442,Minden(Westf),23:13,Frankfurt(Main)Hbf,18:13,1
ICE 643,Minden(Westf),21:27,Berlin Ostbahnhof,19:00,5
ICE 544,Minden(Westf),21:07,Düsseldorf Hbf,19:02,2
IC 2043,Minden(Westf),22:58,Leipzig/Halle Flughafen,19:48,39
IC 2444,Minden(Westf),23:54,Koblenz Hbf,20:13,1
ICE 645,Minden(Westf),23:27,Berlin Ostbahnhof,21:00,3
ICE 542,Minden(Westf),23:07,Düsseldorf Hbf,21:02,2
ICE 102,Minden(Westf),00:18,Hannover Hbf,23:47,FALSE
