train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
IC 2173,Neustrelitz Hbf,16:27,Wien Franz-Josefs-Bahnhof,07:19,
IC 296,Neustrelitz Hbf,08:37,Rostock Hbf,07:41,
IC 2274,Neustrelitz Hbf,10:01,Warnemünde,08:41,1
IC 2175,Neustrelitz Hbf,12:27,Dresden Hbf,09:19,14
IC 2272,Neustrelitz Hbf,12:01,Warnemünde,10:41,5
IC 2177,Neustrelitz Hbf,14:27,Dresden Hbf,11:19,1
IC 2270,Neustrelitz Hbf,14:05,Warnemünde,12:41,33
IC 2179,Neustrelitz Hbf,16:27,Dresden Hbf,13:19,6
IC 2178,Neustrelitz Hbf,16:05,Warnemünde,14:41,3
IC 2271,Neustrelitz Hbf,19:40,Chemnitz Hbf,15:19,
IC 2176,Neustrelitz Hbf,18:05,Warnemünde,16:41,3
IC 2273,Neustrelitz Hbf,21:40,Chemnitz Hbf,17:19,1
IC 2174,Neustrelitz Hbf,20:01,Warnemünde,18:41,9
IC 2275,Neustrelitz Hbf,22:27,Dresden Hbf,19:19,2
IC 2172,Neustrelitz Hbf,21:37,Rostock Hbf,20:41,1
IC 17,Neustrelitz Hbf,03:48,Lichtenfels,21:19,
IC 297,Neustrelitz Hbf,10:47,Wien Hbf,21:19,1
