train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
IC 17,Nürnberg Hbf,03:48,Lichtenfels,00:26,
IC 296,Nürnberg Hbf,08:37,Rostock Hbf,00:26,5
ICE 1080,Nürnberg Hbf,08:09,Hamburg Hbf,00:47,5
ICE 24,Nürnberg Hbf,07:05,Lüneburg,00:47,
NJ 40490,Nürnberg Hbf,11:01,Amsterdam Centraal,01:39,
NJ 420,Nürnberg Hbf,11:01,Amsterdam Centraal,01:39,47
NJ 40420,Nürnberg Hbf,09:05,Hamburg-Altona,01:48,44
NJ 490,Nürnberg Hbf,09:05,Hamburg-Altona,01:48,117
ICE 1022,Nürnberg Hbf,11:25,Dortmund Hbf,05:28,1
ICE 888,Nürnberg Hbf,10:21,Hamburg Hbf,05:32,
IC 2164,Nürnberg Hbf,23:00,Karlsruhe Hbf,05:38,
ICE 1604,Nürnberg Hbf,11:39,Hamburg-Altona,05:42,1
IC 297,Nürnberg Hbf,10:47,Wien Hbf,06:00,
ICE 822,Nürnberg Hbf,09:46,Düsseldorf Hbf,06:00,
ICE 1081,Nürnberg Hbf,07:18,München Hbf,06:07,97
ICE 684,Nürnberg Hbf,11:22,Hamburg Hbf,06:32,
ICE 1122,Nürnberg Hbf,10:07,Düsseldorf Hbf,06:39,10
ICE 1008,Nürnberg Hbf,12:03,Hamburg-Altona,06:59,2
ICE 827,Nürnberg Hbf,08:06,München Hbf,07:01,
ICE 820,Nürnberg Hbf,10:50,Düsseldorf Hbf,07:02,1
ICE 804,Nürnberg Hbf,13:48,Kiel Hbf,07:05,
ICE 1020,Nürnberg Hbf,16:06,Hamburg-Altona,07:30,40
ICE 886,Nürnberg Hbf,12:21,Hamburg Hbf,07:33,
IC 2162,Nürnberg Hbf,10:53,Karlsruhe Hbf,07:38,
ICE 728,Nürnberg Hbf,11:47,Düsseldorf Hbf,07:57,
ICE 521,Nürnberg Hbf,09:06,München Hbf,07:58,
ICE 1114,Nürnberg Hbf,10:57,Berlin Hbf,08:01,
ICE 602,Nürnberg Hbf,13:41,Hamburg-Altona,08:05,1
ICE 501,Nürnberg Hbf,09:17,München Hbf,08:11,
ICE 781,Nürnberg Hbf,09:42,München Hbf,08:27,21
ICE 21,Nürnberg Hbf,12:47,Wien Hbf,08:31,18
ICE 682,Nürnberg Hbf,13:22,Hamburg Hbf,08:32,10
ICE 726,Nürnberg Hbf,12:48,Düsseldorf Hbf,08:58,2
ICE 1001,Nürnberg Hbf,10:02,München Hbf,08:59,13
ICE 1701,Nürnberg Hbf,10:42,München Hbf,09:00,FALSE
ICE 1006,Nürnberg Hbf,14:06,Hamburg-Altona,09:02,2
ICE 523,Nürnberg Hbf,10:06,München Hbf,09:02,2
ICE 802,Nürnberg Hbf,14:39,Hamburg-Altona,09:05,2
ICE 1121,Nürnberg Hbf,10:20,München Hbf,09:17,16
ICE 928,Nürnberg Hbf,18:07,Hamburg-Altona,09:29,
ICE 581,Nürnberg Hbf,10:45,München Hbf,09:30,1
ICE 882,Nürnberg Hbf,14:22,Hamburg Hbf,09:33,1
IC 2160,Nürnberg Hbf,12:53,Karlsruhe Hbf,09:42,2
ICE 503,Nürnberg Hbf,11:03,München Hbf,09:55,1
ICE 724,Nürnberg Hbf,13:51,Düsseldorf Hbf,09:57,
ICE 525,Nürnberg Hbf,11:07,München Hbf,09:58,5
ICE 1112,Nürnberg Hbf,12:57,Berlin Hbf,10:01,
ICE 1103,Nürnberg Hbf,11:11,München Hbf,10:03,2
ICE 1600,Nürnberg Hbf,15:39,Hamburg-Altona,10:06,FALSE
ICE 1710,Nürnberg Hbf,17:33,Ostseebad Binz,10:06,FALSE
ICE 2914,Nürnberg Hbf,15:39,Hamburg-Altona,10:06,15
IC 2063,Nürnberg Hbf,14:04,Leipzig Hbf,10:24,1
ICE 783,Nürnberg Hbf,11:42,München Hbf,10:27,18
ICE 23,Nürnberg Hbf,14:47,Wien Hbf,10:31,
ICE 680,Nürnberg Hbf,15:39,Hamburg Hbf,10:33,
ICE 1694,Nürnberg Hbf,13:56,Berlin Hbf,10:35,10
ICE 94,Nürnberg Hbf,16:20,Hamburg-Altona,10:35,10
ICE 722,Nürnberg Hbf,14:49,Düsseldorf Hbf,10:58,
ICE 1003,Nürnberg Hbf,12:02,München Hbf,10:59,
ICE 701,Nürnberg Hbf,12:42,München Hbf,10:59,1
ICE 527,Nürnberg Hbf,12:10,München Hbf,11:02,
ICE 800,Nürnberg Hbf,16:38,Hamburg-Altona,11:05,
