train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 921,Osnabrück Hbf,07:02,Frankfurt(Main)Hbf,00:37,48
ICE 920,Osnabrück Hbf,07:06,Hamburg-Altona,04:50,5
ICE 1028,Osnabrück Hbf,08:49,Hamburg-Altona,06:23,1
EC 2507,Osnabrück Hbf,12:49,Freiburg(Breisgau) Hbf,06:36,2
EC 7,Osnabrück Hbf,15:58,Interlaken Ost,06:37,3
ICE 741,Osnabrück Hbf,10:01,Berlin Ostbahnhof,06:52,
IC 242,Osnabrück Hbf,10:00,Amsterdam Centraal,07:06,1
IC 2214,Osnabrück Hbf,12:34,Westerland(Sylt),07:23,3
IC 2216,Osnabrück Hbf,12:23,Dagebüll Mole,07:23,3
ICE 515,Osnabrück Hbf,14:26,München Hbf,07:37,
ICE 618,Osnabrück Hbf,11:23,Kiel Hbf,08:23,16
EC 9,Osnabrück Hbf,17:00,Zürich HB,08:36,6
IC 141,Osnabrück Hbf,12:01,Berlin Ostbahnhof,08:54,11
IC 240,Osnabrück Hbf,12:00,Amsterdam Centraal,09:06,3
ICE 208,Osnabrück Hbf,15:29,Ostseebad Binz,09:23,1
ICE 517,Osnabrück Hbf,16:26,München Hbf,09:37,10
ICE 616,Osnabrück Hbf,12:30,Hamburg-Altona,10:23,13
ICE 107,Osnabrück Hbf,16:47,Basel SBB,10:37,1
FLX 1341,Osnabrück Hbf,13:08,Köln Hbf,10:44,2
IC 143,Osnabrück Hbf,14:01,Berlin Ostbahnhof,10:54,4
IC 148,Osnabrück Hbf,14:00,Amsterdam Centraal,11:06,26
ICE 206,Osnabrück Hbf,13:30,Hamburg-Altona,11:23,41
ICE 519,Osnabrück Hbf,18:26,München Hbf,11:37,10
IC 2201,Osnabrück Hbf,14:18,Köln Hbf,11:57,4
ICE 1050,Osnabrück Hbf,14:13,Köln Hbf,12:06,5
ICE 614,Osnabrück Hbf,14:30,Hamburg-Altona,12:23,27
ICE 109,Osnabrück Hbf,18:47,Basel SBB,12:37,13
IC 145,Osnabrück Hbf,16:01,Berlin Ostbahnhof,12:54,FALSE
IC 146,Osnabrück Hbf,16:00,Amsterdam Centraal,13:06,3
ICE 202,Osnabrück Hbf,15:30,Hamburg-Altona,13:23,4
ICE 611,Osnabrück Hbf,20:29,München Hbf,13:37,5
ICE 759,Osnabrück Hbf,17:02,Berlin Ostbahnhof,13:51,17
IC 2202,Osnabrück Hbf,15:53,Bremerhaven-Lehe,13:56,6
ICE 612,Osnabrück Hbf,17:22,Kiel Hbf,14:23,29
ICE 201,Osnabrück Hbf,20:47,Basel SBB,14:37,8
IC 147,Osnabrück Hbf,18:01,Berlin Ostbahnhof,14:54,16
ICE 370,Osnabrück Hbf,18:01,Berlin Ostbahnhof,14:54,16
IC 144,Osnabrück Hbf,18:00,Amsterdam Centraal,15:06,3
ICE 200,Osnabrück Hbf,17:30,Hamburg-Altona,15:23,8
ICE 613,Osnabrück Hbf,22:26,München Hbf,15:37,1
ICE 756,Osnabrück Hbf,19:13,Aachen Hbf,16:06,1
ICE 610,Osnabrück Hbf,18:30,Hamburg-Altona,16:23,39
ICE 203,Osnabrück Hbf,22:55,Basel SBB,16:37,1
FLX 1343,Osnabrück Hbf,19:08,Köln Hbf,16:44,3
IC 149,Osnabrück Hbf,20:01,Berlin Ostbahnhof,16:54,11
IC 142,Osnabrück Hbf,20:00,Amsterdam Centraal,17:06,1
ICE 108,Osnabrück Hbf,19:30,Hamburg-Altona,17:23,13
ICE 615,Osnabrück Hbf,00:28,München Hbf,17:37,10
ICE 1053,Osnabrück Hbf,20:51,Berlin Hbf,17:53,48
ICE 518,Osnabrück Hbf,20:30,Hamburg-Altona,18:23,26
ICE 205,Osnabrück Hbf,00:59,Basel SBB,18:37,1
IC 2215,Osnabrück Hbf,20:57,Köln Hbf,18:42,1
IC 2217,Osnabrück Hbf,20:57,Köln Hbf,18:42,1
IC 241,Osnabrück Hbf,22:01,Berlin Ostbahnhof,18:54,17
IC 140,Osnabrück Hbf,22:00,Amsterdam Centraal,19:06,3
EC 8,Osnabrück Hbf,21:30,Hamburg-Altona,19:23,43
ICE 617,Osnabrück Hbf,00:25,Stuttgart Hbf,19:37,1
IC 2437,Osnabrück Hbf,23:01,Magdeburg Hbf,20:02,10
ICE 516,Osnabrück Hbf,22:30,Hamburg-Altona,20:23,34
ICE 207,Osnabrück Hbf,22:49,Köln Hbf,20:37,1
IC 243,Osnabrück Hbf,22:01,Hannover Hbf,20:54,8
ICE 742,Osnabrück Hbf,21:34,Münster(Westf)Hbf,21:10,3
EC 6,Osnabrück Hbf,23:30,Hamburg-Altona,21:23,24
ICE 619,Osnabrück Hbf,06:03,München Hbf,21:37,
IC 2032,Osnabrück Hbf,23:38,Emden Hbf,21:55,10
ICE 730,Osnabrück Hbf,23:54,Hamburg Dammtor,21:55,6
ICE 514,Osnabrück Hbf,00:30,Hamburg-Altona,22:23,26
ICE 209,Osnabrück Hbf,00:47,Köln Hbf,22:37,9
