train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 920,Remagen,07:06,Hamburg-Altona,01:22,
ICE 553,Remagen,11:13,Berlin Ostbahnhof,06:08,
IC 2443,Remagen,14:57,Dresden Hbf,06:31,1
ICE 606,Remagen,12:16,Norddeich Mole,06:48,2
ICE 115,Remagen,19:19,Klagenfurt Hbf,08:52,4
IC 5107,Remagen,10:25,Düsseldorf Hbf,09:08,1
ICE 119,Remagen,19:05,Innsbruck Hbf,09:52,3
ICE 557,Remagen,15:17,Berlin Ostbahnhof,10:08,27
IC 2202,Remagen,15:53,Bremerhaven-Lehe,11:04,
IC 2013,Remagen,18:13,Oberstdorf,11:52,27
IC 2009,Remagen,19:09,Konstanz,12:55,18
IC 5106,Remagen,17:48,Luxembourg,14:51,29
IC 2014,Remagen,19:26,Emden Hbf,15:08,1
ICE 650,Remagen,18:46,Stuttgart Hbf,15:52,22
IC 2012,Remagen,18:04,Dortmund Hbf,16:08,47
ICE 118,Remagen,20:35,Münster(Westf)Hbf,18:08,19
ICE 605,Remagen,19:20,Koblenz Hbf,18:55,35
ICE 114,Remagen,21:09,Dortmund Hbf,19:08,FALSE
