train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 646,Stendal Hbf,09:07,Düsseldorf Hbf,05:15,
ICE 656,Stendal Hbf,09:15,Köln Hbf,05:15,
ICE 946,Stendal Hbf,10:02,Düsseldorf Hbf,06:24,
ICE 956,Stendal Hbf,10:09,Köln Hbf,06:24,
ICE 649,Stendal Hbf,08:02,Berlin Ostbahnhof,06:46,3
ICE 841,Stendal Hbf,08:36,Berlin Ostbahnhof,07:33,30
ICE 751,Stendal Hbf,09:04,Berlin Ostbahnhof,08:04,5
IC 2230,Stendal Hbf,09:47,Hamburg Hbf,08:06,4
ICE 791,Stendal Hbf,09:50,Göttingen,08:12,2
IC 2238,Stendal Hbf,12:14,Warnemünde,09:35,FALSE
ICE 2546,Stendal Hbf,10:43,Berlin Südkreuz,09:47,11
ICE 793,Stendal Hbf,11:50,Göttingen,10:12,
IC 2235,Stendal Hbf,12:15,Leipzig Hbf,10:22,
ICE 994,Stendal Hbf,12:42,Berlin Südkreuz,11:47,2
ICE 795,Stendal Hbf,13:50,Göttingen,12:10,5
ICE 992,Stendal Hbf,14:46,Berlin Südkreuz,13:47,
ICE 797,Stendal Hbf,15:50,Göttingen,14:12,FALSE
ICE 798,Stendal Hbf,16:42,Berlin Südkreuz,15:47,2
ICE 799,Stendal Hbf,17:50,Göttingen,16:12,FALSE
IC 2239,Stendal Hbf,18:15,Leipzig Hbf,16:22,FALSE
IC 2911,Stendal Hbf,18:15,Leipzig Hbf,16:22,1
IC 2234,Stendal Hbf,20:06,Rostock Hbf,17:35,FALSE
ICE 796,Stendal Hbf,18:46,Berlin Südkreuz,17:47,4
ICE 995,Stendal Hbf,19:50,Göttingen,18:10,3
IC 2233,Stendal Hbf,19:26,Magdeburg Hbf,18:51,9
ICE 742,Stendal Hbf,21:34,Münster(Westf)Hbf,18:58,1
ICE 794,Stendal Hbf,20:42,Berlin Südkreuz,19:47,
ICE 945,Stendal Hbf,22:34,Berlin Ostbahnhof,21:32,13
ICE 955,Stendal Hbf,22:34,Berlin Ostbahnhof,21:32,13
ICE 540,Stendal Hbf,01:08,Oldenburg(Oldb)Hbf,21:38,1
ICE 840,Stendal Hbf,23:22,Hannover Hbf,22:18,
ICE 947,Stendal Hbf,00:37,Berlin Ostbahnhof,23:32,28
ICE 790,Stendal Hbf,00:54,Berlin Ostbahnhof,23:53,1
